text,label
it is located under a hair salon. it is very cozy in the basement. staff is super nice and friendly. pricing is very good i paid 50 for long stiletto nails,5
absolutely love fiza. she is such an amazing lady with great talent. i visit fiza on a monthly basis for my false eyelashes and she never disappoints. 5* every time.,5
amazing professional service by friendly and knowledgeable team who care 100%! well done ladies on a fabulous service!  very clean with authentic products! ,5
my daughter recommended this place,4
"the best place for nails in london!!!!!!relaxing atmosphere,possitive and kind girls who are making you feel at home :)) my nails and feet are looking amazing everytime i go there,so i highly recommend this salon!!!!! good vibes only :)))",5
"the place is great and alex is amazing! she was very nice, friendly and made my nails look perfect.",5
"super amazing experience, professional staff. i had a great time, i truly recommend this place!",5
we came in one hour earlier than our appointment and were able to get a pedicure and nails done right away.thank you girls for a super nice chat and very good service. ,5
i found this place last minute and did not have an appointment. the girls did a wonderful job with my manicure! they were super friendly and i didn't feel rushed out. ,5
"definitely it's a must , great service lovely people  it was an amazing experience thank you for your kindness xxx",5
got my nails done without appoiment in less than 1 hr. and they stayed on top for more than 2 months !!! quick service + good price!,3
all i did was walk past so can't help,3
"great job, friendly nail technician, good job on a straightforward manicure and patient with me when i botched one nail and it needed fixing.  open late.  did not 'over-sell' me - i walked in asking for a manicure and she took a look and said i only really needed a polish change.  will definitely go again next time i'm in london.",5
love love love these girls ,5
good service,4
ok,3
"great little shop under hair salon. charming ladies, did a great job, very quickly too! ",5
adriana did my nails and i loved it! these bunch are so lovely and you will instantly feel so welcomed the moment u walk in! just be aware that the shop is underground so you need to find le salon shop then they should be able to direct you to where 3d nails is ,5
"fiza is amazing, she's very friendly and smiling all the time. i had shellac manicure that took her 15 mns to do it although it usually takes at least 40 mns, but she's so efficiend and quick. i went in randomly and she received me without an appointment. i highly recommend her.",5
great service but the polish had already come off most of my nails i am absolutely gutted i paid a lot of money for my nails for my holiday and i'm going to have to get them repainted even before i go on holiday! it's only been two days.,3
friendly staff and excellent gel nails. easy to drop in and be seen. i will definitely be going back.,5
"hands down best nail salon i've been to, friendly staff amazing nails and great price :)",5
fast and efficient,5
"best manicure i've had (and i've had lots!) lovely, lovely staff. will definitely be back :)",5
excellent experience!!!!,5
"absolutely love this place. fiza is the best, such a great atmosphere!",5
overpriced pedicure (35); friendly staff; odd atmosphere,2
"joy did my nails. she was so lovely! very kind, funny and professional. i had a lovely experience and each nail was perfect :) ive never had gel nails that have lasted this long either... got so many compliments! would definitely recommend this place.",5
fiza is amazing ! she helps you choose the best for your nails and i visit her after 5 years when i visit london ,5
the first place ive trusted to do my very thick eyebrows in two years! such a fun little salon,5
"it is really good. i was there a few months back and just searched it up again to make an appointment for the next day. not that often in london, but if you are there, they are the best",5
"first time in london. looking for a manicure and pedicure and stumbled upon this place. i lucked out! it is a little tricky to find as it is in the basement of a hair salon. these women know what theyre doing! ana, did an excellent job  and was so sweet :-) everyone was very friendly despite being extremely busy!",5
got my nails done today - adriana did a great job and was really friendly and chatty which im not used to in nail salons!! 10/10 - will return when im next in london!!,5
"definitely going back, had a lovely nude shellac colour on my natural nails.. the ladies accepted my last minute booking and were so friendly great job",5
"(i love the energy in this shop! very classic family spot like the places my mother used to take me to)not only that, the nails are great, shape and filing is important, and 3dnails has the time and imtimacy to give you a good look and feel. visit if you work in the city!",5
a real gem of a salon.  fiza and her team are amazing.  skilled nail technicians that are spot on with recommendations and gel manicures.  make you feel very welcome indeed and understand when you need to be super quick on a lunch break.  highly recommended.,5
best service ever. fiza and her team are brilliant and professional. they made my nails look great every time! never get bored or disappointed from them. highly recommended!,5
got my nails done for my graduation :) the staff are all so friendly and warm! theyre also super experienced and my nails came out so amazing and lovely ! very worth the prices considering the quality !!!,5
"plain rude! started painting my nails without giving me colour options. asked for a polish easy to remove, she painted my nails with gel nail polish. 35 absolutely not worth it, and it was supposed to be a treat, felt really disrespected. go somewhere else!",1
adriana did an excellent pedicure.  loved it,5
came in as a walk in this afternoon and had a great manicure. shes lovely too and it was a relaxing experience in the middle of china town,5
"good services, professionals staff. highly recommend.",5
mi wife and i have been patrons of the salon for a year. always excellent service and warm hospitality. ped and mani are the servicrs we have. book in advance!!!,5
i have been coming here regularly for years. nails last forever. fiza and team are the best. professional and friendly. highly recommend!,5
"fiza and her staff are the best nail artists i have encountered. i am from california, and my first stop whenever in the u.k. is fiza's salon. in addition to their undeniable artistic talent, the staff are so sweet and accommodating. nobody else touches my nails! i envy locals for being so near the best nail salon around. go see fiza!!",5
"amazing place, lovely staff!! called up as they were about to close and she kindly stayed open to sort me and my friend out. will be back!!!",5
wow very nice nails done  amazing don't miss out this place,5
so glad i found this place! a bit tricky to find as it's downstairs from a hair salon - but absolutely worth it. they were able to fit me in as a walk in and did a great job. they seem to know most of their clientele and bring a really personal touch. make sure to bring cash!,5
"lovely, welcoming and talented nail technicians! first place ive found that could do the nail art i wanted~ so happy with my nails, will definitely be back again. thank you! ",5
"amazing experience - the friendliest salon ive ever been to. wonderfully relaxing, cup of tea thrown in, top job on the nails from an incredible choice of colours - and phone chargers provided too. fiza and alex - thank you x",5
"amazing team, friendly, helpful with my nails looking incredible at the end. highly recommend!",5
the ladies are very professional and friendly . i am a loyal client because the pedicure and manicure are a realcure to my nails ;) thank you,5
love this place! the owner is so lovely and kind. audrey did my nails and you can tell shes very meticulous with her cuticle work and gel skills. she managed to make even my stubby nails look glam. will be coming back next time im in london!,5
"i work locally and i wanted to find good nail place around. after checking local places i think that this one is best. service is always outstanding, crew really great and atmosphere is nice. i totally recommend this place to everybody!",5
"i went yesterday to fix a nail disaster. i got an appointment straight away, all the technicians were funny and lovely. it was a wonderful experience, professional and my nails look absolutely beautiful. finally found a great nail salon that i will be returning too !!!!",5
"i'm very happy with how the nails look, how i was treated and how quickly it went. couldn't be more pleased. -16 years old girl from norway:)",5
hong kong style dessert found in london. quite nice.,4
great place to get durian deserts,5
"worse worse worse desserts shop. matcha cake tasteless. barley kumara porridge coconut milk is out of date, so you can taste sour. spheres edge is tasteless as well. and the service is bad as well. never ever visit again even it is free.",1
"awful food, rude service, overpricednot authentic is one thing, not edible is another.save yourself from ruining a good time - avoid this place",1
rude customer service and awful dessert first time and 'never again'. there are much better places in chinatown then this place.,1
walked in and we were completely ignored by the waiters for about 5 minutes so we walked out instead.,1
"not bad desserts, pricey.cash only.comfy seating area.no toilets.",3
delicious ! super positive! surprise!!,5
"very small shop. very overpriced for what you get. the ""h8"" sesame dessert is very disappointing, it seems as if it is ready made from powder. there is no toilet either.",1
"nice food, but the waitress was rude and snappy.",2
"the service girl treated everyone so bad, absolutely the worst setvice in leicester square area.",1
i had a bingsoo with my friend on summer and it was good enough. however they served another kind of bingsoo with lack of milk. the visual and size is appealing. the cafe itself was nice and cute.,3
"bad service and food, no service at all but they charge service charge!? food isn't freshly made and far from the menu, overpriced and tasteless",1
4 of us went. 3 out of 4 desserts ordered are disappointing and the 4th one is just average. hot desserts are not hot enough; the mango pancake has too much cream and too little mango. they are not very efficient either,2
"the waitress were very nice and kind, even though one of them was learning english and didn't know much. the strawberry milkshake is the best that i ever tried, good price and feels like you are not in london but in china. the decoration is superb, we need more places like this.",5
"millecrepe at 7.99 - not great. like all the reviews, over priced and not a patch on kova. when are we going to get a proper chinese dessert restaurant that london deserves?",2
"8 for a slice of mille crepe cake!!! and cash only?? cake was fine but wow, that's crazy pricing. staff weren't friendly either.",2
"expensive mille crepe which wasn't as good as kova. additionally, cash only with a service charge for seating me and bringing me a cake. what a joke. avoid at all costs",1
"very pricey for the size of the portions. they only accept cash without even telling you where the nearest atm is (which is far, btw). and overall they are rude.",2
new dessert hong kong dessert place in chinatown. wide selection but quite stingy with the mango as quite a big difference with the image. reasonable service but i know a few other places i would choose over this one.,3
overrated. very small servings. very exorbitantly expensive. not very good. candy cafe is much better for the same desserts.,1
poor services. we have been waiting for 20 minutes for our desserts. when my friend asked the staff 2 times to check our order and she stared at us without any apologizes (even her manager was sitting next to us and she kept using her computer without saying anything) . never come back again.,1
"4/6 items we asked for was either unavailable, sold out or missing ingredients...  very disappointing.  service wasn't great, the waitress lacked enthusiasm, gave the vibe that she can't be bothered and only when i pay to tell me cash only...  not sure if i will go back any time soon.",1
very impressive and delicious fruit dessert   ,5
