label,name,text
5,3d nails @ Le Salon London China town,"If you’re looking for a nail salon that provides excellent quality, a speedy service and lovely staff then this is the place. It’s a small basement salon that Fiza and her staff make so welcoming. Yesterday they even had a cup of tea …"
1,3d nails @ Le Salon London China town,"They are very prompt, friendly and accommodating. But my nail polish had chipped in less than 24 hours. The staff had accidentally clipped my cuticle which made my cuticle bleed. My nails in general feels more brittle after this."
5,3d nails @ Le Salon London China town,The first place I’ve trusted to do my very thick eyebrows in two years! Such a fun little salon
5,3d nails @ Le Salon London China town, 
1,3d nails @ Le Salon London China town,"I used to have strong nails until they have been totally destroyed by this manicure. I did a soft gel, 45 pounds without receipt and after only 5 days my nails started to break one after another. The place is very dirty and nothing is …"
5,3d nails @ Le Salon London China town,It is located under a hair salon. It is very cozy in the basement. Staff is super nice and friendly. Pricing is very good I paid 50£ for long stiletto nails
1,3d nails @ Le Salon London China town,"Electric filing to remove shellac or gelish, ladies expect your fingers to be dipped in bowls of acetone to soften the gel before removal. Harsh but thorough filing of the nails. Cleanliness not the strongest suit as i got an infection in …"
3,3d nails @ Le Salon London China town, 
5,3d nails @ Le Salon London China town, 
5,3d nails @ Le Salon London China town,Got my nails done today - Adriana did a great job and was really friendly and chatty which I’m not used to in nail salons!! 10/10 - will return when I’m next in London!!
1,Baiwei,"(Translated by Google) The service was extremely poor, it didn't feel like going to dinner, but going to beg.
Worst service ever! It really hard to imagine how could anyone be this rude as their staff.
If anyone saw this comment, please do …"
2,Baiwei, 
3,Baiwei, 
4,Baiwei,"The Food is very nice but when I ask for recommendation the waitress told me you can't just one, which I never said I want just one dish.so I find that is a bit rude think I am a poor person can't afford ?? Lol anyways in the end I had to …"
4,Baiwei, 
2,Baiwei,Ok sichuan food. Quick service but without a smile or warmth. And would not accept card payment for an 80 pound bill. Had to walk down to the local atm to get cash to pay. My local kebab house and chinese takeaway even take card payments!!
5,Baiwei, 
2,Baiwei,Below average. Very salty (nearly inedible) food. Service was ok. There’s plenty more options on your door step
5,Baiwei,Great authentic Chinese food
5,Baiwei,The mao cai is mouth tingling excellent
3,Bake 麵包屋, 
2,Bake 麵包屋, 
4,Bake 麵包屋, 
5,Bake 麵包屋, 
3,Bake 麵包屋, 
5,Bake 麵包屋, 
4,Bake 麵包屋, 
4,Bake 麵包屋,Small take-away asian bakery. Loved the small fish shaped pasty that is lightly stuffed with custard.
3,Bake 麵包屋, 
5,Bake 麵包屋, 
5,Bake 麵包屋,"Tea time,supreme. Pastries, Apple pie, chocó fudge exquisite.we enjoy it !one more time. 
."
4,Bake 麵包屋,"I got the green tea ice cream. Beautiful presentation, flavor was a bit lacking (couldn't really taste the green tea/matcha), but the fish pastry was delicious. I got some buns last time and they were pretty soft and fresh."
5,Bake 麵包屋,TAIYAKI 😍 so delicious !! Try it out
5,Bake 麵包屋, 
4,Bake 麵包屋,They have some dope ice cream. Seemed to be in a rush kicking us out as soon as we had our order.
5,Bake 麵包屋,"Amazing food , especially the pandan cake and ice cream. Extremely helpful and will continue to go in the future"
4,Bake 麵包屋, 
3,Bake 麵包屋,Yummy! Definitely worth the wait
4,Bake 麵包屋,"(Translated by Google) Taking photos for instagram Taiyaki Asakurim

(Original)
인스타용 사진찍기 타이야키 아수쿠림"
5,Bake 麵包屋, 
5,Beijing Dumpling,Ristorante buono degno delle 5 stelle
4,Beijing Dumpling, 
4,Beijing Dumpling, 
5,Beijing Dumpling, 
5,Beijing Dumpling, 
2,Beijing Dumpling, 
5,Beijing Dumpling,So so delicious. Totally worth the wait!
5,Beijing Dumpling,"Probably the best Chinese food I have had in the UK. Reasonable prices. Good, fast service."
4,Beijing Dumpling, 
5,Beijing Dumpling, 
5,Beijing Dumpling, 
5,Beijing Dumpling,"(Translated by Google) Excellent! Very tasty and fast! Highly recommend.

(Original)
Отлично! Очень вкусно и быстро! Очень рекомендую."
5,Beijing Dumpling, 
3,Beijing Dumpling,"We had so much expectations walking in thinking we would get the Xiao Long Bao(soup dumplings) filled with mouth burning broth, which is the main selling point of the restaurant, but we were disappointed slightly. The XLB had very little broth inside. But other dishes that we had weren't too bad."
4,Beijing Dumpling, 
4,Beijing Dumpling, 
5,Beijing Dumpling,"Excelente food, big portions, good price!
The ""La capital"" plate is exquisite! Also the coconut curry chicken. You can order both to be less spicy."
5,Beijing Dumpling, 
3,Beijing Dumpling, 
2,Beijing Dumpling,"It's a very busy place. A lot of people inside and ouside (in queue). The tables are very close. You don't feel any special attention. Everything felt so quick. The food is ok, but nothing too different. We had tried better Chinese …"
3,Beijing Dumpling, 
4,Beijing Dumpling, 
5,Beijing Dumpling,"(Translated by Google) The most perfect ...

(Original)
הכי מושלם שיש..."
5,Beijing Dumpling,Amazing food !!
4,Beijing Dumpling, 
4,Beijing Dumpling, 
5,Beijing Dumpling, 
4,Beijing Dumpling, 
4,Beijing Dumpling,"Nice atmosphere, very quick service, piping hot  and delicious. Waiter even told me I was ordering too much food & what to take off! 👏🏽 Great, thanks!"
5,Beijing Dumpling,Muito bom e barato
