text,label,date
Ristorante buono degno delle 5 stelle,5,an hour ago
 ,4,23 hours ago
 ,4,23 hours ago
 ,5,a day ago
 ,5,2 days ago
 ,2,3 days ago
So so delicious. Totally worth the wait!,5,5 days ago
"Probably the best Chinese food I have had in the UK. Reasonable prices. Good, fast service.",5,6 days ago
 ,4,6 days ago
 ,5,a week ago
 ,5,a week ago
"(Translated by Google) Excellent! Very tasty and fast! Highly recommend.

(Original)
Отлично! Очень вкусно и быстро! Очень рекомендую.",5,a week ago
 ,5,a week ago
"We had so much expectations walking in thinking we would get the Xiao Long Bao(soup dumplings) filled with mouth burning broth, which is the main selling point of the restaurant, but we were disappointed slightly. The XLB had very little broth inside. But other dishes that we had weren't too bad.",3,a week ago
 ,4,a week ago
 ,4,a week ago
"Excelente food, big portions, good price!
The ""La capital"" plate is exquisite! Also the coconut curry chicken. You can order both to be less spicy.",5,a week ago
 ,5,a week ago
 ,3,a week ago
"It's a very busy place. A lot of people inside and ouside (in queue). The tables are very close. You don't feel any special attention. Everything felt so quick. The food is ok, but nothing too different. We had tried better Chinese …",2,a week ago
 ,3,2 weeks ago
 ,4,2 weeks ago
"(Translated by Google) The most perfect ...

(Original)
הכי מושלם שיש...",5,2 weeks ago
Amazing food !!,5,2 weeks ago
 ,4,2 weeks ago
 ,4,3 weeks ago
 ,5,3 weeks ago
 ,4,3 weeks ago
"Nice atmosphere, very quick service, piping hot  and delicious. Waiter even told me I was ordering too much food & what to take off! 👏🏽 Great, thanks!",4,3 weeks ago
Muito bom e barato,5,3 weeks ago
"Good dumplings and fish dim sum, other dishes seemed good but I didn’t order.
Easy going place, very quick service and perfect for a pre theater dinner",4,3 weeks ago
"The pan fried dumplings were just incredible. I could have eaten about 10, they were so moreish! One of the best places in Chinatown for food!",5,3 weeks ago
"Great Chinese restaurant providing quite a lot of dishes to choose from. The service was quick and prompt..  The beef ho fun is a really lovely dish to try. The mixed meat and sea food ho fun is also quite a treat containing prawns, squids , chicken , beef , pork , and loads more... Food bloggers this is a place you gotta try out",5,3 weeks ago
 ,5,3 weeks ago
The dumplings are superb.,5,4 weeks ago
 ,4,4 weeks ago
 ,5,a month ago
"Overall, I really liked this place. As a dumpling house, their main features were really good. We had the pork xiao long bao, the crab and pork xiao long bao, the spicy xiao long bao and the pan fried dumplings. They were all pretty good. …",4,a month ago
 ,4,a month ago
"(Translated by Google) Very good dumplings.

(Original)
Bardzo dobre pierożki.",5,a month ago
 ,5,a month ago
 ,5,a month ago
 ,5,a month ago
 ,4,a month ago
 ,5,a month ago
"(Translated by Google) Authentic Chinese restaurant

(Original)
מסעדה סינית אותנטית",5,a month ago
 ,5,a month ago
 ,3,a month ago
"(Translated by Google) Unwelcoming welcome but the restaurant is great. The wait is worth the effort. Very very good. To do and redo.

(Original)
Accueil non chaleureux mais le restaurant est génial. L'attente en vaut la chandelle. Très très bon. A faire et refaire.",5,a month ago
From now on my go to place for dumplings!!! Long live beijing dumpling!!! They treat you really great!!!!,5,a month ago
"Good value food, big portions",4,a month ago
 ,5,a month ago
 ,5,a month ago
"Good food and dumplings. The quality of the food is high, but the staff could be more attentive. Prices are reasonable.",4,a month ago
 ,4,a month ago
 ,5,a month ago
Always amazing tasting and quick to come out! Best xiao long bao that I’ve ever had!,5,a month ago
 ,5,a month ago
 ,4,a month ago
"(Translated by Google) It's so salty and soggy that it's not chewed and onions are not ripe so it's wasteful
Dim Sum was served with thick, even burnt dim sum.
Here is a suspicious taste
It's a disappointing restaurant.

(Original)
미리 튀겨놓은 …",1,a month ago
 ,2,a month ago
"To be honest, I couldn't see what the hype was about with this place. The queue was about 20 minutes to get in and the dumplings were not all that. We had other dishes but I just was not keen. Maybe give it your own review (maybe I was missing something) but I would not go again",3,a month ago
 ,4,a month ago
Delicious and not expensive,4,a month ago
 ,5,a month ago
 ,4,a month ago
 ,5,a month ago
 ,4,a month ago
"Dumplings were satisfactory but did not live up to my expectations, comparing to other eateries I’ve tried in Chinatown and London in general. The dumplings (小笼包 xiao long bao) were small, didn’t have much broth, and the bottom skin stuck …",4,a month ago
Best pork fried dumplings I've ever had! They even made tofo taste good.,5,a month ago
Loved it.,5,a month ago
 ,3,a month ago
 ,4,a month ago
