text,label,date
 ,5,7 months ago
 ,5,7 months ago
 ,1,7 months ago
 ,4,7 months ago
"Competent Chinese medicine, a nice place, and reasonable prices.",5,8 months ago
 ,5,11 months ago
 ,5,a year ago
 ,5,a year ago
"(Translated by Google) Dr. Guo is super.

(Original)
Dr. Guo is super.",5,a year ago
"(Translated by Google) Do not want to be at the same level as the domestic level, but at least not pit people. From this point of view, it has been better than many British ""Chinese Medicine Museum.""

(Original)
不用妄想跟国内同水平，但至少不会坑人，从这点上来看就已经好过很多英国的“中医馆""了。",4,a year ago
