text,label,date
 ,5,4 hours ago
오레오크런치(오레오과자+딸기치즈케이크젤라또+소금태러멜토핑) 안달다해서 먹어봣는데 첫맛 세상 개달달개존맛 버블와플은 세상에 이렇게 부드러울수가 한국에도 있엇음 꼭 갔다하지만 반정도먹고나면 너무달아서물림 그래도 첫맛은 존맛인정,4,a day ago
Such scrumptious flavours. I love that you can create your own and the fact that they had vegan options.,4,2 days ago
 ,5,3 days ago
 ,4,4 days ago
 ,5,5 days ago
What can i say. If you like sweet waffles then be prepared for a taste sensation.,5,6 days ago
 ,4,a week ago
 ,5,a week ago
"Very popular for good reason. Fast service, lovely ice cream waffles with great selection.",5,a week ago
Three vegan ice cream flavours that were all yummy. The vegan peanut butter waffle base was delicious too. Very substantial snack.,5,a week ago
So yummy ❤️❤️,5,a week ago
 ,5,2 weeks ago
 ,4,2 weeks ago
They should pay attention what we really want but I know they just want to sell this evening I asked for chocolate icecream and vanilla plus doble chocolate sauce and I get something that I wasn't expecting. I'M REALLY DISAPPOINTED,2,2 weeks ago
 ,4,3 weeks ago
 ,4,3 weeks ago
"(Translated by Google) I like that place very much
Ice cream shop in the heart of the Chinese city in London
Its price is slightly higher than usual
But the quality of service it provides is great
It allows you to design the ice cream you …",4,3 weeks ago
 ,3,3 weeks ago
 ,4,3 weeks ago
"I think the five stars goes to the staff. The food was delicious also, but the guy who served us did such a wonderful job and made the experience so enjoyable. I didn't get his name but he had brown curly hair and a lovely approachable …",5,3 weeks ago
 ,5,3 weeks ago
Quick serving. Good selection,4,4 weeks ago
 ,5,a month ago
"We come here everytime we come to London, I can not recommend this place highly enough,
Friendly staff",5,a month ago
 ,4,a month ago
"The most instagrammable food ever! We went in to get my daughter a bubble waffle and she absolutely loved it. She went with a quadruple chocolate creation. However, the place is expensive. And we had to queue for about 15 minutes. My son …",3,a month ago
A great idea! Waffle was nice and light and the toppings were delicious,5,a month ago
"WOW, Very tasty",5,a month ago
 ,4,a month ago
Great tasting waffles and ice cream combos,5,a month ago
 ,5,a month ago
Very yummy! Long line but went fast.,5,a month ago
"(Translated by Google) A massacre. The ice creams are very good, the waffles too. It lacks a bit of explanation for non-regulars, but the suggestions are relevant and allow a first successful experience. Please note, it is very small, do …",5,a month ago
"Tasted delicious, great customer service, good texture in the food, friendly staff",5,a month ago
"Was good last year, unsure what happened but I wouldn't go there again.. Waffle wasn't what it used to be..",2,a month ago
"Such a delicious and positive experience, great bubblewrap waffle with a lot of vegan options! I was also surprised with the large portion sizes. I highly recommend this place :)",5,a month ago
 ,5,a month ago
"(Translated by Google) Simply incredibly tasty and freshly prepared for every customer. You like to wait a little longer.

(Original)
Einfach unfassbar lecker und für jeden Kunden frisch zubereitet. Da wartet man gerne ein bisschen länger.",5,a month ago
"(Translated by Google) Super good!!!

(Original)
Super bon!!!",4,a month ago
"Wow,my wife is happy😉,see you next time.",5,a month ago
"Right in the heart of Chinatown, shame they can't have a larger space because the cashier is right by the door, which means sometimes you'll be waiting in the rain. They have a great selection of flavours and there's generally new seasonal items to try if you visit often",5,a month ago
I like Waffles and I like ice cream.....what more could I ask for in a venue !,4,a month ago
 ,5,a month ago
"(Translated by Google) Ingenious waffles. Otherwise only in Hong Kong.

(Original)
Geniale Waffeln. Gibt's sonst nur in Hongkong.",5,a month ago
 ,5,a month ago
 ,5,a month ago
 ,5,a month ago
 ,5,a month ago
 ,5,a month ago
 ,4,2 months ago
 ,4,2 months ago
 ,5,2 months ago
"It's a fun, unique desert you can enjoy in the area. Worth to try it at least once! It's a bit overpriced but pretty good. I loved the waffle but the whole combination with ice cream and other things was a bit too sweet for me. I couldn't …",3,2 months ago
"Possibly the best bubble waffle shop I've been to! If I lived in London, I'd most likely go here every week!",5,2 months ago
 ,4,2 months ago
 ,4,2 months ago
Oh love the unique idea of bubble wrap waffles and  Gelato...I had a customized apple pie waffle with strawberry cheesecake gelato.. sprinkled with KitKat and white chocolate..it was simply amazing..!!,4,2 months ago
 ,5,2 months ago
 ,5,3 months ago
