text,label,date
Really delicious food. I would recommend the prawn steamed dumplings and the smashed cucumber in particular. But everything we had was great. It's a self service restaurant so you order at the till and take a tray to your table or take a …,5,an hour ago
 ,5,5 hours ago
 ,4,a day ago
 ,5,a day ago
 ,5,3 days ago
"This place is delicious. I've only gotten take away. The chicken rice pot is to die for, and so are the garlic cucumbers. Easy on the wallet too. Main guy working take away is also always friendly.",5,3 days ago
 ,5,3 days ago
 ,5,3 days ago
What a taste on such a small piece of steam bun!,5,3 days ago
 ,5,3 days ago
 ,5,4 days ago
 ,4,5 days ago
So damn tasty! Will be back,5,5 days ago
 ,5,5 days ago
Bun is not tasty nor authentic . Those think the bun good might never tried real buns.,1,5 days ago
Shumai is awesome! Cooked fresh,5,6 days ago
"Pretty good Hong Kong-style Street food. We have been going to this place (and its sister restaurant) for a while now - it’s super busy particularly at night so would try to come during off-peak hours. 

Things that I really liked: 
- Curry …",4,6 days ago
Very cozy place. The bao was great and not too expensive,5,a week ago
Ok place to eat. Nothing special.,3,a week ago
2 buns and 1 beer cost 8.8 pounds. Good! Better than Beijing dumpling next door.,4,a week ago
"Casa de baos e comida chinesa, o ambiente é muito bom e a comida é espetacular, pedimos o menu de baos que inclui dois baos á escolha e uma cerveja chinesa do dia, pesos também um prato de tripas que são maravilhosas e outro de arroz e carne.
A cerveja é boa e o lugar é bastante concorrido. É pré pagamento.",5,a week ago
"Tasty and cheap Cantonese steamed buns. Definitely recommend the custard buns, they are absolutely delicious.",5,a week ago
"One of the probably most delicious treats in all of China Town. This fine establishment provides a range of steamed buns and other goodies such as beef brisket rice bowls. I would seriously recommend trying the fish bun, simoly darling. For …",5,a week ago
 ,5,a week ago
Really tasty food and instant Bao buns as you order. I'll definitly be back,5,a week ago
 ,4,a week ago
Good buns for cash strapped hungry people. Only take credit cards!,4,a week ago
Delicious custard bun and veggie bun. Very filling!,5,a week ago
So good! Love their veggie buns,5,a week ago
"Wow, spontaneously decided to pop in for a single bun and ended up ordering a plate. Cozy and tasteful interior, chilled lo-fi tunes, friendly staff and absolutely fantastic food!",5,a week ago
"Nice cosy small place with great flavour bao & other Asian food. Good atmosphere and friendly service, would definitely recommend if passing through the area",4,a week ago
"Amazing! Buns were okay, but would recommend getting the rice pots/small dishes. Flavour was very good and decent price. Definitely coming back to try other small dishes here.",5,a week ago
 ,5,a week ago
 ,5,a week ago
 ,5,2 weeks ago
Really exceptional buns and flavours. Must have a custard bun.,5,2 weeks ago
 ,5,2 weeks ago
 ,5,2 weeks ago
 ,4,2 weeks ago
"Really nice bun, large choice and typical drinks also available.
Too bad that the seating is a bit random.",4,2 weeks ago
"Love the yasai bao, pickled cucumbers and quick service!",5,2 weeks ago
Easy on the menu and easy on the wallet. Good amount of choices with comfy happy service. It can get a bit busy at times but it's worth a wait if you must. A bit touristy yet good reliable choice.,5,2 weeks ago
Loveeee the food here. Vintage vibes and very good buns!,5,2 weeks ago
"(Translated by Google) I ate pigburn and giblets.
Pigburn tastes like delicious meat bread
Gopchang expected strong mara scent, but its sweeter than it would have been bitten
It's good because there are many seats on the second floor. …",4,2 weeks ago
The quality of the dishes we ordered were more like a takeaway than a restaurant. I guess it was our first and last visit to this place.,3,2 weeks ago
Very authentic,4,2 weeks ago
"(Translated by Google) The best buns of my existing

(Original)
Les meilleurs bun de mon existante",5,3 weeks ago
❤️Bun house is a restaurant that sell traditional Cantonese dim sum and dishes. I ordered the custard bun and the beef brisket scallops rice. I highly recommended everyone to try the custard bun! The flavour and texture is the same as the …,4,3 weeks ago
 ,5,3 weeks ago
 ,5,3 weeks ago
 ,5,3 weeks ago
"The food is really good, especially the buns. The setting is also really nice, but very dirty which made me uncomfortable. The tables and dishes are well kept, but a better cleaning of the seatings should be made. The service is good though!",3,3 weeks ago
"The bao bun was super fluffy, sweet and delicious. Probably the best bao bun I’ve ever had. It was there perfect comfort food for the cold weather. Would 100% go back. Defo recommend !!",5,3 weeks ago
 ,3,3 weeks ago
"Simply, and consistently, the best bao buns in town. I have a preference for their tripe as well, it's delicious, but the rest of the menu is full of great choices, you can't go wrong with this establishment.

Kudos to the team as well, no matter how busy it gets they're always cheerful and very polite.",5,3 weeks ago
 ,5,3 weeks ago
Never disappointed! Hole in the wall but love this place and all it has to offer.,5,3 weeks ago
 ,3,3 weeks ago
Lovely buns! The duck egg custard is 🔥🔥🔥,5,4 weeks ago
Nice food,4,4 weeks ago
"The custard in their custard buns tastes amazing, just wish there was more of it.",4,a month ago
 ,4,a month ago
I really enjoyed the custard buns and Wok Fried Cheung Fun. Staff could be more friendly.,3,a month ago
 ,5,a month ago
"Amazing food, great beer, visit every time I have a chance",5,a month ago
Love this place ! Very casual joint,5,a month ago
 ,5,a month ago
"Fantastic! The buns here are delicious - we always come here whenever we're in London. All the bun options are amazing, watch out for the custard one though, it is quite explodey, in a delicious custardy sort of way.",5,a month ago
 ,5,a month ago
Sadly don't take cash.💸 The taste was good,4,a month ago
 ,3,a month ago
 ,5,a month ago
 ,5,a month ago
My favourite place to go of all time,5,a month ago
"Lovely service, relaxed and affordable. Brilliant buns",5,a month ago
 ,5,a month ago
"Very cute place! Portions are small so need to order at least a few things for a meal. Otherwise, great for a snack. The buns were great.",4,a month ago
Delicious!,5,a month ago
 ,5,a month ago
"The chicken, lamb, beef and custard buns were incredible!",5,a month ago
 ,5,a month ago
Amazing buns look out for the custard and the brioche like bun they are 😍😍😍😍,5,a month ago
Great food and good prices. Staff are very friendly also,5,a month ago
"Delicious, fast and good value for money. Staff were also friendly and the atmosphere was very cosy and nice",5,a month ago
 ,5,a month ago
The best buns in town!!!,5,a month ago
"Soooooo damned good

Thanks!",5,a month ago
 ,4,a month ago
Great selection of top buns,5,a month ago
 ,5,a month ago
 ,3,a month ago
 ,5,a month ago
 ,4,a month ago
"(Translated by Google) Eat only custard buns. Chewy bread and cream inside. But the cream looks like water so if you bite it

(Original)
커스터드번만 먹어봄. 빵 쫄깃하고 안에 크림 고소하다. 근데 크림이 물같아서 한입 베어물면 퐉 터져나오니 조심하시길",5,a month ago
"Very good food, non ernational service",4,a month ago
Good menu but not to vegetarians,3,a month ago
 ,4,a month ago
"Excellent and authentic food, tried all of the dim sum and the flavours and quality was on point. Definitely would come back again.",5,a month ago
"(Translated by Google) Tasty, large portions

(Original)
Вкусно, большие порции",5,a month ago
 ,3,a month ago
 ,4,a month ago
Bun House never disappoints 😋,5,a month ago
 ,5,a month ago
"(Translated by Google) A delicious soup

(Original)
Pyszna zupka",5,a month ago
Nice little place. The custard bun is nice. The wings are crispy. Definitely want to come back to try more buns.,5,a month ago
 ,5,a month ago
 ,5,a month ago
The food was delicious and good value for money.,5,a month ago
Stumbled across this place on a day out in China Town. Amazing value for such high quality dishes! I’d recommend the Chicken Bao and Scallion Chicken Rice Pot.,5,a month ago
 ,5,a month ago
"Recommended! They do absolutely fantastic custard bun, must try, the custard filling will flow out when you take a bite! Their shrimp dumpling is also very tasty!",5,a month ago
Really good dim sum here. My favourite is the runny custard bun which is hard to find in the UK. They also do a variety of other Chinese dim sum which is all freshly made and tasty.,5,a month ago
 ,4,a month ago
Great place to eat. Pork buns followed custard ones are the way to go!!! Messy but deliciously rich and tasty.,5,a month ago
Good food and cool atmosphere upstairs,4,a month ago
 ,5,a month ago
 ,5,a month ago
 ,4,a month ago
Great food!! Highly recommend!,5,a month ago
 ,5,a month ago
That custard bun......,5,a month ago
 ,4,a month ago
Love the custard (lau sa) buns!,5,2 months ago
 ,5,2 months ago
"Quick, simple and tasty.",5,2 months ago
Really lovely food. If you want to know which bun is which the Chinese symbols are at the bottom of your receipt.,4,2 months ago
Delicious,5,2 months ago
"3rd time here, all I can say is yum! 😋",5,2 months ago
 ,5,2 months ago
 ,5,2 months ago
