text,label,date
Decent Malaysian food.,4,a day ago
"I had the roti and sauce followed by the Singapore Laksa and was genuinely blown away by the quality of the food. Tremendous value and I'm still thinking about that Laksa 5 days later!  Will be back multiple times, no doubt.",5,3 days ago
 ,2,a week ago
Malaysian/Chinese caff. Good food and the staff seem to enjoy their job.,4,a week ago
Food mediocre,3,a week ago
"(Translated by Google) In London there are many small streets where you can taste exotic dishes at will.
This little Malesian restaurant is excellent, I recommend it.

(Original)
A Londres il y a de nombreuses petites rues où l'on peut …",4,a week ago
 ,5,a week ago
 ,5,2 weeks ago
 ,5,2 weeks ago
This is a great hidden gem. Great food no nonsense service in and out. Sometimes there's a q,5,2 weeks ago
 ,5,3 weeks ago
The venue is well lit and spaced out nicely for the small space.,4,3 weeks ago
"(Translated by Google) Delicious

(Original)
Riquisimo",5,3 weeks ago
"A relatively small (albeit spread over two floors) unpretentious restaurant in the heart of London Chinatown - tucked away down a small alley off Wardour Street.

Although marketed as Malaysian cuisine, dishes are also Taiwanese, …",4,3 weeks ago
"Lamb curry, always a good choice",4,3 weeks ago
 ,5,3 weeks ago
 ,4,3 weeks ago
Great food but poor service,4,3 weeks ago
Good food at reasonable prices,4,4 weeks ago
 ,5,4 weeks ago
Decent place for laksa in London. Service is very quick and efficient.,4,4 weeks ago
"Stunning food served with a smile ,great value for money",5,4 weeks ago
"My first time going there after my partner has been non stop nagging at me to go there with him for months now.

Honestly one of the best Maylasian food restaurants in London (and that is saying at lot about this place to be honest) 

We …",5,a month ago
 ,4,a month ago
"Carb heavy,  spicy and fragant and at times squishy food, enjoyable!",4,a month ago
Cheap and cheerful gem! Tasty food at a good price. Sometimes a bit cramped but this isn't a big issue.,4,a month ago
Great food and price.  We have been going here for over 15 years,5,a month ago
 ,5,a month ago
"Very nice place, they could serve half portion for half price. Is worth it to go",4,a month ago
 ,5,a month ago
Good laksa - but veg and other smaller things are overpriced,4,a month ago
"Really great traditional and authentic Malaysian restaurant. The food is generally great, my fave being the Singapore Laksa which is more coconutty - my fave laksa place in London anyway. The other foods are great as well - roti canai. …",4,a month ago
A Bit slow in serving you but the food was good,3,a month ago
"Most Malaysian style cooking. Good selection of dishes but nothing exciting.
Good service.",3,a month ago
 ,3,a month ago
 ,4,a month ago
 ,5,a month ago
"Nice, but found it to be more quantity over quality.",3,a month ago
Great food but the waiter on the first floor was rude. Not an issue since I won’t be back here again.,3,a month ago
Friendly staffs and delicious Seafood Tomyam yummy 😋,4,a month ago
"Authentic Malaysian food
Had the Hokkien Mee (noodles) which was exactly as one would get in Malaysia - absolutely delicious!

The chicken satay sadly is not as good - seems fried (not charcoal grilled) and the peanut sauce is not that great - still very good.",5,a month ago
 ,1,a month ago
Don't miss this place if u like Malaysia food. It just taste like home - must come,5,a month ago
 ,5,a month ago
 ,5,a month ago
Nassi lemak is the best!,4,a month ago
Great food and service. Will be back to try some more dishes from the huge menu,5,a month ago
 ,5,a month ago
"Superb. The Singapore Curry Laksa is amongst the best you'll find London. The Rendaang is another must try too.

Love this place.",5,a month ago
"Get the Singapore Laksa!! So delicious, filling and cleansing. Ambience is lacking and if it's busy then you might be a bit too close together but it's worth it for the singapore laska, £9 well spent!!!",4,a month ago
 ,5,a month ago
 ,5,a month ago
 ,4,a month ago
"Malaysian halal diner in soho. 

Pro’s
Quick service
Massive portions 
One of very few halal food places in soho
Flavoursome food

Cons
Busy at times
Mistake with our order
Seating with other people at busy times",4,a month ago
Good malaysian dishes,4,a month ago
 ,3,a month ago
The food and service was great and the fresh mixed fruit juice was devine I could have drink 2 glasses easily. This is one of favourite eateries. The only complain I have is the place was cold upstairs where we set.,4,a month ago
"(Translated by Google) A bit pricy but worthy. Recommend for Penang Char Koay Teow, Penang Hokkien Mee and Nasi Lemak.

(Original)
A bits pricy but worthy. Recommend for Penang Char Koay Teow, Penang Hokkien Mee and Nasi Lemak.",5,a month ago
Yes! Don't tell anyone about this place if you have been there! It's mine!,5,2 months ago
"Good service, be prepared for a queue. Char quay teow was really nice. Liked the Rojak (mixture of fried tofu and veg in a sauce), fried chicken wings and the teh tarik.  Did not like the satay or the roti chanai  but that's me, comparing with the authentic taste I am use too.",3,2 months ago
