text,label,date
Fantastic venue for our awards event! We have been going there for the last 6 years and have booked again this year. The staff are always fantastic and so helpful. The food is always delicious and the atmosphere perfect.,5,9 hours ago
Fantastic evening!! Highly entertaining!,5,2 days ago
 ,5,a week ago
 ,4,a week ago
 ,5,a week ago
Does not compare to cabarets in Europe. Tables were small and crowded like everywhere in London. Businesses see you as a dollar sign and not as a customer. They force you to pay 12.5% service when it should have been optional. For a …,3,a week ago
"Me and a few of our friends decided to go, and we were suggested to book with Alex from londonnightguide. He was very helpful and even suggested the venue for us. The club was spectacular, and we had a lot of fun while dancing all night and the dj kept spinning amazing hits. 100% recommend for any night out.",5,a week ago
"I though if a place charges you £20 on the entrance as a standard price- it must be worth it. Could be more mistaken. The place is small much smaller than it appears on the pictures, full of doggy people (the night when we went there). Just a gin mill. Do not recomend it if you value your money.",1,a week ago
"Fantastic atmosphere, great music, people and staff, definitely will be going again !",5,2 weeks ago
"(Translated by Google) During an improvised evening, Zalla, a promoter, invited us to this evening.
Chic and trendy place!
In the VIP corner, a view of the show and the dance floor. And a dj that surrounds you all evening !!

(Original)
Au …",4,2 weeks ago
It celebrated New Year's Day here 2019 it was lit 🔥👌🏻,5,2 weeks ago
 ,5,3 weeks ago
"This place sold us what apparently were student tickets and did not let us in without student ID, saying that we have to pay £20 per person. Worth to mention that when they sold tickets they did not say ANYTHING about student ID. Not worth …",1,3 weeks ago
 ,4,a month ago
"Promoters approach groups saying they will give you free drinks. Once you pay 20 pounds, drinks never arrive to table and they move you to VIP like they are making you a favour. Once you are there the drink was not even vodka, tasted like water with orange juice. Then they get more people to the downstairs area and so on.",1,a month ago
"very good experience, super fun and really enjoyed it. Nick in particular was very accommodating and super helpful. Definitely will be returning!",5,a month ago
"(Translated by Google) What a mockery! Ridiculous prices and poor service. Not value for money.

(Original)
Wat een aanfluiting! Belachelijke prijzen en slechte bediening. Geen waar voor je geld.",1,a month ago
One of the best nights of my life. DJ was unreal. Can’t wait to revisit soon,5,a month ago
The toilets were horrible. Skanky,1,a month ago
"They rejected us because we were foreign, we're Australian.",1,a month ago
 ,5,a month ago
"Absolutely garbage nightclub. As a foreigner, we were charged overly expensive covers and drinks were unbelievably not worth the price. Very weird mix of a crowd, staff is quite rude. One of the worst nightclubs in London.",1,a month ago
"I went there yesterday for New years eve and its was bery crowded. The place is nos as big as you would expect. There was a long queue outside, then we had to wait for 30+ mins each  in every queue( cloack room to leave the coats/ to take …",2,a month ago
"Really nothing special. Your usual cheesy, sweaty nightclub.",3,2 months ago
 ,1,2 months ago
My fiancée and I visited Cafe de Paris in early December 2019 for their three course dinner and Cabaret evening. The food was delicious and the Cabaret was excellent. The acts were of an incredibly high standard with a brilliant and hilarious host. We can't wait to visit again with friends!,5,2 months ago
The venue was spot on. The team knew exactly what they were doing in terms of food distribution . They were so open to making the evening totally customised  to our needs. Would wholeheartedly recommend,5,2 months ago
 ,5,2 months ago
 ,5,2 months ago
Great venue - probably one of the best clubs in the area..,5,2 months ago
