text,label,date
 ,4,3 days ago
 ,5,4 days ago
 ,3,5 days ago
Decent bubble tea not the best but it's okay,4,6 days ago
 ,4,6 days ago
The bubble tea feels diluted. The pearls are a little too chewy,3,a week ago
Nice drinks but use a lot of plastic and overpriced,3,a week ago
Nice selection of teas,3,a week ago
"An incredibly rude young girls who talked while putting others' orders on the counter, unattended by anyone. What could have been  5 minute service took well over 12 minutes. They gave someone else's order that came way after me at the same …",1,a week ago
 ,5,a week ago
 ,5,2 weeks ago
Very friendly staff.  We left our shopping there accidentally and they saved it for us.  Great tea and super design.,5,2 weeks ago
 ,5,2 weeks ago
"Was served by a young girl called Ruby, such a lovely girl! I was so pleased by her amazing customer service and she really made my day. Great girl! Great service!",5,2 weeks ago
 ,5,2 weeks ago
One of the best bubble tea you can get in London!,5,3 weeks ago
Affordable price and good quality drink,5,3 weeks ago
 ,5,3 weeks ago
 ,5,3 weeks ago
 ,4,a month ago
 ,2,a month ago
 ,4,a month ago
Great bubble tea! However very inefficient with orders. Took half an hour to get my order. The big reason it's always busy is because they move slow!,3,a month ago
 ,3,a month ago
 ,4,a month ago
 ,5,a month ago
"Nice and authentic. The foam drink was too sweet though. You can get their online app, order it and just collect it there. However, they forgot my order so we waited for a while. They were very busy so I understand but we waited for like 40 mins.",4,a month ago
 ,4,a month ago
"This is a terrible franchise nobody makes any money, they just keep putting up the prices, it is impossible to make money",1,a month ago
 ,5,a month ago
"(Translated by Google) Hello Kitty Style a very tasty bubble tea in the middle of London, it was delicious and daughter loved it. People were very nice and everything looked very clean and sterile.

(Original)
im Hello Kitty Style einen …",5,a month ago
Rude staff members and very slow in making drinks,1,a month ago
 ,5,a month ago
"(Translated by Google) Very tasty Bubbletea and cute little shop. Even with large numbers of visitors, you can get your order quickly.

(Original)
Sehr leckerer Bubbletea und süß gestalteter, kleiner Laden. Auch bei großen Besucheraufkommen bekommt man seine Bestellung schnell.",5,a month ago
 ,5,a month ago
Too slow 20 minutes waiting after ordered .... And error on my order.,1,a month ago
 ,4,a month ago
My favorite bubbletea,5,a month ago
 ,4,a month ago
 ,5,a month ago
"Tried their Chatime x Sanrio Tiramisu Milk Tea. It was very sweet - since I opted for regular sugar (which was a mistake I made on my behalf) - but nevertheless, it felt like I was actually eating the dessert. 

Would love to come back and try their other flavoured drink from the collab series.",4,a month ago
 ,5,2 months ago
 ,5,2 months ago
 ,3,2 months ago
My families trip to Chinatown is never complete without a boba from Chatime. You could say it's tradition - lol 😁 they almways make quality milktea,5,2 months ago
 ,5,2 months ago
"Young girl on the till today was incredibly rude and condescending today. Left bad taste in the mouth, pardon the pun. Taste of the bubble tea was below average as usual form this branch.",1,2 months ago
One of the best places to get various flavours of boba. Love it!,5,2 months ago
Nice atmosphere with an amazing selection of beverages,5,2 months ago
 ,5,2 months ago
