text,label,date
 ,5,8 hours ago
 ,4,a day ago
 ,5,5 days ago
"A little gem I found, super yummy pastries and cakes right in the centre of London and not expensive at all!",5,5 days ago
"Love this bakery! The buns here are fabulous and there's a large choice of different cakes, buns and other baked goods. Well worth a visit, but be aware it's usually pretty busy and is a tight squeeze as the store is small.",5,6 days ago
This place is must stop! Absolutely delightful. The pastries are wonderfully delicious. The price is great. It takes great restraint not to buy everything up. The staff is kind and warm. The concept and flow is brilliant. If you need …,5,a week ago
 ,5,a week ago
 ,4,a week ago
 ,5,a week ago
 ,5,a week ago
 ,5,2 weeks ago
expensive but worthy,5,2 weeks ago
"Stumbled across this jem of a bakery today. It was packed with a stream of people. Very different; you take a large tray, pair tongs & go around selecting different breads. Some are sweet & others savory. I selected a couple of different …",5,2 weeks ago
 ,5,2 weeks ago
Great selection of bakery. Always busy,4,2 weeks ago
"I love their fluffy cupcake, very light and not too sweet I can easily eat 2 and not feel guilty:) They have a nice selection of sweet and meal type bread. Don’t forget to carry cash.",5,3 weeks ago
 ,5,3 weeks ago
Love the custard fish and pandan cake,5,3 weeks ago
 ,2,3 weeks ago
"(Translated by Google) Bakery and confectionery, where you can eat all kinds of desserts, cakes. Located in Chinatown in London.

(Original)
Piekarnia i cukiernia , gdzie można zjeść różnego rodzaju desery , ciastka . Znajduje się w Chinatown w Londynie .",4,3 weeks ago
"Delicious, well priced",4,4 weeks ago
I love this place!! Nothing has ever let me down.,5,4 weeks ago
 ,5,4 weeks ago
 ,5,a month ago
 ,5,a month ago
So tasty,5,a month ago
 ,5,a month ago
 ,4,a month ago
The good food in there Amazing. 5 stars,5,a month ago
Very rude girl working at the cashier and seems she doesn’t like her job may be!!,1,a month ago
They have all sorts of yummy cakes and savory treats,5,a month ago
 ,5,a month ago
 ,5,a month ago
"I go there for some red bean curd filled bread, and Japanese Pot noodle called Cup noodle which I love for snack ( not for a meal). Good price and good quality. 
Not sure I like the very soft chinese style cakes though.... Also they have …",4,a month ago
(Translated by Google) It is located in the china town district in London. The scent of the bakery attracts you. I recommend the soft and very light muffin. Huge selection of both sweet and savory desserts. And the minnows with cream they …,4,a month ago
 ,5,a month ago
I have been here for many time and for many reason. This place was always my favourite and I hopefully those product have a sustainable innovative idea where always fullfill the people who love food. This place is always busy but if we …,5,a month ago
 ,3,a month ago
 ,4,a month ago
"(Translated by Google) great pandan cake

(Original)
great pandan cake",4,a month ago
 ,5,a month ago
 ,1,a month ago
Very yummy breads. Taste of home.,5,a month ago
"Delicious chicken curry buns and fried dough sticks.  The custard fish are to die for! 
The bakery is self service, its quite easy to get carried away and start piling on the breads as soon as you grab a tray and tongs. The prices are good for the quality of product and your items are packed well.",5,a month ago
Favourite Chinese bakery in London,5,a month ago
A good selection of baked goods at reasonable prices. Definitely worth a visit if you're in Chinatown.,5,a month ago
Great cakes and pastries but staff are so damn miserable and rude!,5,a month ago
 ,1,a month ago
I got food poisoned from their sausage bun and reported this place to the authorities. Avoid this place at all costs!!!,1,a month ago
Brilliant Chinese desserts,5,a month ago
 ,4,2 months ago
"Really bad customer service, avoid",1,2 months ago
I love it!,5,2 months ago
"(Translated by Google) The waiter was extremely bad

(Original)
服务员态度极差 神经病",1,2 months ago
Great variety of sweet and savory bakes! Excellent celebrations cakes,4,2 months ago
Fantastic range of delicious cakes!,5,2 months ago
very authentic bakery!,5,2 months ago
Pricey and bad hygiene. It's not very clear on what's what because the labels are crammed all together. The lady is way to tired and there's no rapport being build. They seem to be traditional baked goods but it doesn't have a great energy,2,2 months ago
 ,5,2 months ago
 ,5,2 months ago
