text,label,date
 ,5,14 minutes ago
 ,5,an hour ago
Many tourists ALWAYS. There are plenty of buffets with Chinese cuisine around. Cash only,4,2 hours ago
 ,5,2 hours ago
 ,5,2 hours ago
 ,4,3 hours ago
 ,5,4 hours ago
Plenty of  places  to eat lovely,4,5 hours ago
 ,4,5 hours ago
 ,5,5 hours ago
 ,5,6 hours ago
Nice,4,7 hours ago
 ,5,7 hours ago
 ,5,9 hours ago
 ,4,10 hours ago
 ,5,13 hours ago
 ,5,15 hours ago
Great traditional Chinese,4,22 hours ago
"(Translated by Google) Maka

(Original)
真香",5,23 hours ago
"Go for good Chinese food in London be careful if you are vegan ,",5,a day ago
 ,5,a day ago
"La Chinatown di Londra è spettacolare, molto bello e colorato Le lanterne rosse lungo le strade ti strasportano  in una Cina londinese, con  tanti profumi e cibi di ogni  genere. Consiglio di visitarla",5,a day ago
 ,5,a day ago
"Top, es como la entrada a un mundo chino de colores",5,a day ago
 ,3,a day ago
 ,4,a day ago
 ,5,a day ago
 ,4,2 days ago
Very nice for a day out.,4,2 days ago
 ,4,2 days ago
 ,5,2 days ago
 ,4,2 days ago
 ,5,2 days ago
 ,4,2 days ago
 ,4,2 days ago
I like China town. Good restaurants.,4,2 days ago
They have the traditional Chinese red lanterns hanging everywhere. Red and golden gates. There is just a amazing range of decorations and dragon statues at every corner.,5,2 days ago
 ,3,2 days ago
Es pequeño. Son restaurantes economicos y algunos sitios de masajes que son caros.,4,2 days ago
 ,4,2 days ago
 ,5,2 days ago
 ,5,2 days ago
 ,3,2 days ago
"(Translated by Google) Nice area with various eateries on every corner

(Original)
Хороший район с различными закусочными на каждом углу",5,2 days ago
 ,3,3 days ago
"(Translated by Google) Cute

(Original)
Carino",3,3 days ago
 ,4,3 days ago
It's vibrant after dark with an atmosphere that spills into the streets. Take a walk around and then stop of at one of the family restaurants for dinner.,4,3 days ago
 ,1,3 days ago
Lovely chinese meal with my husband,5,3 days ago
"(Translated by Google) You must have been

(Original)
Moet je zijn geweest",5,3 days ago
 ,4,4 days ago
 ,5,4 days ago
 ,4,4 days ago
 ,4,4 days ago
"(Translated by Google) Great

(Original)
Buenísimo",5,4 days ago
 ,5,4 days ago
 ,5,4 days ago
🙃,5,4 days ago
"(Translated by Google) If you miss Chinese food, welcome :)

(Original)
Çin yemeği özlediyseniz buyurun  :)",5,4 days ago
 ,5,4 days ago
Pedacinho da Ásia em Londres,5,4 days ago
 ,3,4 days ago
 ,5,4 days ago
Its ok,3,4 days ago
 ,5,4 days ago
Very good,4,5 days ago
Sempre movimentado e festivo!,5,5 days ago
 ,5,5 days ago
Incredible!! To eat delicious and cheap,5,5 days ago
 ,5,5 days ago
 ,5,5 days ago
"(Translated by Google) very rich access door

(Original)
porta di accesso molto ricca",5,5 days ago
 ,5,5 days ago
 ,5,5 days ago
 ,5,5 days ago
 ,5,5 days ago
 ,5,5 days ago
Every one has to see in London!,5,5 days ago
 ,4,5 days ago
 ,4,5 days ago
 ,5,5 days ago
"(Translated by Google) A must when in London. Full of Asian restaurants to choose from. However, the staff is pretty disinterested so it is not super cozy to eat here.

(Original)
Ett måste när man är  London. Fullt med asiatiska …",4,5 days ago
 ,5,5 days ago
 ,4,5 days ago
Depaysement,5,5 days ago
"(Translated by Google) Chinatown is smaller than I expected after seeing other cities in Europe but I have to say that since you see the door it transports you, it is quite authentic. It has offers of Chinese restaurants to bore you. Even …",5,5 days ago
 ,4,5 days ago
 ,5,5 days ago
 ,5,6 days ago
 ,5,6 days ago
"(Translated by Google) Very nice place

(Original)
Posto molto carino",5,6 days ago
 ,5,6 days ago
 ,5,6 days ago
"(Translated by Google) London's Old Town, a must-visit site for London's Soho neighborhood

(Original)
הציינה טאון של לונדון, אתר חובה למבקרים בשכונת הסוהו בלונדון",5,6 days ago
Fun for all the family.,4,6 days ago
This Place is BAD/GOOD,5,6 days ago
Great for a night here. Food is amazing. Beautiful scenery.,5,6 days ago
 ,4,6 days ago
"Fun area to visit, better at night in my opinion",4,6 days ago
 ,3,6 days ago
"(Translated by Google) dépaysant

(Original)
Dépaysant",5,6 days ago
 ,5,6 days ago
 ,5,6 days ago
"(Translated by Google) Fun place

(Original)
Artig sted",5,6 days ago
 ,5,6 days ago
"(Translated by Google) Handsome

(Original)
Guapo",5,a week ago
 ,5,a week ago
 ,4,a week ago
 ,5,a week ago
Great place to spend good time.,5,a week ago
 ,5,a week ago
 ,5,a week ago
Nice place,5,a week ago
"(Translated by Google) It's nice, especially when it's not raining. But apart from the restaurants ????

(Original)
C'est sympa, surtout quand il nepleut pas.. Mais à part les restaurants ????",3,a week ago
 ,4,a week ago
Over crowded and not so clean,2,a week ago
 ,5,a week ago
 ,4,a week ago
 ,5,a week ago
 ,4,a week ago
 ,5,a week ago
 ,5,a week ago
 ,4,a week ago
 ,3,a week ago
Very eye catching place.,5,a week ago
 ,4,a week ago
 ,4,a week ago
"(Translated by Google) Cheap place to eat in London and remember ""cash only""

(Original)
Posto economico dove mangiare a Londra e ricordate ""cash only""",3,a week ago
 ,5,a week ago
 ,5,a week ago
 ,5,a week ago
 ,5,a week ago
 ,5,a week ago
 ,5,a week ago
 ,4,a week ago
 ,5,a week ago
 ,5,a week ago
"Awesome area , every tourist should visit it",5,a week ago
 ,5,a week ago
 ,3,a week ago
 ,5,a week ago
 ,4,a week ago
"(Translated by Google) Cool

(Original)
Guay",5,a week ago
 ,5,a week ago
 ,5,a week ago
 ,5,a week ago
 ,5,a week ago
 ,4,a week ago
 ,5,a week ago
"(Translated by Google) I loved total change of scenery in the street next door. Good atmosphere

(Original)
J ai adoré dépaysement total dans la rue d à côté. Bonne ambiance",5,a week ago
"(Translated by Google) Interesting place

(Original)
Ciekawe miejsce",5,a week ago
 ,5,a week ago
 ,5,a week ago
 ,5,a week ago
 ,4,a week ago
 ,4,a week ago
 ,5,a week ago
"(Translated by Google) Cool place with lots of good restaurants. Very crowded.

(Original)
Fajne miejsce z mnóstwem dobrych restauracji. Bardzo tłoczno.",4,a week ago
"(Translated by Google) Spectacular with lanterns for the Chinese New Year

(Original)
Spettacolare con le laterne per il Capodanno cinese",4,a week ago
 ,4,a week ago
 ,3,a week ago
 ,3,a week ago
"Really beautiful, special place.",4,a week ago
 ,5,a week ago
"(Translated by Google) Nice place, great decor as well as delicious food. Service is sometimes a bit rough and they toilets are poor.

(Original)
Schöner Ort , Tolle Einrichtung sowie leckeres Essen. Bedienung ist manchmal etwas grob und sie Toiletten sind mangelhaft.",3,a week ago
Must see,5,a week ago
 ,5,a week ago
 ,5,a week ago
 ,5,a week ago
 ,5,a week ago
"(Translated by Google) The Chinatown of London, very well arranged, clean, very well maintained, with the traditional of this collective in food, fresh, prepared products and everything they are used to selling.

(Original)
El barrio chino …",5,a week ago
"Amazing Street, it's really small China in middle of London, one minute walk from Leicester Square, I love it each time I visit this place, every time it's different.",5,a week ago
 ,3,a week ago
We just walked down the main street through the Gate into Chinatown. The streets were lined with a myriad of restaurants and shops. Quite a lot of options available. The streets were lined with lanterns to give it a festive feeling. There …,4,a week ago
 ,5,a week ago
"(Translated by Google) Evocative and super colorful. Full of clubs and fast food. Then it is in a well-placed spot to visit other central areas.

(Original)
Suggestiva e super colorata. Piena di locali e fast food. Poi si trova in un punto ben disposto per visitare anche altre zone centrali.",5,a week ago
 ,5,a week ago
 ,5,a week ago
 ,5,a week ago
 ,4,a week ago
 ,5,a week ago
 ,5,a week ago
 ,5,a week ago
 ,4,a week ago
 ,4,a week ago
 ,5,a week ago
 ,5,a week ago
 ,3,a week ago
 ,5,a week ago
 ,5,a week ago
 ,5,a week ago
 ,4,a week ago
 ,5,a week ago
"(Translated by Google) Great entrance gate to Chinatown in London.

(Original)
Wielka brama wejściowa do Chinatown w Londynie .",5,a week ago
 ,5,a week ago
 ,4,a week ago
 ,3,a week ago
 ,5,a week ago
"(Translated by Google) A place to see it beautiful

(Original)
Un sitio para verlo precioso",5,a week ago
 ,5,a week ago
"(Translated by Google) Magnificent !!!

(Original)
Magnifique !!!",5,a week ago
Not much to see..,3,a week ago
 ,4,a week ago
 ,5,a week ago
 ,5,a week ago
"(Translated by Google) Colorful, interesting, you can try the Peking duck

(Original)
Колоритно, интересно, можно попробовать утку по пекински",5,a week ago
 ,5,a week ago
Amazing place,5,a week ago
 ,3,2 weeks ago
Muito vibrante. Restaurantes pra todos os gostos. Sexta fica bem movimentado.,4,2 weeks ago
 ,5,2 weeks ago
 ,5,2 weeks ago
 ,4,2 weeks ago
 ,5,2 weeks ago
 ,5,2 weeks ago
 ,5,2 weeks ago
It's the entrance to Chinatown. Can be a bit busy subsequently.,5,2 weeks ago
 ,5,2 weeks ago
 ,3,2 weeks ago
"(Translated by Google) Handsomely!

(Original)
Красиво!",5,2 weeks ago
 ,5,2 weeks ago
So much Asian food and snacks ! You must come to feel all of the rich Asian culture and delicious food,5,2 weeks ago
 ,4,2 weeks ago
 ,3,2 weeks ago
 ,5,2 weeks ago
Café da manhã é ótimo! E também estão sempre trocando as roupas de banho e arrumando o quarto. Gostei bastante.,5,2 weeks ago
 ,5,2 weeks ago
 ,5,2 weeks ago
 ,5,2 weeks ago
 ,5,2 weeks ago
 ,5,2 weeks ago
"(Translated by Google) Nice place. Good photos and good atmosphere

(Original)
Bonito sitio. Buenas fotos y buen ambiente",4,2 weeks ago
 ,5,2 weeks ago
 ,5,2 weeks ago
 ,5,2 weeks ago
 ,4,2 weeks ago
"(Translated by Google) Chinatown, recommended to eat cheap, rich and abundant. It is always good to quote in the stores that have the letter published abroad, consider that there are stores with offers if you pay in cash

(Original)
Barrio …",4,2 weeks ago
 ,5,2 weeks ago
