text,label,date
 ,5,6 days ago
"Looks like several people posting 1-star reviews are doing so, if only as a means to vent their racist opinions of Chinese people.",4,a week ago
Not so bad,3,2 weeks ago
Lovely food,5,a month ago
Good food,4,a month ago
 ,4,a month ago
"(Translated by Google) Pleasant pancakes> this place

(Original)
可人煎饼 > this place",2,a month ago
 ,3,a month ago
 ,3,a month ago
"Nasty food, they don’t seem professional with food hygeine. 
Stupid and annoying service. 
Wouldn’t recommend to others and definitely won’t come back.",1,2 months ago
