text,label,date
 ,5,a day ago
 ,5,2 days ago
 ,5,2 days ago
The best bubble tea int he world!,5,4 days ago
 ,5,5 days ago
"I normally go to T4 for bubbletea but when I am around chinatown, I will go to this shop which is still good.",4,5 days ago
 ,5,a week ago
Good bubble tea!,4,a week ago
"I love their bubble teas, but sadly the quality is uneven. Four times on five they are excellent, and the fifth time it's disappointing with flavourless tea. Often quite busy. A lot of options, I already came here at least a dozen of times and there is still stuff I'd like to try.",4,a week ago
Tasty bubble tea just near the Leicester Square.,4,a week ago
 ,5,2 weeks ago
 ,5,2 weeks ago
 ,5,2 weeks ago
 ,4,2 weeks ago
Almost as good as in Taiwan!😋,5,2 weeks ago
Bad bubble tea :(,1,2 weeks ago
cheap and normal taste,5,2 weeks ago
Small space and quite crowded but great selection and quality. Totally recommend.,4,2 weeks ago
Best bubble tea in London! Highly recommended.,5,3 weeks ago
 ,5,3 weeks ago
 ,5,3 weeks ago
 ,4,4 weeks ago
 ,3,a month ago
Great Service! Luna was really friendly and super helpful!!,5,a month ago
 ,5,a month ago
"If you like Bubble Tea you'll love Cuppacha, it's a small place with a big choice and great service.",5,a month ago
delicious matcha redbean tea. Big variety of fruit tea.,5,a month ago
 ,5,a month ago
 ,5,a month ago
 ,5,a month ago
"I regularly crave their mango milk tea, but they lost one star due to loooong lines and slooooooow service.",4,a month ago
 ,5,a month ago
Italy look small but it is a fast working shop,5,a month ago
 ,5,a month ago
Tried this for the first time had the rose lychee tea was really tasty.its possibly a very good refreshing summer drink however i tried it in december and still liked it a lot. Its a bit tricky to understand how its made but after looking …,5,a month ago
 ,5,a month ago
 ,5,a month ago
"Small place with a lot of options!

This place is always packed with people trying to get some tea. Don't expect to get your bubble tea in less then 5 minutes when there are people in front of you - they are busy with orders! I ordered the …",5,a month ago
 ,4,a month ago
 ,3,a month ago
 ,5,a month ago
Absolutely terrible. The boba tea was watery and trash. Do not go here.,1,a month ago
Great place my fav bubble tea don't get REG sweet as it's too sweet,5,a month ago
 ,3,a month ago
 ,4,a month ago
Good bubble tea but had to wait 15mins to make it,4,a month ago
 ,3,a month ago
 ,5,a month ago
Nice place to hang out.. nice tasting bubble tea.. it was really good.,4,a month ago
 ,5,a month ago
"Intriguing place.

Took forever to be served. The woman serving me took a few minutes to work out how to give me 85 pence change for a £5 note.

I ended up receiving 50p in 5p's and 35p in 1 and 2p's.

The drink took such a long time to be made too.

2/10 - won't go again.",2,2 months ago
I always eat here! Noodles are always fresh,5,2 months ago
Best bubble tea place in London.,5,2 months ago
"Should be on my black list, three people in front of the queue took 7 minutes to order. Then took over another twenty minutes to get the milk tea!!!! Sound crazy.  This was not sensible to create very crowded shop by keeping customers …",1,2 months ago
 ,5,2 months ago
Loved the place so much. The lady who served me is such a sweet person and the bubble tea was amazing. Thank you!,5,2 months ago
 ,5,2 months ago
 ,4,2 months ago
"Fast service, even when super busy",5,2 months ago
 ,5,2 months ago
