text,label,date
 ,4,a day ago
 ,4,3 days ago
 ,5,3 days ago
 ,4,3 days ago
 ,4,4 days ago
 ,4,4 days ago
 ,5,6 days ago
 ,5,6 days ago
 ,4,6 days ago
 ,5,a week ago
All good. Very nice beer and tasty food,5,a week ago
 ,5,a week ago
 ,5,a week ago
"(Translated by Google) Sufficient ice cream

(Original)
Gelato sufficiente",3,a week ago
 ,5,a week ago
Fantastic venue,5,a week ago
 ,2,a week ago
Very lovely place. Amazing selection of Dutch drinks. But a bit crowded and no table service. You have to go to the bar every time you want to order. And I wish they had a smoking area.,5,a week ago
Nice bar for.somemnice beers,5,a week ago
 ,5,2 weeks ago
 ,4,2 weeks ago
"This pub has been there for years! Always good selection of beer and lager and good-humoured bar staff. No pressure on us either to buy more or to leave. Nice chips, fiercely expensive (though maybe not for the area).",4,2 weeks ago
Best Hieneken outside of Holland,5,2 weeks ago
Nice sushi,4,2 weeks ago
 ,4,2 weeks ago
 ,5,2 weeks ago
 ,4,2 weeks ago
 ,5,2 weeks ago
Great bar great choice if beers. Great for watching sports.,5,2 weeks ago
 ,5,2 weeks ago
Loads of European beers,4,2 weeks ago
 ,2,2 weeks ago
 ,5,2 weeks ago
"Unusual choice of Dutch beers, was able to find a seat upstairs!",5,2 weeks ago
"They were objectively racist. I have never written a review, but at a belgian pub, i was refused drinks (as is their right) without any clear reason (if you are passed out or throwing up you should be refused), but lucid it is shocking",1,2 weeks ago
Unfortunately they didn't know what a 'bittergarnituur' was. Maybe as Dutchies we expected too much of the Dutch experience. Drinks were good though!,4,3 weeks ago
"Decent pub, often quite busy. Wouldn't suggest it for a 'Dutch' experience. Is more like a regular pub with some Dutch beers on offer.  Because of being so crowed, we left pretty early on.",3,3 weeks ago
 ,4,3 weeks ago
"Nice enough pub, good selection of beer. Quite expensive but expected for a central London pub",4,3 weeks ago
"Love this place, my mum met my dad here over 20 years ago and no I go here with them age 20!! Crazy",5,3 weeks ago
 ,4,3 weeks ago
 ,5,3 weeks ago
"(Translated by Google) Nice bar with lots of Flemish beers

(Original)
Leuke bar met heel veel Vlaamse bieren",5,3 weeks ago
"(Translated by Google) Nice place, discovered by accident after a day of wandering around London, a very pleasant place with delicious beers

(Original)
Leuke plaats, per toeval ontdekt na een dagje rond dwalen in Londen een zeer aangename plek met heerlijke bieren",4,3 weeks ago
 ,4,3 weeks ago
 ,3,4 weeks ago
"I think my granddad has been here during the 2e world war. He was sailing between england and holland as a captain for the dutch ""Koopvaardij"". He never told us were he realy stayed but i like to thinks that he drunk his beer in this pub.
Now my son lives in London and this is his favoriet Pub. It gives me a good feeling!",4,4 weeks ago
Tasty Dutch beer,4,4 weeks ago
 ,5,a month ago
 ,4,a month ago
"Fantastic bar with lots of Dutch and Belgian beer choices, I'll definitely be back again 🍻",5,a month ago
My favourite bar serving a wide choice of draft and bottle Belgium beers in a pleasant continental style bar. Also serving excellent continental food.,5,a month ago
 ,4,a month ago
 ,5,a month ago
 ,4,a month ago
 ,5,a month ago
Cosy pub. Usually quite quiet so you can always get a seat,5,a month ago
 ,4,a month ago
Amazing selection of beers and great screens for the football. Loads of space and seats upstairs if it looks busy downstairs.,5,a month ago
 ,4,a month ago
 ,3,a month ago
"(Translated by Google) The price is more expensive, but in London's Chinatown, convenient and meet friends

(Original)
价格較為貴些，但在倫敦唐人街內，方便和朋友見面",3,a month ago
 ,4,a month ago
 ,5,a month ago
 ,5,a month ago
 ,3,a month ago
 ,5,a month ago
Belgian beer on tap in London! This makes me happy.,4,a month ago
Love the beer and the pub too,5,a month ago
 ,5,a month ago
 ,5,a month ago
 ,5,a month ago
 ,4,a month ago
"Having worked here over 10 years ago I have a soft spot for De Hems. It's less ""dutch"" themed than I remember but they still have a great selection of beers and some great Dutch snacks (I'd recommend the kaassouffle - breaded deep fried …",5,a month ago
"Very typical, nice atmosphere, many kind of beers",4,a month ago
My company booked an area upstairs for our Christmas Party 11/1/2020. The process of booking and the communication back and forth was very easy. We ordered off the buffet menu and the food was great. Catered for the vegans and vegetarians …,5,a month ago
 ,5,a month ago
"Awsome, so many beers",4,a month ago
 ,3,a month ago
 ,5,a month ago
Always fun to be in London and visit a dutch pub. Nice athmosphere.,5,a month ago
 ,4,a month ago
 ,4,a month ago
"Some good beers, but there were some notable missing beers from the bottle menu.",4,a month ago
 ,4,a month ago
"A great bar with a wide selection of beer and good food, but can get v busy.",4,a month ago
"Quirky, noisy but still a good place to kick off an evening",4,a month ago
 ,5,a month ago
 ,4,a month ago
 ,5,a month ago
 ,5,a month ago
nice bar very busy best early,3,a month ago
Good atmosphere and a good choice of beers,5,a month ago
"A really nice Dutch bar in a very central location. Very nice ambience and atmosphere. It was especially good to get a pint of Lindeboom, not a beer I have seen for a while.",5,a month ago
 ,4,a month ago
 ,5,a month ago
 ,5,a month ago
 ,5,a month ago
 ,4,a month ago
 ,5,a month ago
 ,1,a month ago
 ,5,a month ago
 ,4,a month ago
 ,4,a month ago
Interesting place. Amazing range of beers,4,a month ago
 ,5,a month ago
 ,5,a month ago
 ,5,2 months ago
 ,2,2 months ago
Packed as usual but great beers. Fruli on tap.,5,2 months ago
