text,label,date
Too much thick filling. The Bueno bar on top tasted like it was 5 years old.,3,5 days ago
Authentic,5,5 days ago
My favourite is the'pump up the jam'. Good way to end a night out.,4,5 days ago
Prices are ok. But it's not the best vegan or non vegan donuts I've had. A bit of a disappointment. I've even gone to another doughnut time and had better donuts.,2,5 days ago
"Hole in the wall that sells some of the nicest, most over the top, 3 days worth of calories doughnuts you will ever set eyes on. Huge fried balls of dough covered in thick icing and whole chocolate bars as sprinkles! It will satisfy even …",5,5 days ago
😋 Who don't love a doughnut!?,4,5 days ago
 ,3,a week ago
 ,5,a week ago
 ,5,a week ago
 ,5,a week ago
 ,5,a week ago
 ,5,a week ago
 ,5,2 weeks ago
Quite possibly the best doughnuts. Great selection with the funniest names. Give it a go 👍🏼,5,2 weeks ago
 ,5,2 weeks ago
Tasty doughnuts...,4,2 weeks ago
 ,3,2 weeks ago
I love this place. I had no idea it provided vegan donuts. I don’t even eat donuts usually. But seeing these beauties I think life just got infinitely better. The donuts look like works of art - and they are also priced a fortune per piece! …,5,2 weeks ago
 ,5,2 weeks ago
 ,4,2 weeks ago
"Their doughnuts are absolutely delicious. They are also huge, get ready for a lifetime of sugar in your mouth!",5,3 weeks ago
 ,5,3 weeks ago
 ,5,3 weeks ago
"Amazing donuts, don't worry about the calories.",5,3 weeks ago
"If you want a doughnut in the West End, head here for instant carb satisfaction.",5,3 weeks ago
 ,5,3 weeks ago
 ,5,3 weeks ago
 ,5,3 weeks ago
Yummy,4,3 weeks ago
 ,5,3 weeks ago
 ,5,4 weeks ago
 ,3,a month ago
 ,5,a month ago
"(Translated by Google) Super tasty donuts in all colors and flavors .... difficult to choose ... And freshly made

(Original)
Superlekkere doughnuts in alle kleuren en smaken....moeilijk kiezen...En vers gemaakt",4,a month ago
 ,5,a month ago
 ,3,a month ago
"(Translated by Google) Recorded a huge Bs delicious and very varied and wonderful script

(Original)
دونت ضخم بس لذيذ ومتنوع والكوفي جدا رائعه",4,a month ago
 ,4,a month ago
 ,5,a month ago
 ,4,a month ago
Great doughnuts but you should probably share one with a friend because they are BIG!,5,a month ago
"Doughnuts look fantastic, however I found that they selected a doughnut from the front shelf - dry and stale. You really need to be providing customers with the freshest specimens - so would not recommend!",2,a month ago
 ,5,a month ago
 ,5,a month ago
 ,5,a month ago
"If I was going by I'd get a doughnut but wouldn't come specially. They are a bit overpriced. I wanted a sugar doughnut, don't like fillings but they didn't have it so had the nutella one... lots of nutella inside. This is just a kiosk, so you can only takeaway or eat it on the street.",3,a month ago
 ,5,a month ago
 ,5,a month ago
 ,3,a month ago
"(Translated by Google) I don't put 5 stars for the price, since a donut costs £ 4.50, which equals € 5.50. However, it must be said that it was one of the best donuts I've had. I tried the one in Kinder Bueno, and the truth is a delight. I …",4,a month ago
"A take-away only hole-in-the-wall with a collection of pleasant staff.

The doughnuts here are quite expensive, especially when compared to Krispy Kreme etc, but if there is a flavour that you like, it is definitely worth it and I would …",5,a month ago
Doughnuts very tasty and fresh just a bit doughy.,4,a month ago
Not the best donuts. Overly sickening. Very expensive for bread and icing.,1,a month ago
 ,5,a month ago
 ,3,a month ago
Frieny and easy to get too,5,2 months ago
 ,5,2 months ago
 ,5,2 months ago
"( No gluten free doughnuts ) I went all the way there, because i read the previous post that they have gf doughnuts but they don't. So please anyone will post a review You must be sure about your information, otherwise this will happen again for others!",5,2 months ago
 ,3,2 months ago
