text,label,date
 ,4,a week ago
 ,5,3 weeks ago
 ,5,3 weeks ago
 ,4,a month ago
 ,3,a month ago
 ,5,a month ago
"Delicious food, and excellent service. A short wait for a table was well worth it. So glad we waited. (10 -15 min)",5,a month ago
 ,4,a month ago
Nice food and price.,4,a month ago
"Would rate as zero if I could. The waitress had extremely bad attitude and forced us to order more, otherwise she would stand there and not leave. They gave us a hand written bill without any details. We noticed the total amount was …",1,a month ago
"For Szechuan hotpot and boiled beef, the best place in London. My first choice for hot and spicy in China Town",5,a month ago
I'll give A Zero if I could. The waiting time is too lang. The waitress asked for other tips except service fee. Especially the food is totally under standard level. Every spicy dishes seem to be cooked in the hot pot and then served to us. …,1,a month ago
 ,4,a month ago
"If I'd read the reviews first I wouldn't have come here but I'm glad I did! The food was very tasty and the staff were attentive. 
It's true that they do not bring an itemised bill which is a little odd but they also charged us correctly. …",5,2 months ago
Especially come to visit this restaurant after one year from Amsterdam during our Christmas London trip. Ordered my favourite spicy lobster and crab in salted egg york. Love this place so much! It worthes to skip the shopping with boxing …,5,2 months ago
 ,3,2 months ago
"(Translated by Google) Very good dish!

(Original)
非常好的菜！",5,2 months ago
"Very delicious food and good service. 
Authentic Chinese dishes. Must try.",5,2 months ago
 ,5,3 months ago
 ,5,3 months ago
