text,label,date
Bouncers are arrogant and rude. Shame.,1,44 minutes ago
 ,4,3 days ago
Experimental Cocktail Club (or ‘ECC’) is a hidden cocktail bar in Chinatown on Gerrard Street with great cocktails and service.,4,5 days ago
 ,1,6 days ago
"(Translated by Google) Very nice place, the cocktails are great but expensive. It’s worth a visit, but if you need to wait in line, you can skip it without remorse.

(Original)
Очень хорошое место, коктейли отличные но дорогие. Стоить посетить, однако если нужно ждать в очереди можно и пропустить без угрызений совести.",4,a week ago
"Awful employees!
They will make a mistake on your drink. Rather than apologise and excuse the very loud music as an understandable reason, they get upset with you and insist that you pay for whatever they made. 

Never go unless you want to deal with very snooty, snobby spoiled brats as your bartenders.",2,a week ago
 ,4,a week ago
Great,5,2 weeks ago
A place you have to visit in London,5,2 weeks ago
 ,5,3 weeks ago
Expensive for what they serve. Nice music,3,3 weeks ago
"We wanted to have few cocktails, but alas, door staff refused entry and were fairly rude about it. No worries, it's London, so we went to Mr Foggs - doorman was very welcoming and we had an amazing time there. Avoid this place - go to Mr Foggs.",1,3 weeks ago
Expensive,4,3 weeks ago
 ,5,4 weeks ago
 ,5,4 weeks ago
 ,5,a month ago
 ,2,a month ago
Change your staff.,1,a month ago
Excellent service and great quality,5,a month ago
 ,5,a month ago
 ,4,a month ago
 ,4,a month ago
 ,3,a month ago
"(Translated by Google) In the top !

(Original)
Au top !",5,a month ago
"(Translated by Google) Excellent music!

(Original)
Excellente musique !",5,a month ago
 ,4,a month ago
"Not too many cocktail for being an “experimental cocktail bar”. They served our cocktail literally 10 seconds after the order, which means was already prepared. Cocktail looks like a glass of water. And they gave us the bill straight away …",1,a month ago
 ,4,a month ago
"(Translated by Google) Untraceable place, we thought we could have dinner instead only drinks and music. It was a revelation, one of the best cocktails of the past 10 years. The door at the entrance is tiny, without a sign, there is a …",5,a month ago
 ,4,a month ago
 ,5,a month ago
 ,4,a month ago
 ,5,a month ago
Best most delicious cocktails in this area you just have to book or sneak in an early table!,5,a month ago
"The place is nice, good music but way too loud for a bar which makes it hard to have a conversation, cocktail list also not too varied for a place who serves mainly cocktails. The cocktails were also unfamiliar, i know it's experimental …",3,a month ago
 ,5,a month ago
"No! It's not a brothel through that door, it's a great cocktail bar. Different menu every time you visit. Good value too. Not too busy.",5,a month ago
Decent place with great location in Chinatown. I little difficult to fine but I suppose that's part of the appeal. Staff and service where both great but the cocktails where a little disappointing. By no means bad but I have had better for the price. Will go back as the place is nice.,4,a month ago
Wonderful hidden place 🥰,5,a month ago
 ,5,a month ago
 ,5,a month ago
Was good.,3,a month ago
 ,5,a month ago
 ,5,2 months ago
 ,5,2 months ago
 ,5,2 months ago
 ,5,2 months ago
 ,5,2 months ago
"(Translated by Google) Well in FIG)))

(Original)
Ну на фиг)))",2,2 months ago
 ,5,2 months ago
