text,label,date
The best dumplings I ever had!,5,2 days ago
 ,4,a week ago
Really great. The crispy duck was excellent.,5,a week ago
 ,4,a week ago
 ,5,2 weeks ago
"Really good Chinese food, recommend to everybody. The crispy aromatic duck was amazing, but don't underestimate, half the duck is more than enough for 4 people.",5,2 weeks ago
 ,5,2 weeks ago
"This is one place I wish I’d have read the reviews for which may have put me off! However, went feeling quite positive, we were sat at a window table and served quite quickly. Ordered a set meal, the mixed starters were greasy and …",2,3 weeks ago
Lovely customer service.  The chilli sauce is very spicy!  We got a take away.,4,4 weeks ago
Great food,5,a month ago
 ,3,a month ago
 ,4,a month ago
"(Translated by Google) Bomb. Duck, din sum and rolls. Very good. I'll have to repeat this company.

(Original)
Bomba. Pato, din sum y rollitos. Muy bueno. Esto tendre que repetirlo acompañado.",4,a month ago
 ,5,a month ago
Always good food with good atmosphere.,4,a month ago
"Food not bad. But as with most Chinese restaurants in Chinatown, they will rush you to pay once you are done with your meals",3,a month ago
"It is overpriced, for the same money I ate 3 course menu in a korean restaurant",3,a month ago
"If you have come here because of Meteor Garden...you are Welcome! Ah Si is not here. But stay, please and eat. This place is always busy and for good reasons too. I've never had a bad meal!",4,a month ago
"(Translated by Google) This is one of the poorest restaurants in Chinatown. A cabbage salad at the same price as the duck lacquered and horrible service. Covered thrown on the table. I ask for a Rosso Martini, I am asked if I want Dry or …",1,a month ago
"(Translated by Google) In my opinion, the best is the service.

(Original)
En mi opinión, lo mejor es el servicio.",3,a month ago
"(Translated by Google) As a Chinese, I feel that the food here is very unpalatable and the price is very outrageous. A small bowl of soup is £13. Rice 5 pounds a bowl Not one is a small bowl. The service staff's attitude is very poor and …",1,2 months ago
 ,2,2 months ago
 ,5,2 months ago
 ,5,2 months ago
 ,5,2 months ago
Lovely meal with friends,4,2 months ago
 ,3,2 months ago
£5 service charge for a £14 bill and the taste is below average.,2,2 months ago
 ,5,2 months ago
"Great rice, decent spring rolls, average noodles, poor service.",3,2 months ago
