text,label,date
"Late night meal after evenings hard work. Splendid Chinese food, immaculate service, good wines, reasonable prices. Lively even after 11pm.",5,22 hours ago
 ,4,3 days ago
"(Translated by Google) Great canteen in London's Chinatown
Efficient, no-fuss service
Good value for money
I recommend and will even go back there tonight!

(Original)
Super cantine au sein du quartier chinois de Londres
Service efficace et sans chichi
Bon rapport qualité/prix
Je recommande et vais même y retourner ce soir !",5,5 days ago
Chinese restaurant for dim sum.,3,5 days ago
"(Translated by Google) Great food and service.

(Original)
Great food en service.",5,a week ago
"(Translated by Google) The food was fine and has a good value. We did not like being ""cheated"" to force us to leave € 4 tip, so we did not leave with a very good taste.

(Original)
La comida estaba bien y tiene una buena relación calidad …",2,a week ago
"(Translated by Google) Rip off service fee of 12.5% ​​is added to the bill on top ..

(Original)
Abzocke servicepauschale mit 12,5% kommt auf die Rechnung oben drauf ..",1,a week ago
 ,4,a week ago
 ,4,a week ago
"The worst service experience I have ever encountered and all of us got sick off the food. 
To top it off the lady at the register gave us not one, but two wrong bills! By the time the correct bill came through the amount had decreased from …",1,a week ago
"Been visiting this fine establishment for over 15 years. Yes the deco is outdated,  yes the waiters are sometimes rude, yes the waiters  sometimes  don't even talk english however why I visit ""Gerrad's corner"" is purely for the food and the …",4,a week ago
"Great food, great service, great place 👍",5,a week ago
 ,5,2 weeks ago
this is my favourite Chinese restaurant....the food is authentic and very good...,5,2 weeks ago
Good crabs,4,2 weeks ago
"(Translated by Google) Very good food. Friendly and warm waiters.

(Original)
Très bonne cuisine. Serveurs aimables et chaleureux.",5,2 weeks ago
 ,4,2 weeks ago
"Staff rushed us in very quickly and rushed us out again, wouldn’t even let us finish our drinks after our meal. They charged double service charge by including it in the first bill and then taking the card reader from me to add ANOTHER …",2,2 weeks ago
"Food was great ,but they couldnt wait to get rid of us shocking service ,wasnt even busy and very expensive",3,3 weeks ago
 ,2,3 weeks ago
 ,5,3 weeks ago
 ,3,3 weeks ago
 ,5,4 weeks ago
"Lovely food, duck was delicious",5,4 weeks ago
 ,4,4 weeks ago
 ,4,a month ago
"A favourite!  Nice and busy, friendly staff, good food.  Service was really quick on a busy Saturday evening!",5,a month ago
 ,5,a month ago
"It's okay food, but very expensive for relative quality and have exceptionally questionable receipt processes and struggle to process multiple card transactions at once.",2,a month ago
Really homemade traditional authentic chinese food.. good tastes.. not great environment as a decoration and staff is rude.. but I guess it is the way chinese culture is that makes me thing they are rude.. they might not be but I just felt they were. I would recommend and visit again for food and only,3,a month ago
 ,3,a month ago
 ,5,a month ago
 ,5,a month ago
 ,4,a month ago
 ,5,a month ago
"Excellent, well priced dim sum!",5,a month ago
 ,3,a month ago
Delicious freshly made food,5,a month ago
 ,5,a month ago
"Food was lovely but unfortunately staff were quite rude, not people persons! Afraid we wont be going back....",2,a month ago
 ,4,a month ago
 ,5,a month ago
great authentic chinatown restaurant,4,a month ago
Terrible service and duck was overcooked and dry,1,a month ago
"Always good service good food and good menu, but they seemed to over reach for the festive season and over priced and rushed the food resulting in a very under par service. However the atmosphere and some staff were able to make up with the service they rendered and the cheer of the season did make it a bit better",4,a month ago
Over price and cold food. Poor service in the bottom with toilets.,1,a month ago
"(Translated by Google) A Chinese restaurant is located in Chinatown, London.

(Original)
Chińska restauracja znajduje się w Chinatown w Londynie .",4,a month ago
"Nice food, friendly staff",5,a month ago
"Unfortunately you cannot give negative stars!  We all got sick after lunch! By far the worst restaurant I have ever experienced in every aspect. Service was atrocious,  waiters were rude and plates slammed on the table. Dim Sum was over …",1,a month ago
"So disappointed, to expensive for nothing, waiter very unpleasant.
Don't go here! There are many better ones around !",1,a month ago
"the staff wasn't looking at us and even was talking to the people sitting next to us when placing our order. when we finished our meal, I asked for the bill but it took more than 20mins to pay. I definitely wasn't satisfied with the service …",1,a month ago
1 Star is too much. Bland food and incredibly rude staff. Being barked at by the lady up on her pedestal looking after the till and waitresses pushing children out of the way. Horrible way to end a great day in London.,1,a month ago
 ,3,a month ago
"First of all we were asked to pay for the food as soon as we placed order (as they assumed we will not pay) but for everyone else no one else had to pay right away. 
Then food arrives after 40 minutes, and along with food we ordered a tea, …",1,a month ago
 ,3,a month ago
"Although the place was busy and staff were flying through customer orders, we were allocated a table within under 5 minutes and were greeted with relatively budgeted menus which were clear and understandable. Customer service was exceeding …",4,a month ago
 ,3,a month ago
"(Translated by Google) Good food abr ​​unfortunately came only half ... service an absolute disaster! Tipping 12.5 percent is mandatory .... I only say: ""run forest ... run ...""

(Original)
Gutes essen abr kam leider nur die …",1,a month ago
"Standard Chinese in London China Town, service is quick and after you eat you give table back lol",3,a month ago
"(Translated by Google) The worst restaurant waiters are very bad food and for the price you can eat at any good restaurant.
Incredible but the owner is more grocer than the waiters when we wanted to make the complaint told us but they like …",1,a month ago
"Rude staff, dirty we walked out",1,2 months ago
The worst service of my life,1,2 months ago
Both the service and the food was great. Would highly recommend this place for authentic dim sum.,5,2 months ago
"Does not deserve more than two stars, food is just about average, service is bearable, price alright for Chinatown in central London.",2,2 months ago
"Wow, £23 for a vegetable dish, In fact whole menu inflated 3-4x - Such a rip off in the name of Christmas.....",1,2 months ago
 ,5,2 months ago
"Very low food and service quality, staff wasn’t helpful. They accept only cash payments God knows why!! Stay away from this place if you wanna enjoy your food.",1,2 months ago
"(Translated by Google) Noisy, miscellaneous, slow, tasteless.

(Original)
うるさい、雑、遅い、不味い。",1,2 months ago
 ,5,2 months ago
Very picturesque,4,2 months ago
