text,label,date
Very rude staff. Me and my friend went for dinner there. We took our seats and in less than five minutes a waitress came and ask if we were ready. We said that we would need a little bit more time. This happened 3 times in less than 10 …,2,6 hours ago
"High quality authentic Chinese restaurant in the heart of Chinatown London.
Affordable prices, recommended.",5,a day ago
Our family’s go to resto in Chinatown. Tasty food and although the prices are a bit high it’s what you would expect for such a busy area.,4,3 days ago
 ,5,5 days ago
 ,5,a week ago
 ,5,a week ago
Best duck in china town,5,a week ago
 ,5,a week ago
 ,3,a week ago
"Was good food, a little more expensive than other options.",3,a week ago
 ,3,a week ago
"(Translated by Google) Poor staff. The servers are rude and rude. Average cuisine. To flee for my part

(Original)
Personnel médiocre. Les serveurs sont désagréables et impolis. Cuisine moyenne. A fuir pour ma part",1,a week ago
 ,4,a week ago
1 star.... I would of given none if I had the option! This restaurant is so overrated and over priced!! £20 a dish which was unbelievable as definitely was not worth it! As on the train home I become dizzy and was sick in train toilets as a result of food poisoning! We will never be going there again......,1,a week ago
Shocking service. Awful food. Don't bother £80 for an awful end to our evening,1,a week ago
 ,5,a week ago
"Dim sum were tasted like microwave ready food, but that charges you 7 pound, that you could buy 14 times the same amount in the Asia market. Fried rice was poorly cooked. 
Overrated price.",1,a week ago
 ,5,a week ago
 ,5,2 weeks ago
Terrible customer service. Food basic. Portions large.,1,2 weeks ago
 ,3,2 weeks ago
"Great find, particularly at Chinese New Year. Good value/variety nicely cooked with super Dim Sum (best steamed) so arrive before the crowd is our advice",4,3 weeks ago
Restaurant is beautiful. Staff is fast. Food also comes very fast! However the size of food served is out of proportion... extremly big. And one of the dishes we had tasted burned. And I had some crab-“bone” in my squid dish (?!?#?!>%#),3,3 weeks ago
"(Translated by Google) Buuuuun

(Original)
Buuuuun",5,3 weeks ago
"Great food and our waiter was really good, have only given 4 stars as the Maitre d was a bit grumpy",4,3 weeks ago
 ,3,3 weeks ago
"It's not drastically dissimilar to the other places nearby, but it is good.  It's clean, fast, friendly and the food is very tasty.

We had an enormous dim sum lunch for around £15 pp which, for the quality, I think was pretty good value.",5,3 weeks ago
Walked in. A table was pointed to upstairs which we sat at.... for over 10 minutes without being offered a drink or anything. Staff looked miserable and one waitress just staring into space. Walked out eventually and went elsewhere. Avoid!!,1,3 weeks ago
 ,2,3 weeks ago
 ,2,3 weeks ago
 ,4,4 weeks ago
"An alright restaurant, really good waiting staff with alright food",3,4 weeks ago
 ,4,4 weeks ago
 ,3,4 weeks ago
 ,3,a month ago
 ,5,a month ago
It was nice,5,a month ago
 ,5,a month ago
 ,5,a month ago
 ,5,a month ago
"The worst service I ever experienced! The waitress were so rude, you cannot even imagine!",1,a month ago
 ,4,a month ago
 ,5,a month ago
 ,4,a month ago
Our first experience of China town.Wow we wasn't expecting a bill of over £70 for 2 people!!! And not very good either.AVOID if you want to save your money 😬😵,1,a month ago
"Loved the friendly ambiance, polite staff and great food. Great for a China Town, London experience",4,a month ago
 ,3,a month ago
Very good food,5,a month ago
 ,5,a month ago
"Nice food,a little on the expensive side but guess it is Chinatown after all",4,a month ago
