text,label,date
 ,5,a day ago
 ,1,2 days ago
 ,4,3 days ago
 ,5,3 days ago
"Oof, really good fried chicken. Lots of flavour shakers to add on top. Everything is deep fried so it's not healthy but yeah, really tasty...",5,a week ago
 ,5,a week ago
 ,5,a week ago
"(Translated by Google) The Taiwanese chicken steak most like in Europe, unfortunately it is thinner or it is perfect.

(Original)
全歐洲最像的台灣雞排，可惜厚度薄了些不然就完美了。",5,a week ago
"(Translated by Google) Very good

(Original)
Très bon",5,a week ago
"Amazing popcorn chicken, fresh fried and then a choice of like 10 different flavoured powders to sprinkle on. Very crispy and good fried chicken and good value for money!",4,2 weeks ago
"We were walking past and were drawn in by the Lotus Stem crisps on display - It did not disappoint! I've never eaten lotus stem crisps before and these were simply delectable. You are given an option of 10 different seasonings, I went with the Garlic and Thai seasoning. Absolutely yummy- Cant wait to go back.",5,3 weeks ago
"Everytime I visit London, I always make sure to come here to eat because it is not available or not as good as the ones in my city.

I order chicken breast, which is not dry at all, freshly fried (hot) and big (6+ inches). Then add my …",4,3 weeks ago
 ,5,4 weeks ago
 ,5,4 weeks ago
 ,5,a month ago
"Not quite up to Taiwan’s standards but this is serviceable for London. Would avoid coming here for the bubble tea, it does not appear to be top notch

edit: popcorn chicken is good, chicken strips are not so good",4,a month ago
The crispiest chicken I've ever had,4,a month ago
 ,5,a month ago
"AMAZING chicken with a variety of seasoning. A little bit costly but totally worth it. My boyfriend won't stop talking about going back to the place. They have a bunch of fried options like chicken (obviously), tofu, veggies, potatoes, chicken skin, etc.",5,a month ago
 ,4,a month ago
 ,5,a month ago
Tasty fried chicken but service always very slow!,4,a month ago
Fast food chicken taken up a notch with the plum seasoning!,5,a month ago
Bubble tea is very good and the prices are very reasonable. I'd recommend coming here for that. Only complaint we have is the service. The woman at the till overcharged us around £3 and was extremely rude because of a very minor …,3,a month ago
Longest wait for popcorn chicken!!! Waited for 20 minutes... Popcorn chicken was good but staff is rude! No place to sit and eat. Only take away.,2,a month ago
 ,3,a month ago
 ,5,a month ago
 ,5,a month ago
Just make sure you ask from the chicken skins to be extra crispy,5,a month ago
The fried chicken is nice but won’t recommend the lotus root.,4,a month ago
The fried chicken breast is the best with spices along with bubble tea. Best combo ever !,5,a month ago
terrible work condition but great chicken.,4,a month ago
 ,5,a month ago
 ,2,a month ago
"Yo, best chicken out there. Korean chicken wise",5,a month ago
"(Translated by Google) Good quality

There are 4 chairs in the store

(Original)
Good quality 

店裡有4張椅子可以坐",5,a month ago
 ,4,a month ago
"Really good decent fried chicken, would definitely recommend. Got the popcorn chicken (a massive bag full) and bubble tea for £9 - you can choose your seasonings too once they fry the chicken. Would definitely come back again. I would get this over any form of takeaway any day.",5,a month ago
Great crispy squid. This is take out only though so be warned. Fast service and flavoursome food.,4,a month ago
 ,5,a month ago
"Good portion for £8 in central considering is a non traditional fried chicken place right in Soho. Nice batter, no sauces available but a lot of different seasonings. Good for a snack after partying or a casual quick lunch. Bubble tea was pretty good too.",4,a month ago
Good simple Taiwanese fried chicken. Perfect for a bite on the ho. Have varieties of flavoured powders to choose from. Price is also reasonable.,4,a month ago
"(Translated by Google) I order chicken thigh steak
But this fried powder is not Taiwanese miso
But pearl milk tea is ok

(Original)
我點雞腿排
但這個炸粉不是台灣味😂
但是珍珠奶茶得還行",3,a month ago
 ,4,a month ago
 ,4,a month ago
 ,3,a month ago
 ,4,a month ago
 ,5,2 months ago
"It's fried chicken, what more could you want! 

I tried the popcorn chicken with the kimchi flavouring which I really liked. I would recommend getting a couple of different toppings (ranged from chilli, garlic, Thai style, kimchi, seaweed, …",5,2 months ago
 ,2,2 months ago
