text,label,date
 ,4,4 hours ago
Budget fixed price no frills all you can eat buffet. good value and friendly staff.,4,12 hours ago
"Quick staff, food is what you pay for! Some dishes are very nice, others feel like they have been around for some time. However it's a buffet, that's what you get sometime. The Chinese tea was nice, we had good portions of food for the money. Seating was quite cramped directly next to the buffet, which was a bit uncomfortable.",4,6 days ago
"(Translated by Google) Not bad, but not excellent either. Few choices, almost non-existent desserts

(Original)
Pas mauvais .mais pas non plus excellent. Peu de choix.desserts  quasi inexistants",3,6 days ago
Staff friendly and great value,5,6 days ago
 ,4,6 days ago
 ,2,a week ago
 ,5,a week ago
 ,3,a week ago
 ,2,a week ago
"Not much choice which can be good because that means the food is fresh and topped up regularly. However, the buffet is small and located next to the door, co stant traffic. Sopus was tasteless, you just feel the spice. Prawns and chicken …",2,a week ago
Should turn you away after a certain time. We arrived about 9.45 after s show round the corner. They came out to use to invite us in to be seated. Drinks order taken and brought to us very quickly. Food dishes empty and was then told that …,1,a week ago
Good Chinese takeaway style food nothing of fine dining quality but good for a quick eat and good price drinks cost a bit more but that's to be expected,3,a week ago
 ,3,a week ago
 ,3,2 weeks ago
 ,4,2 weeks ago
"All you can eat,one of the better looking food selections for the all you can eat restaurants that we saw in China town, good tasting food , decent meat portions in the meat dishes but plenty of vegetable alternatives if needed, nice freindly staff. BUT CASH ONLY.",4,2 weeks ago
Not good at all would not recommend this place. food cold because it is next to door and service not good. cash is preferred if you pay by card they get very rude and a little offensive,2,2 weeks ago
"Food was ok but pricing policy not explained as children were classed as adult if over 10 years old. When we entered we said 2 adult and 2 children an were not challenged  as both children were obviously over 10.
They eventually agreed to …",1,2 weeks ago
Excellent food and variety. Normal price and polite staff.,5,2 weeks ago
 ,5,2 weeks ago
great food and lovely staff,5,2 weeks ago
😋😋,4,3 weeks ago
 ,1,3 weeks ago
 ,5,3 weeks ago
Not the greatest offering. Choice very limited staff didn't want give as a second set of knives and forks.,2,3 weeks ago
"The food tasted like it was recooked and the chicken smelled and tasted really bad like it was expired.

Also the noodle soup tasted like medicine and by the time I was ready to pay, they took an extra £2 on top of my original payment (they …",1,3 weeks ago
 ,5,3 weeks ago
 ,2,3 weeks ago
"(Translated by Google) Very small room

(Original)
Labai maža patalpa",4,3 weeks ago
Good meal with a variety of food in the buffet.  Very friendly service and a reasonable price.,4,4 weeks ago
 ,1,4 weeks ago
"(Translated by Google) Found by chance ..... Really good .... Fast .... And also available good price .....

(Original)
Trovato per caso..... Veramente buono.... Veloce.... E disponibili buono anche il prezzo.....",5,a month ago
 ,5,a month ago
 ,5,a month ago
 ,5,a month ago
"(Translated by Google) SIII loved the food

(Original)
Siii me encanto la comida",5,a month ago
 ,1,a month ago
 ,5,a month ago
"(Translated by Google) Medium food .. Reasonable

(Original)
אוכל בינוני.. סביר",3,a month ago
"(Translated by Google) Not bad, OK service affordable price and speak Spanish

(Original)
No está nada mal , precio económico servicio OK y hablan español",4,a month ago
 ,5,a month ago
Very cheap and average.,3,a month ago
 ,4,a month ago
"A lot and testy, and friendly staf!",5,a month ago
"One of the best places that you can eat at, the staff were very friendly and helpful, they were also quick with taking dirty dishes off the tables. I would recommend it for everyone!",5,a month ago
 ,4,a month ago
 ,5,a month ago
 ,1,a month ago
 ,2,a month ago
"(Translated by Google) The buffet was very sparse, the chicken was partly rock hard, almost everything was already cold, there were no knives either. You could not eat in peace, because the 4 employees were standing directly behind you in a …",1,a month ago
 ,4,a month ago
 ,5,a month ago
"(Translated by Google) Good cinematic buffet, and nice service

(Original)
God kinamat buffet, og hyggelig betjening",5,a month ago
 ,5,a month ago
 ,5,a month ago
Might actually have been the best place we ate at the entire trip!,5,a month ago
 ,3,a month ago
"(Translated by Google) A very limited choice and a lot, MUCH TOO SPICY!

(Original)
Un choix très limité et beaucoup, BEAUCOUP TROP ÉPICÉ !",2,a month ago
"(Translated by Google) Very good food, fair prices, staff is very friendly and courteous.

(Original)
Sehr gutes Essen, faire Preise, Personal ist sehr freundlich und zuvorkommend.",5,a month ago
 ,5,2 months ago
"The food is good but staff refilling the empty trays from the buffet area was on delay, the place is quite small so the price (£12.95 per person) it's a little bit high. Friendly staff, clean place...yes, naybe I'd come back again any other time",4,2 months ago
"(Translated by Google) In Chinatonw, the food is very good, and the place is very picturesque.

(Original)
En Chinatonw, la comida esta muy buena, y el sitio es muy pintoresco.",5,2 months ago
"The chicken is raw, the food is oily and disgusting, the price is too high for the garbage food",1,2 months ago
"(Translated by Google) All-you-can-eat Chinese cuisine restaurant. Two types of rice, a couple of types of rice and soy spaghetti, some preparations of shrimp, chicken, mushrooms, pork, chicken. Clouds, spring rolls (a bit small for the …",2,2 months ago
"Terrible, didn't like any of it!",1,2 months ago
 ,4,2 months ago
"Tasteless food, very limited choice, too expensive, generic subpar Chinese buffet. Staff was lovely though",2,2 months ago
Terrible experience.  WOULD NOT RECCOMEND! I Walked all the way to hong kong buffet from the london eye. As soon as we walked in we were told to leave as NO BUGGYS allowed. I said that i could fold my buggy up and put it in any corner that …,1,2 months ago
Decent but it is a buffet,4,2 months ago
