text,label,date
"Great food, quick, friendly service",5,a day ago
"(Translated by Google) Well typical bar of dres dndw people go out of beers after curro

(Original)
Bien bar típico de lo dres dndw la gente sale de cervezas después del curro",3,3 days ago
 ,5,4 days ago
 ,3,5 days ago
 ,4,6 days ago
"Great place, amazing cocktails and music",5,a week ago
 ,3,a week ago
 ,5,a week ago
"(Translated by Google) Between one bet and another at the roulette .....

(Original)
Tra una puntata e l'altra alla roulette.....",5,a week ago
"Excellent food, ambience, service and music. Can't fault anything.",5,a week ago
Expensive,2,a week ago
"(Translated by Google) Good food and drinks in a nice atmosphere.

(Original)
Dobre jedzenie i drinki w miłej atmosferze .",4,a week ago
"Beautiful restaurant. My food was tasty, although I really didn't need 2 courses for brunch so wish the restaurant would offer a one course option! The service was friendly, albeit very slow.",3,a week ago
 ,5,2 weeks ago
 ,4,2 weeks ago
 ,3,2 weeks ago
 ,4,2 weeks ago
 ,5,2 weeks ago
Drinks are super good and not pricey which is hard to find in a venue of that standard,4,3 weeks ago
 ,5,3 weeks ago
 ,5,3 weeks ago
 ,3,3 weeks ago
 ,5,3 weeks ago
 ,5,3 weeks ago
 ,5,3 weeks ago
Host is so rude,1,3 weeks ago
 ,5,3 weeks ago
Music is way too loud in this place to have a dinner,1,3 weeks ago
 ,1,3 weeks ago
 ,1,3 weeks ago
 ,5,3 weeks ago
"I spoke to them on the phone earlier and they said bar is available for walk in without any reservations. After travelling all the way, they were very rude at the door and said people need reservations for tables. They let people cut in the …",1,3 weeks ago
 ,4,4 weeks ago
"Love the vibe upstairs. Top DJs, good crowd. The insider in Soho",5,4 weeks ago
Horrible service & way too expensive.,1,4 weeks ago
 ,5,a month ago
 ,5,a month ago
 ,4,a month ago
 ,5,a month ago
 ,5,a month ago
 ,3,a month ago
 ,4,a month ago
 ,5,a month ago
 ,4,a month ago
 ,5,a month ago
 ,5,a month ago
Very nice place to eat drink and dance after all (but not cheap),4,a month ago
 ,5,a month ago
 ,5,a month ago
 ,5,a month ago
 ,2,a month ago
Amazing ambiance and very nice music 🎶,5,a month ago
"Too noisy, food just about ok. Would not go again",2,a month ago
Great food and great service. The bar was full of people who thought they were film stars and do this must be the trendy place to go to at the moment.,4,a month ago
 ,1,a month ago
"Posh in the bad way
Good sound system and that's it",1,a month ago
 ,5,a month ago
 ,5,a month ago
very good food and cool atmosphere,5,a month ago
"(Translated by Google) Meals can be improved

(Original)
Yemekler daha iyi olabilir",5,a month ago
 ,4,a month ago
 ,5,a month ago
 ,4,a month ago
"All staff very friendly 
The security is very very helpful and very very good person 
The lamb choops is very good the Greek salad has too much tomatoes",5,2 months ago
Cool place to hang out for drinks and food and cool music,5,2 months ago
 ,5,2 months ago
"The worst restaurant in London..
The stuff was rude..
The food wasn't something special..
And the prices were so high for no reason..",1,2 months ago
 ,4,2 months ago
 ,5,2 months ago
 ,1,2 months ago
