text,label,date
 ,4,5 hours ago
I went to Ichibuns because it was classified as one of the best restaurants in Soho. Indeed it did not disappoint. I would 100% recommend it to anyone that looking for a cool place to eat with great food! Excellent customer service as well. I would suggest the Mochi for dessert!,5,11 hours ago
 ,4,21 hours ago
 ,5,a day ago
 ,5,a day ago
"The food was beautiful. We sat downstairs this time, it was wonderfully decorated and the atmosphere was warm and inviting. Definitely my new favourite.",5,2 days ago
Great sushi. Great design inside,5,2 days ago
Nice busy place. Good menu. It can use more drinks selection.,4,3 days ago
"Brilliant concept... sushi + burgers under the same roof. Really nice place for a bite to eat. The chicken burger was a 10/10. Definitely recommend for tasty food, friendly staff and great ambiance in Soho.",5,3 days ago
 ,5,4 days ago
"(Translated by Google) Nice place, accessible food

(Original)
Lugar agradable, comida accetable",3,4 days ago
"Positives: the veggie udon was apparently very good.
Negatives: I agree with the review above that this is barely a Japanese resteraunt. Great for kids or people who won't love Japanese food. The burger was disappointing. Sweet potato fries …",2,5 days ago
"The restaurant is well designed. I loved their attention to details, you see lots of cool decorations and posters wherever you look. And they had a DJ playing music downstairs. Unfortunately, we could only find the bar table upstairs …",2,5 days ago
Stopped by for a bite to eat after a show and was pleasantly surprised! I had previously bookmarked the restaurant as I always wanted to check it out. We sat by the bar downstairs where we were served by the lovely Ben who couldn't have …,5,5 days ago
Get the dynamite shrimp they are unreal! Also the toilets are very fun to mess around with,4,5 days ago
 ,4,6 days ago
"(Translated by Google) nice service; Location great; eat good

(Original)
netter Service; Location toll; Essen gut",5,6 days ago
Great burgers 🍔 nice toilets that have a heated seat very small but all in all a brilliant experience.,5,6 days ago
"Trendy ambience, but calling this place a Japanese restaurant is a bit of a stretch.
Also the prices are quite steep - asked us if we wanted water and charged us £4 for the bottle without warning us.
Not desperate to come back again.",3,6 days ago
Great burgers. Very 'gram'able location.,4,a week ago
Although  the people  in the reception  were  not  very  friendly,5,a week ago
 ,5,a week ago
 ,5,a week ago
Good food. Friendly staff. Nice decor.,3,a week ago
 ,5,a week ago
 ,5,a week ago
 ,5,a week ago
"Food was pretty good. Between us we had three small courses - all very tasty, especially the karaage chicken. Decor is very cool!! Love the nods to chic Japanese culture. Both the manga in the stairwell and the machines on the wall …",4,a week ago
great service and food,5,a week ago
 ,5,a week ago
 ,5,a week ago
Really good shushi but not for hard core Japanese lovers,4,a week ago
Great Japanese place. Cozy and the staff is friendly. Service is very good and the food is top notch. The Wagyu burger was very tasty. Would recommend this place if you want a quick bite. Bare in mind you will need to book in advance during peak times,5,2 weeks ago
Very nothing special food in the middle of china town. If you are in china town there's too many nicer restaurant is way better.,2,2 weeks ago
 ,5,2 weeks ago
Ótimo hambúrguer,5,2 weeks ago
 ,1,2 weeks ago
 ,4,2 weeks ago
 ,5,2 weeks ago
 ,5,2 weeks ago
"Had a really great evening here, can definitely recommend sitting at the bar downstairs even to eat. Had a great guy called Ben serving us, never had an empty glass for more than a second, most attentive waiter service I've ever seen and a …",5,2 weeks ago
Lower of the expectations...,3,2 weeks ago
"Excellent modern fusion menu, everything is tasty and has a modern twist.",5,2 weeks ago
 ,5,2 weeks ago
"Expensive, food pretty ordinary.",2,2 weeks ago
"Tasty food, fresh,",5,3 weeks ago
 ,5,3 weeks ago
 ,3,3 weeks ago
"I repeated my visit many times. Amazing vibes and friendly staff! 
You should try out the burger 😍
If you love Asian food don’t forget to order Gyoza Veggie!",5,3 weeks ago
 ,5,3 weeks ago
This place is a GEM!! the food is amazing... the location is Instagram worthy for photos from the way the food is presented to perfection to the beautiful interior. The salmon burger was amazing!! if you love classic sushi and burgers with great flavour its a must visit! plus Its open late too. will defo visit again!! and again!!,5,3 weeks ago
Great GFree option. Very tasty,5,3 weeks ago
"Great food! The shrimp and chive gyoza were amazing. And the ume cocktail was a delight...even if I had them remove the egg white from the mix. On that note, they were happy to make substitutions, which is rare enough that I should mention it.",5,3 weeks ago
 ,5,3 weeks ago
You would not suspect how cool is the inside. All the decoration looks like you are japan with traditional tables etc. Loved the food but thought it was a bit pricey though. Would definitely recommend!,4,3 weeks ago
"Japanese fancy place, cool music, great cool service and  tasty fusion Japanese food. I do recommend at all.",5,3 weeks ago
"Great decor, tasty food but a limited menu. Had a tasty burger but was slightly overdone. One kids option (a burger).",4,3 weeks ago
 ,4,4 weeks ago
"The service is really good, but tge food is overpriced for what it is. The 'wagyu' beef was very poor",3,4 weeks ago
 ,5,4 weeks ago
 ,5,4 weeks ago
Great diner feel to this place. Some amazing dishes on the menu,4,4 weeks ago
Really happy with the food and service! Wow gluten free crispy chicken! Amazing. Thank you Lizzieee for being so wonderful and clued up on my allergy,5,4 weeks ago
"Soho is the night center of London.
Full of food place and pubs, crawled by tourists and Londoners, it is impossible to walk through these streets without stopping by and have a drink and something to eat.
The options are countless, but …",5,4 weeks ago
 ,2,4 weeks ago
 ,1,a month ago
 ,5,a month ago
"(Translated by Google) Good Chinese restaurant, food very well seasoned, different flavors. Located in Chinatown in London.

(Original)
Dobra chińska restauracja , jedzenie bardzo dobrze doprawione , różne smaki . Znajduje się w Chinatown w Londynie .",4,a month ago
Great restaurant in the heart of Chinatown in London. Good food and service.,4,a month ago
Delicious,4,a month ago
"We were lucky to have lunch during the lunar festival. Got a great view of the lions chasing out bad spirits from the first floor. For food, I recommend the chicken karaage, gyoza and the popcorn shrimp. Portion sizes are good and the staff were really nice!",5,a month ago
 ,5,a month ago
Quick service good price 🍣 🍔,5,a month ago
 ,5,a month ago
Great food great great playlist!,5,a month ago
"Overpriced..not value for money at all.Udon Chicken.. 3 small pieces of chicken drowned in terryaki water...  service charge added automatically was expensive, although service was ok.",1,a month ago
 ,4,a month ago
 ,5,a month ago
 ,5,a month ago
Got kicked out early to make space for a 8 people booking. I guess if you're spending more you're more of a priority.,3,a month ago
 ,5,a month ago
Not so special,3,a month ago
"(Translated by Google) We were in a hurry, in a hurry and memory I never received my meal so fast! Thank you to Ichibuns we were on time at the theater.

The deco is amazing, everything here screams Japan. Including the toilet (ed), but …",5,a month ago
 ,5,a month ago
Great food,5,a month ago
 ,5,a month ago
 ,5,a month ago
Loved the food and the design of the restaurant. Downstairs there's a very cool pub isle.,5,a month ago
I cannot recommend this place enough! Food is a treasure! Every bite is scrumptious! Service is excellent. Greeted beautifully and Polish girl waiter was a treat.....atmospheric too,5,a month ago
"(Translated by Google) Spectacular, we were on the ground floor, with discjockey with good music and excellent food !!

(Original)
Espectacular , estuvimos en la planta baja, con discjockey  con buena música y comida excelente!!",5,a month ago
 ,5,a month ago
 ,5,a month ago
A tad pricey for the food. the small bits pretty good. The buns are not as exciting.,4,a month ago
How does it look 👀,4,a month ago
 ,4,a month ago
 ,5,a month ago
 ,4,a month ago
"Ichibuns offers an alternative setting to eat fast Japanese-tweeked food with fast food waitering - order quickly, eat quickly to digest quickly OUTSIDE the restaurant as they need your table when you stop eating. They even go to take your …",3,a month ago
Good food and efficient staff. A bit too fusion for me but it's a personal preference and they execute well.,4,a month ago
