text,label,date
 ,5,9 hours ago
"Dim sum here is exquisite.

An absolute must.

Viva la dim sum cart!",5,a day ago
 ,5,a week ago
Amazing looking restaurant. Helpful staff but could have been a little friendlier. Food was good but didn't blow us away,4,a week ago
My favourite Chinese restaurant in Chinatown. Have been going here for years. Love the roast pork! They did not deliver but I enjoyed going there to pick up some takeaway.,5,2 weeks ago
Great food,5,2 weeks ago
 ,5,2 weeks ago
"Went for Chinese new year, delicious dim sum and Cantonese duck",5,3 weeks ago
 ,4,3 weeks ago
 ,5,3 weeks ago
 ,5,4 weeks ago
Beautiful place great food excellent staff,5,4 weeks ago
One of the best places for Dim sum. It’s busy but that just means it’s good,5,4 weeks ago
 ,4,4 weeks ago
 ,3,a month ago
 ,4,a month ago
"Although the food we finally got was good, apart that is for the crab meat and sweet corn soup...We were not able to have the food we had originally ordered as the kitchen had run out...a tad sloppy at 6.30pm  on a Saturday...so no pork...?",3,a month ago
 ,5,a month ago
 ,4,a month ago
"(Translated by Google) The hidden secret tip in China Town. Always great food.

(Original)
Der versteckte Geheimtip in China-Town. Immer wieder Top-Essen.",5,a month ago
 ,2,a month ago
 ,3,a month ago
"My bbf took me to this restaurant. You won't see it unless you're in the know. My bff is Chinese , she knew what to order , all delicious food like Peking duck , we had about four dishes . Names of the dishes ? I have no idea.",4,a month ago
Hen party.. lovely food..man who waited on our table was very friendly and helpful.. will go again..take the train next time..had to drive .. parking no no.restaurant had parking..but at £8.an hour,4,a month ago
"Karaoke machine had very few english songs from this century and no japanese ones. Food was mediocre. Some of the staff were friendly, some not so much.",4,a month ago
 ,5,a month ago
 ,5,a month ago
Crispy 🦆 is absolutely fantastic! Great place and friendly service.,5,a month ago
"AVOID AVOID AVOID!!!!!!

If I could rate minus stars I would. I truly cannot express how bad this place is....

Awful experience from the onset; we should have taken the early warning signs of a abrupt welcome & hostile atmosphere and left …",1,a month ago
"Great food, great vegetarian options and very generous portions! Good find in the heart of China Town",4,a month ago
"(Translated by Google) Great food and great service. Very nice local.

(Original)
God mat og god service. Svært flott lokale.",4,a month ago
"2nd time visiting and by far the best Chinese I have ever eaten. Little more expensive than other places Chinatown, but definitely worth it. One of the few 5 Stars I have given.",5,a month ago
 ,4,a month ago
 ,5,a month ago
 ,4,a month ago
 ,5,a month ago
"Not a big fan of Chinese food (had too many bad ones!), but this place was good. Food was tasty, the ambience, the entrance was beautiful and service was great.",4,a month ago
"Was ok..I mean food was good but no more then other Chinese restaurant! Will I go again,  yes!",3,a month ago
 ,5,a month ago
"Great food for a reasonable price, efficient service",4,a month ago
 ,3,a month ago
"Great food, authentic location",5,a month ago
 ,4,a month ago
"(Translated by Google) Good à la carte choice. Satisfactory quality

(Original)
Bon choix à la carte. Qualite satisfaisante",4,a month ago
"(Translated by Google) Dim Sum Delicious

(Original)
딤섬 맛있음",4,a month ago
 ,1,a month ago
"Dim sum has lost its tradition here. You just cannot have fusion dim sum - it does not work. Also you need to sort out the waitering service...which was lousy. And buy your Chinese tea leaves from a new supplier, the Po-er tea was substandard. Not on my recommended list of good eats in Soho this year.",2,a month ago
 ,5,a month ago
 ,4,a month ago
 ,5,a month ago
Lovely food good service fair pricing ... definately visit again,5,a month ago
Good grease,5,a month ago
Nothing to complain about the food. But service was worst ever I had. Beware of the woman with short hair.,1,a month ago
Excellent food. A little expensive,5,a month ago
"Good food, but expensive, can get the same quality in other restaurants in Chinatown for less . check the bill,they charged us twice for 2 dishes .",4,a month ago
 ,5,a month ago
 ,5,2 months ago
food is good n service is efficient..price ok,4,2 months ago
 ,5,2 months ago
 ,4,2 months ago
