text,label,date
 ,5,a week ago
 ,5,2 weeks ago
"(Translated by Google) Chinese cuisine, a large selection of dishes. The restaurant is located in Chinatown in London.

(Original)
Kuchnia chińska , duży wybór dań . Restauracja znajduje się w Chinatown w Londynie .",4,3 weeks ago
 ,5,a month ago
"Great food, but restaurant is bit old and not very nice. However if you wole like to eat delicious food in decent price - you should try!",4,a month ago
This restaurant's food was great and nothing like a Chinese delivery. It was the best Chinese we have ever eaten. Very basic set up but friendly welcoming staff.  We will be back,5,a month ago
"Great hotpot, make sure to order lots. busy Friday evening so be ready to que or get their early",5,a month ago
Great authentic food & fab service,5,a month ago
 ,4,a month ago
"(Translated by Google) Always more fun to eat here. But tonight around 10:15, after buying a single hear little brother and partner, speaking in Fuzhou dialect secretly called me, he said: ""Your mother can not be micro-channel scan code, …",1,a month ago
Good value food.,5,a month ago
 ,5,a month ago
 ,5,a month ago
 ,4,a month ago
 ,4,a month ago
It's an ok place to eat. My husband and I enjoyed the meal.,4,2 months ago
"(Translated by Google) Authentic Chinese taste, first-class service attitude!

(Original)
地道的中国口味，一流的服务态度！",4,2 months ago
The staff was very friendly and helped us with our order :),5,2 months ago
 ,5,3 months ago
 ,3,3 months ago
