text,label,date
Interesting choice of food tasty,5,2 days ago
 ,5,2 days ago
 ,5,3 days ago
 ,1,5 days ago
Lovely little Leon conveniently placed between Chinatown and Piccadilly. Offers a quick and tasty breakfast menu - including the moreish sausage and egg - and lunch/dinner items - such as the chicken thigh burger and chicken nuggets with …,4,5 days ago
 ,5,6 days ago
Value for money,4,a week ago
"I had a chicken burger , and it was really nice , I will definitely come back to eat!",5,a week ago
"Good food, served fast. The lentil masala and black bean rice boxes are great tasting and a reasonable price. The katsu chicken was a little light on chicken and a little overpriced though the katsu curry sauce was good.",5,a week ago
 ,4,a week ago
 ,2,a week ago
 ,3,a week ago
"Delicious food, i was really suprised.",5,a week ago
Great little discovery,5,a week ago
 ,4,a week ago
"(Translated by Google) Some vegan option

(Original)
Alguna opcion vegana",4,a week ago
 ,5,a week ago
"Nice food, dirty table, filthy toilet",3,a week ago
 ,4,a week ago
Good quality/price ratio,4,a week ago
Loved it! Glutenfree was great (and affordable),5,2 weeks ago
Food wasn't really hot as they advertise....,2,2 weeks ago
Mais um lugar pra um lanche rápido em Londres. Boas opções de saladas e caixinhas de arroz com frango e chilli. Bem na linha mais natural e saudável.,4,2 weeks ago
 ,5,2 weeks ago
Got the Chipotle vegan avocado burger. It wasn't that great however the fries were good. And a Korean mayonnaise. I also got their limit gingerbread deserve it was pretty good. Customer service was good,3,2 weeks ago
Service was quite poor and the food was expensive for what you get sadly.,2,2 weeks ago
"Definitely improved of late but still not back to its original excellence, lots of gluten-free food and service - eventually. Like I say quality is on the up.",4,2 weeks ago
 ,4,3 weeks ago
 ,5,3 weeks ago
"(Translated by Google) Everything tasted good, great service.

(Original)
Alles hat gut geschmeckt, super Bedienung.",5,3 weeks ago
"Friendly service, nice coffee",4,3 weeks ago
 ,5,3 weeks ago
 ,4,3 weeks ago
The staff hot ALL of our wrong,1,3 weeks ago
Healthier and arguably tastier option to the major fast food chains. The mains range from £4 to £8 and all I have tried were really tasty. Staff is really nice as well and the organic coffee is really good. The only problem I have with …,4,3 weeks ago
 ,4,3 weeks ago
 ,5,3 weeks ago
 ,5,3 weeks ago
 ,5,3 weeks ago
 ,4,4 weeks ago
 ,3,4 weeks ago
"(Translated by Google) Good food, interesting flavors. Leon is located in Chinatown in London.

(Original)
Dobre jedzenie , ciekawe smaki . Leon znajduje się w Chinatown w Londynie .",4,a month ago
 ,5,a month ago
 ,3,a month ago
 ,4,a month ago
Absolutely fantastic please expand and open some branches up north,5,a month ago
"(Translated by Google) Natural fast food very good, with varied options and very affordable price to be London.

(Original)
Comida rápida natural muy buena, con opciones muy variadas y precio muy asequible para ser Londres.",5,a month ago
 ,5,a month ago
"(Translated by Google) For me, one of the best ways of fast food in London. They have a huge number of branches and a selection of really good quality, relatively cheap and tasty food. They work like fast food, so you get food immediately …",5,a month ago
"(Translated by Google) The food choices here are super diverse and British consumption is really not too cheap

(Original)
這裡的食物選擇超多樣化，英國的消費真的不算太便宜",4,a month ago
"Chicken burger was tiny (when unwrapped I could only see bun as the contents were so flat), chips were lukewarm and chewy but the chicken katsu box was quite nice. Overall very unimpressed.",2,a month ago
 ,5,a month ago
Lovely coffee and I love the concept of Leon. Brekky items delicious,5,a month ago
 ,4,a month ago
 ,4,a month ago
 ,5,a month ago
good esspresso,5,a month ago
 ,3,a month ago
 ,5,a month ago
 ,5,a month ago
 ,4,a month ago
 ,4,a month ago
 ,3,a month ago
Each town of this world should have a LEON!,5,a month ago
 ,4,a month ago
 ,3,a month ago
 ,4,a month ago
 ,5,a month ago
"(Translated by Google) Good food, got the rice with beans and the Chicken Cup then mixed together at the table. Excellent lunch.

(Original)
Buon cibo, preso il riso con fagioli e la Cup di pollo poi mixato insieme al tavolo. Ottimo pranzo.",4,a month ago
 ,3,a month ago
"Lightning fast service, good enough food for my taste",5,a month ago
"(Translated by Google) Not bad .... a little too bland for my taste but for a fast stop it is fine .... also for the prices.

(Original)
Non male....un po' troppo insipido per i miei gusti ma per uni stop veloce va bene....anche per i prezzi.",3,a month ago
 ,5,a month ago
Naturally fast food. It's a small place with loads of healthy options. Good prices and not long queues. Disable access yes but there is only one toilet for men and women and there you will find a big queue. Two tips tables to sit and enjoy …,5,a month ago
Nothing to tell,3,a month ago
Gooood food. Staff was super friendly.,5,2 months ago
 ,5,2 months ago
 ,5,2 months ago
 ,4,2 months ago
 ,4,2 months ago
