text,label,date
 ,1,5 days ago
Great service with excellent staff. Visit here  few time for the wash and blow dry with different hairstylist. Always satisfied with the service! Definitely recommend,5,4 weeks ago
"(Translated by Google) Max cut very well, and was very patient, recommended ~

(Original)
Max剪得很好，而且很有耐心，推荐～",5,4 weeks ago
 ,5,a month ago
 ,5,a month ago
 ,5,2 months ago
 ,5,2 months ago
 ,5,3 months ago
I've been going here every month for 6 years.  Heller knows how to cut my hair exactly how I like it.,5,4 months ago
"(Translated by Google) More crowded, don't want to wait a long time to make an appointment in advance, men cut hair 20 pounds

(Original)
比较拥挤，不想等很久就提前预约，男士剪发20磅",4,4 months ago
