text,label,date
 ,4,3 days ago
 ,5,a week ago
 ,5,a week ago
 ,5,a week ago
 ,5,a week ago
 ,3,a week ago
"The food was okay, but nothing more",3,a week ago
Hot pots!,5,a week ago
One of the best tofu in London.,5,a week ago
 ,4,2 weeks ago
Best Chinese in Chinatown for grilled meats. The hotpots are pretty good too.,4,2 weeks ago
"(Translated by Google) Decisive and efficient service. tasty food. The kind of places that come hungry to eat net.

(Original)
שירות תחליטי ויעיל. אוכל טעים. מסוג המקומות שבאים אליהם רעבים לאכול נטו.",5,2 weeks ago
 ,4,2 weeks ago
The roasted duck is not as good as it used to be. I heard that they changed the chef.,3,2 weeks ago
 ,2,3 weeks ago
 ,4,3 weeks ago
 ,4,3 weeks ago
"(Translated by Google) Decent offer

(Original)
Ordentliches Angebot",4,3 weeks ago
"Cozy Chinese restaurant, reasonable prices. Very good noodles dishes, I totally recommend the Singapore Noodles. Duck was also delicious",4,3 weeks ago
 ,5,3 weeks ago
How this place is regarded as only 3.6 is scandalous!! This is by far the best chinese restaurant I have ever been to in the whole of Europe!!,5,3 weeks ago
The best Chinese food you can get in town.,5,4 weeks ago
"Great Chinese in the heart of China Town, food is fantastic and value for money.",5,a month ago
 ,4,a month ago
 ,5,a month ago
 ,3,a month ago
Great food,4,a month ago
"Overpriced food, some of it not made fresh just reheated in microwave. Slow service. They forgot our rice, couldn't start eating for at least 5 minutes. 12% service charge added to bill despite not having it displayed in advance anywhere.",1,a month ago
"The service was absolutely shocking (from the door staff and the waiter). The menu is not clear and the food is ok, although our dishes arrived 10 minutes apart.",1,a month ago
 ,4,a month ago
 ,4,a month ago
 ,4,a month ago
"Good to have a meal in here, the opening time is quite longer than other branches.",4,a month ago
 ,5,a month ago
Very good and authentic Chinese food,5,a month ago
 ,5,a month ago
Not as good as I remembered,3,a month ago
 ,5,a month ago
 ,5,a month ago
 ,3,a month ago
"A very good place with great portion of food.

猪肚鸡 is worthy for tasting.",4,a month ago
"(Translated by Google) Super tasty and authentic hot pot

(Original)
Super lecker und authentisches hot pot",5,a month ago
Very good food and quick service. London prices.,5,a month ago
Good food.,4,a month ago
Nice food. But felt hurried,3,a month ago
 ,4,a month ago
 ,5,a month ago
 ,3,a month ago
Delicious!,5,a month ago
 ,5,a month ago
 ,4,a month ago
 ,4,a month ago
"(Translated by Google) The dishes are not too greasy and the waiters are a bit slow

(Original)
菜好吃不會太油膩，服務生速度有點慢",4,a month ago
 ,5,a month ago
"Excelent food, reasonable price, could improve the service",4,a month ago
 ,5,a month ago
"Quality of the food has gone down, prices gone up....and felt pressured to eat and get out quickly. Was one of our favourite places, but we won't be returning",2,a month ago
"(Translated by Google) I will give 0 for this place. Very very poor service, people are so rude!! I have never seen such poor service Chinese restaurant in London! Don't come here!! Trust me!!

 The attitude is bad! Seeing all kinds of …",1,a month ago
Just the same as every four seasons. Can get crowded.,3,a month ago
 ,5,a month ago
"Started promisingly, but service was very poor after more tables were seated. Duck was cold and soggy and the replacement never arrived. Avoid.",1,a month ago
"This is the best meat and rice in Chinatown. The crispy pork belly is really good and pretty much the only one that’s actually crispy. The duck was great and the chicken was tender and juicy, whereas others are hard and dry. One bowl of …",5,a month ago
 ,4,a month ago
 ,5,a month ago
 ,3,a month ago
 ,4,2 months ago
 ,5,2 months ago
 ,5,2 months ago
 ,4,2 months ago
Dinning place with chinese cuisine.,3,2 months ago
