text,label,date
The chicken was delicious and the staff were very friendly.,5,3 days ago
 ,5,5 days ago
Don't advertise on deliveroo if you won't accept orders,1,6 days ago
 ,5,6 days ago
 ,5,a week ago
 ,5,a week ago
Superb food (best chicken ever) and nice personnel,5,a week ago
 ,4,a week ago
They serve big dishes and for reasonable prices. very welcoming staff. Great work.,5,a week ago
Very good,5,2 weeks ago
 ,5,2 weeks ago
 ,5,2 weeks ago
 ,5,2 weeks ago
 ,5,4 weeks ago
 ,4,a month ago
 ,5,a month ago
 ,5,a month ago
"(Translated by Google) Korean restaurant is too expensive

(Original)
한인 식당 넘뮤 비싸요",4,a month ago
Too expensive,1,a month ago
"(Translated by Google) Amazing friendly service.🙂 Love the food. Delicious food

(Original)
Amazing friendly service.🙂 Love the food. 맛있는 음식",5,a month ago
 ,5,a month ago
"Quick pleasant service but food quality is not the best, the fish we ordered wasn’t fresh..",1,a month ago
 ,5,a month ago
Tasteless ginseng chicken. Rice half cook. Fried chicken is a bit dry inside. Bibimbap was ok.,2,a month ago
 ,4,a month ago
 ,4,a month ago
Best korean restaurant in london,5,a month ago
 ,5,a month ago
The food and the staff are amazing,5,a month ago
"(Translated by Google) It's so delicious and very expensive 👍👍 But even the boss and the staff are all good.

(Original)
여기 엄청 맛있고 가성비👍👍 근데 더군다나 사장님부터 직원들까지 다 착함 강추해요👍",5,a month ago
Not bad. The quantity was quite large. Every one can definitely get full there.,3,a month ago
(Translated by Google) The price quality ratio a bit low. The service is fast and is nice because of the location. I did not have the opportunity to try the sushi but because of how it was served at other tables it was not very appetizing. …,3,a month ago
"(Translated by Google) Excellent Korean cuisine, a place mainly frequented by Orientals, Spartan, but excellent

(Original)
Ottima cucina coreana, locale frequentato prevalentemente da orientali, spartano, ma ottimo",4,2 months ago
 ,3,2 months ago
"(Translated by Google) The most unpleasant cold noodle I've ever eaten like this

(Original)
我长这么大以来吃过最难吃的冷面，和味道极其普通的石锅拌饭",2,2 months ago
very expensive and nasty salty food,1,2 months ago
"(Translated by Google) No cold noodles at all
It's just a little nice and the price is too expensive.
Say you bring water and eat it again.

(Original)
일단 냉면 육수도 아예없고
제육만 조금 괜찮고 가격은 너무비싸네요.
물도 가져주신다고 해놓고 다먹고나서 다시말하니 갖다주시고.",2,2 months ago
"My champong was really nice , however, the bibimbap was cold. Only the bowl was hot. The place was quite small even though they had down stairs seating. The staff depending who we’re not interested in us and seemed a bit rude. Maybe 1 …",2,2 months ago
 ,5,2 months ago
"I gave 5 stars before but it was almost one year ago. Today went back again but it looked like the management changed. Less food in plates, ordered a chicken bibimbap and there was just a few pieces.
The service.. oh the service.. is …",1,2 months ago
