text,label,date
Hotpot was good,4,9 hours ago
 ,5,a day ago
 ,4,5 days ago
Great food and service,5,a week ago
 ,4,2 weeks ago
 ,5,3 weeks ago
so good ，😄nice service,5,a month ago
 ,2,a month ago
Amazing customer service. Lovely food. Would definitely recommend this to all my friends and family!,5,a month ago
Excellent service and amazing food for all the family. Highly recommended. The management is incredibly well mannered with an eye for detail. Will be back again.,5,a month ago
 ,5,a month ago
"(Translated by Google) Reply to Jaysy Tank: I was also at the hot pot restaurant at the time, and the situation was: the puppy owner and the boss apologized politely, you took off your coat to drive out the violence against the dog. As a …",5,a month ago
"The dumplings were literally served frozen. For the astounding price you would expect them to not just be fresh but handmade! Staff were very inattentive and all stood chatting to each other, ignoring guests. Menus were also really grubby. …",1,a month ago
(Translated by Google) A friend recommended a while ago that this restaurant has always wanted to eat hot pot but I have no time to come to this store today. The environment is nice and quiet. The friend chose a package for two people. The …,5,a month ago
"(Translated by Google) The little-tail sheep recommended by my friend came to try it last night. There were a lot of people on the weekend, but it did not affect the quality of service and speed of serving. The dishes were fresh and the …",5,a month ago
"(Translated by Google) Upstairs the ""Jaysy Tank"" I am the master say you come to pick puppy dog ​​aunt! First, I was not a little girl aunt! Your eye problems do not blame you! ! ! My dog ​​1.5kg, super cute little white Pomeranian like you …",5,a month ago
 ,1,a month ago
"Meat wasn't fresh. Some of meat changed colour.
It costs us for 30 pounds per head without drink but still hungry. One of my friends has really bad diarrhoea. Avoid it for your own good.",1,a month ago
"(Translated by Google) As a hot pot restaurant enthusiast, I have to say that this restaurant tastes good, but it is also one of the most terrible hot pot restaurants. You can see the dog running out to the lobby while eating. After a …",1,a month ago
"(Translated by Google) The waiters are nice but really not tasty ... spicy pot bitter

(Original)
服务员很好 但是真的不好吃...辣锅苦的",2,a month ago
"After having previously eaten at Hai di lao in Shanghai, I was curious to try a hotpot restaurant on a much smaller scale. We booked ahead and were given a nice private booth downstairs. The service was very good with attentive staff. The …",4,a month ago
 ,2,a month ago
"(Translated by Google) Spicy hotpot where you can choose a variety of dishes after paying an amount! But the selected items are not complete, and a few other ingredients feel like they have time. The service staff was kind, but they didn't …",4,a month ago
 ,5,a month ago
 ,5,a month ago
"(Translated by Google) Push the soup! ! ! There are two ways to calculate. £26 is full (designated dish) with a single point.

(Original)
大推清湯！！！分兩種計價方式。£26吃到飽(指定菜)跟單點。",3,a month ago
 ,4,a month ago
 ,4,2 months ago
 ,2,2 months ago
Delicious hotpot! Great and speedy service. The staff were also so welcoming and friendly! I highly recommend this place!,5,2 months ago
