text,label,date
Food was very average. The prawns were bad - not fresh and sticking onto the shell. Long wait for food after ordering.,2,5 days ago
 ,4,2 weeks ago
 ,4,3 weeks ago
"(Translated by Google) Expensive and unpalatable, super slow, what comes up is really unpalatable
It ’s bad taste and it ’s slowly
Dining environment is super bad, not clean, tableware spoons are dirty
The environment is dirty, do n’t come …",1,a month ago
 ,5,a month ago
"Food quality was great the first time we went there when the restaurant was just opened. However, now it’s trying to save budget and the food quality is reduced somehow...a shame.",3,a month ago
 ,3,2 months ago
"(Translated by Google) 25.8 pounds! !! !! You can order spicy and grilled skewers, plus a cold food foil paper staple, a thief bargain! !! Beef and cold fungus are awesome! I have n’t had time to shoot the disc, hee hee, the spicy flavor is …",5,2 months ago
Booked this restaurant through OpenTable. Restaurant cancelled the reservation without letting us know in-advance. Totally recommend again dining here.,1,2 months ago
 ,5,2 months ago
