text,label,date
 ,5,9 hours ago
Just good fun,4,a day ago
Save your money and eat elsewhere,2,a day ago
 ,5,2 days ago
"Fantastic. Food, food stores, and people. Ask for credit card conditions before ordering.  If crowded, you willl have to wait.",5,2 days ago
"Absolutely tasty food, can't get better. Staff are lovely. Won't be disappointed if you come here",5,2 days ago
 ,5,3 days ago
 ,4,3 days ago
"(Translated by Google) tasty

(Original)
gustoasa",5,5 days ago
"Friendly, central, excellent value. Sat in a booth - bit cramped, but fun!!",5,5 days ago
 ,4,5 days ago
"The food was ok, I’d say tasty... 

but the bill didn’t have any prices on it and after reading these google reviews about the Billings, I feel that we might got be fooled 🤦🏼‍♀️

They also don’t accept contactless or Apple Pay",3,5 days ago
"Speedy service, very friendly helpful staff, delicious food, huge helpings!!! Very reasonably priced. See you in April when we are back!!! (Review by the teachers 😂)",5,5 days ago
"(Translated by Google) Disappointment. The complete absence of a Far East atmosphere. Food at most average. The ""spicy"" designation doesn't seem to apply to food? Dirty toilet and no soap!

(Original)
Rozczarowanie. Całkowity brak atmosfery …",1,6 days ago
Enjoyed my business lunch here. The food was superb!,5,6 days ago
 ,5,a week ago
 ,3,a week ago
(Translated by Google) We ordered the Crispy Duck Menu and it was very good. Excellent treatment but they do not warn you until it is time to pay that it is not really the price that marks but that it carries a somewhat percent charge for …,4,a week ago
 ,1,a week ago
 ,1,a week ago
 ,4,a week ago
 ,4,a week ago
 ,5,a week ago
 ,5,a week ago
 ,4,a week ago
 ,4,a week ago
"(Translated by Google) A chinese restaurant in London

(Original)
Un restaurante chino en Londres",5,a week ago
 ,1,a week ago
 ,1,a week ago
 ,4,a week ago
 ,5,a week ago
 ,3,2 weeks ago
 ,5,2 weeks ago
 ,5,2 weeks ago
 ,5,2 weeks ago
 ,5,2 weeks ago
 ,5,2 weeks ago
 ,5,2 weeks ago
 ,5,2 weeks ago
 ,4,2 weeks ago
 ,5,2 weeks ago
 ,5,3 weeks ago
"(Translated by Google) I don’t advise you to go around, they are cheating, at first they write the same prices, then they bring the bill one and a half times more.
And they don’t understand anything right away.

(Original)
Не советую …",1,3 weeks ago
 ,3,3 weeks ago
"(Translated by Google) Good restaurant.
The parts are really big so prepare your bellies 😅

(Original)
Bon restaurant.
Les parts sont vraiment grandes donc apprêtez vos ventres 😅",4,3 weeks ago
 ,4,3 weeks ago
 ,4,3 weeks ago
"Value for money,but nothing special, buffet has no test after food can stay for hours waiting till it's Finnish,and bring New cooked food, it's good whenever you are hungry, it's eat as much as you can.",4,3 weeks ago
 ,5,3 weeks ago
 ,2,3 weeks ago
