text,label,date
"Hi there  . Loon Fung is a good supermarket  to visit  and buy products,  fresh fish , fresh  meat  ,fresh  vegetables  loads of dry goods from bottled  sauces to dried pulses   to dried  noodles really it's a supermarket well worth  taking …",4,4 hours ago
Loved it everything you need,5,a day ago
 ,3,a day ago
Always busy but really good selection of Asian groceries!,4,3 days ago
"Nice range of goods, very cramped aisles, though.",4,a week ago
"Same selection of products you’ll find at any other Loon Fung supermarket, except this one is way to busy and sometimes the staff proves to be quite rude. You’re better off looking for another supermarket, you’ll have a far better experience.",2,a week ago
"(Translated by Google) Korean cup is the cheapest here

(Original)
한국 컵라면 여기가 제일 싸요",4,2 weeks ago
 ,5,2 weeks ago
 ,3,2 weeks ago
 ,4,3 weeks ago
 ,2,3 weeks ago
Great supermarket in the heart of Soho that carries an extremely wide selection of foods. I don't know a better shop. Always busy but with s good atmosphere.,5,3 weeks ago
Apparently they used the packaging to trick me buying this useless meat.,1,3 weeks ago
 ,4,4 weeks ago
 ,5,4 weeks ago
Good supermarket but small space can get really crowded it smells bad and be aware of pickpockets in the shop and on the town.,5,4 weeks ago
Good but too busy.,4,a month ago
 ,3,a month ago
 ,4,a month ago
 ,4,a month ago
This is one of the best Chinese supermarkets in London. There's so much to see & buy from fresh produce to frozen to the more unusual you wouldn't see elsewhere. Well worth a visit,4,a month ago
 ,5,a month ago
Whenever I need to stock up on my Chinese food then I go here. The staff are always very polite and helpful,4,a month ago
 ,4,a month ago
 ,4,a month ago
 ,4,a month ago
 ,4,a month ago
 ,4,a month ago
 ,4,a month ago
 ,4,a month ago
 ,5,a month ago
Very good products but customer service could be improved.,2,a month ago
 ,2,a month ago
Very popular- expect to queue a while but great selection - much better to buy dumplings from here than your typical supermarket,5,a month ago
 ,2,a month ago
 ,2,2 months ago
 ,4,2 months ago
 ,5,2 months ago
 ,3,2 months ago
"(Translated by Google) Rich product, can satisfy the purchase at one time

(Original)
商品豐富，可以一次性滿足購買",5,2 months ago
