text,label,date
 ,1,a day ago
"Warning bells should have been ringing when we were made to pay before even being able to see the food. Food was vile, not much to choose from at all. Also had to walk down lots of stairs to get to the toilet. Definitely would not recommend.",2,5 days ago
 ,5,a week ago
 ,4,a week ago
 ,5,a week ago
 ,1,a week ago
Good location,3,a week ago
 ,5,a week ago
Average food at best.,3,a week ago
Brilliant food,5,a week ago
 ,4,a week ago
"Very good prices! A good food,clean,with kind staff",4,a week ago
 ,5,a week ago
 ,3,a week ago
"(Translated by Google) Chinese food buffer, bue. Price variety and quality

(Original)
Buffer de comida China, bue. Precio variedad y calidad",5,a week ago
 ,4,2 weeks ago
 ,4,2 weeks ago
"(Translated by Google) Let's say it was good but I think it lacks a little more variety of food

(Original)
Digamos que estaba buena pero pienso que le falta un poco mas de variedad de comida",3,2 weeks ago
I love this place eat as much as you like 10 95p xx,5,2 weeks ago
Is ok,3,2 weeks ago
 ,4,2 weeks ago
Good value,3,2 weeks ago
 ,2,2 weeks ago
Price is quite honest for the offer. Anyway poor choose and very fatty chops of meat.,3,2 weeks ago
 ,3,2 weeks ago
"The food has to be the worst Chinese food I have ever had! I was with a large party so did not want to make a fuss, but it was really really bad. You have been warned, pay a bit extra elsewhere for something that at least will be edible. The best part of the meal was some tinned prunes - gives you some idea.",1,3 weeks ago
 ,5,3 weeks ago
 ,2,3 weeks ago
 ,3,3 weeks ago
 ,5,3 weeks ago
 ,3,3 weeks ago
 ,5,4 weeks ago
 ,4,4 weeks ago
Nice food 👌,5,4 weeks ago
 ,5,4 weeks ago
Niceee,4,a month ago
 ,1,a month ago
 ,4,a month ago
 ,5,a month ago
"(Translated by Google) Outside and written £ 10.95 inside pay £ 12.05
narrow places medium quality cuisine

(Original)
Fuori e scritto 10.95£ dentro paghi 12.05£
posti stretti cucina media qualità",3,a month ago
 ,4,a month ago
 ,2,a month ago
 ,3,a month ago
 ,5,a month ago
"Food ok , cash only and 10% service charge on top of bill. Also no draught beer all out of cans, coca cola served out of 2 litre bottle. Plenty of other choices in area . Shop around I will next time",1,a month ago
"(Translated by Google) LARGE BUFFET

(Original)
ΠΛΟΥΣΙΟ ΜΠΟΥΦΕ",5,a month ago
Bad quality food and quite salty.,1,a month ago
Very very good!,4,a month ago
"I can definetly recomend this restaraunt for anyone looking for a cheap chineese restaraunt. Here you only pay 11 pound and you can eat as much as you like during the course of 2 hours. Obviously there are issues, like over priced drinks. …",4,a month ago
 ,5,a month ago
 ,3,a month ago
 ,4,a month ago
 ,4,a month ago
"(Translated by Google) Yum. It was great. Ah £ 12 for one, eat what you want.

(Original)
Mňam. Bylo to skvělé. Á 12 £ pro jednoho, snez, co chceš.",5,a month ago
 ,5,a month ago
 ,4,a month ago
"(Translated by Google) Bad and expensive food!

(Original)
Schlechtes  und teures Essen!",1,a month ago
 ,5,a month ago
It is okay for a quick meal if you are hungry.,3,a month ago
Authentic Chinese food at reasonable prices.,5,a month ago
 ,3,a month ago
 ,3,a month ago
 ,5,a month ago
 ,3,a month ago
 ,4,a month ago
Absolutely disgusting cold food flat lemonade and deep fried sesame seed bread eww and the nerve to charge 10% service charge when staff blatantly look you in the face and turn away when u call them . followed by bad tummy ace for the …,1,a month ago
 ,3,a month ago
 ,1,a month ago
 ,5,a month ago
 ,1,a month ago
"All you can eat £10.95 Chinese food loads of choice , would recomend & return",5,a month ago
"(Translated by Google) Uncomplicated Chinese buffet, selection and quality is not particularly good

(Original)
Unkompliziertes Chinesisches Buffet, Auswahl und Qualität ist nicht besonders gut",3,a month ago
 ,5,a month ago
 ,5,a month ago
 ,5,a month ago
 ,2,a month ago
Worth a try,5,a month ago
"(Translated by Google) The food very bad. I do not recommend

(Original)
La comida muy mala. No recomiendo",1,a month ago
 ,5,a month ago
 ,5,a month ago
 ,5,a month ago
 ,2,a month ago
There are no knives,3,a month ago
The food was good but my reason to put only 2 stars is because the dishes are not washed properly and just wiped with wet towel which make me to asking my self ..... who was eated  before me? I am really disappointed what I saw today.,2,a month ago
 ,4,2 months ago
"(Translated by Google) Medium quality food, equal to our all you can eat, medium choice and cheap price

(Original)
Cibo di media qualità, uguale ai nostri all you can eat, media scelta e prezzo economico",4,2 months ago
Good value,4,2 months ago
Nice food BUT THEY PUT A SERVICE CHARGE ON WITH OUT ADVERTISING ON THE WINDOWS,3,2 months ago
 ,3,2 months ago
"(Translated by Google) Local located at the corner of the famous English Town China ... cheap price for London standards, but the quality is not comparable to one of our local ""all you can eat"" ... vote 7

(Original)
Locale situato ad …",3,2 months ago
