text,label,date
"My favorite place in London. OMG One weekend, I've been twice there... Love the UBE ICE CREAM 😍",5,a day ago
"The guyabano ice cream (no dairy though, great for vegan or lactose intolerant folks) teleports me to my childhood. It’s so good and fresh  :,)",5,3 days ago
"As a Filipino I am a little biased so not sure I can give 5stars but this place is great, vibe reminds me of home, the staff are friendly and helpful. The food... well, their Halo halo is one of the best I've had and I've had many in …",5,3 days ago
 ,5,3 days ago
 ,5,3 days ago
 ,5,4 days ago
"Unique flavours from the Philippines and other Filipino deserts such as ube brownie, buko pie and halo-halo. Excellent service and a clean environment.",4,4 days ago
"Great desserts, the ube shake was really good.",5,5 days ago
 ,5,6 days ago
Amazing place to try unique ice cream. The calamansi juice is sooooo refreshing. Even in the middle of winter!,5,a week ago
"(Translated by Google) The uber is beautiful 😋

(Original)
Le uber est magnifique 😋",5,a week ago
A Filipino ice cream/dessert place in Chinatown. This is like my comfy place in London where I get to eat my favorites,5,a week ago
 ,5,a week ago
"I arrived the second they opened, dying to eat their famous burnt coconut icecream. They hadn't finished making it so I patiently waited and in return for my loyalty they offered it to me in the house! So that was crazy sweet.  Plus now I'm obsessed with this ice cream, it was incredibly delicious!!",5,a week ago
 ,5,a week ago
"Tasty snack, I'll be back for the Milo I've cream.",4,a week ago
The Binong are great,5,a week ago
"Go here for the UBE ice cream in the milk bun. So good I had 2 in one day and will be returning later today for another :D 
Oh and weekend donuts!",5,a week ago
"AMAZING authentic Filipino dishes/desserts
Cannot recommend this place enough
Small and cozy, with affordable prices",5,a week ago
 ,5,2 weeks ago
Busy but delicious and worth the wait!,5,2 weeks ago
"Overall great ice cream, with their speciality flavors being purple ube and black coconut. The taste is very good but definitely pricey. £4.5 for two modestly sized scoops. Seating is plentiful but cramped and the shop can get very crowded. Worth a slight detour if you're in the area already.",4,2 weeks ago
 ,5,2 weeks ago
 ,5,2 weeks ago
Lovely dessert,5,2 weeks ago
The milk bun was a bit sweet and doughy. Ube ice cream great though.,4,2 weeks ago
"Aesthetic is amazing and wow their Bilog was great and the Ube ice cream is so great (first time I’ve ever tried either) 
I’d love to return",5,2 weeks ago
 ,5,2 weeks ago
"Ice cream in a donut. Nuf said.
Exotic flavours, colours and friendly atmosphere! Decent sized scoops too, makes it all the better",5,2 weeks ago
 ,4,2 weeks ago
Love the ube icecream!,5,2 weeks ago
 ,4,2 weeks ago
"(Translated by Google) New experience and delicious taste

(Original)
تجربه جديده وطعم لذيذ",5,3 weeks ago
So yummy! The Ube ice cream cake was really nice. It was really busy though and barely enough seats but I think that it was worth it! A bit pricey.. especially for what it is. But it’s got a really cool vibe about it so it’s a fun place to go!,4,3 weeks ago
 ,5,3 weeks ago
"Love Mamasons, they really know how to utilize Ube and I would highly recommend the Bilog as a lovely post dinner treat.",4,3 weeks ago
The bilog is worth a try!,5,3 weeks ago
 ,5,3 weeks ago
 ,5,3 weeks ago
Yummy donuts and milshakes!!,4,3 weeks ago
"Amazingggg desserts, especially if you’re a lover of ube like me! Each dessert was £6.50, the halo halo was good, very filling good for sharing. ube brioche bun was good too! A must try in China town :)",5,4 weeks ago
"It's a nice ice cream especially the Ube 
Ube ice cream is a must try flavour of ice cream they also have Ube bilog which is their best seller i recommend it to anyone who was looking for good dessert place.",4,4 weeks ago
 ,5,4 weeks ago
 ,4,a month ago
 ,4,a month ago
 ,4,a month ago
 ,5,a month ago
Lovely selection of ice cream to choose from,5,a month ago
 ,5,a month ago
I had the bilog with chocolate ice cream. I definitely recommend it.,5,a month ago
 ,5,a month ago
Very delicious halo halo,5,a month ago
Loved it! The ube bilog is amazing,5,a month ago
 ,5,a month ago
"Very busy and it seemed like only half the staff were doing anything so it was very slow. The flavours aren’t really my thing so it was quite sickly, really more an Instagram opportunity than a desert I would rush back for",2,a month ago
 ,5,a month ago
 ,5,a month ago
 ,5,a month ago
 ,5,a month ago
Great,5,a month ago
best Filipino ice cream especially if you wanna try ube! halo-halo is a must try!,4,a month ago
 ,5,a month ago
 ,4,a month ago
 ,5,a month ago
The ice cream was outstanding! I had the purple potato and charcoal coconut. Both delicious!,5,a month ago
"Got the halo halo and the ice cream bun, was good.  Although we couldn't finish the halo halo fast enough so the ice melted and watered it down.",4,a month ago
 ,5,a month ago
"Nice selection of deserts. Enjoyed the tart the most. If you are a Matcha fan, then a must go place.",4,a month ago
 ,4,a month ago
 ,5,a month ago
"Magical ice cream. It was great to try something from the Philippines, something not as commonly found as your normal ice cream scoop. The staff was awesome and the shop is so cute!",5,a month ago
"Good, but a bit overpriced for its own version of halo-halo.",3,a month ago
Amazing dessert place. Would recommend the ice creams,4,a month ago
 ,3,a month ago
 ,5,a month ago
"You can find authentic Filipino desserts here, you can find it a little bit pricey but it’s all worth it. The Ube and Queso Ice cream was the best with also the Bilog which is ube ice cream inside a warm pandesal bun.",5,a month ago
Feels like home. They serve the best Philippine ice cream in London :D They have Bilog and HaloHalo.,5,2 months ago
"Very busy,Orders being taken but the preparation of the orders not keeping up 
So long waiting times.",3,2 months ago
"Nice vibe, milo ice cream with a milk bun was nice. A bit too sweet for my liking, seating is a bit tough. I'd say priced 50% higher than real value, good nevertheless.

Great music.",4,2 months ago
It's really good,5,2 months ago
