text,label,date
 ,5,5 hours ago
Best Japanese restaurant in London,5,10 hours ago
Excellent japanese food 👌,5,a day ago
 ,5,a day ago
 ,5,2 days ago
Love this place.It’s got a simple menu but it’s so tasty and affordable so there’s always a long queue during peak times!,5,4 days ago
 ,5,5 days ago
 ,5,6 days ago
 ,4,6 days ago
"(Translated by Google) Excellent

(Original)
Excelent",5,a week ago
 ,5,a week ago
Cheap,3,a week ago
"(Translated by Google) Good sushi and great prices. The environment is very informal and credit cards are not accepted only in cash.

(Original)
Sushi buono e prezzi ottimi. L ambiente è moolto informale e non si accettano carte di credito solo contanti.",5,a week ago
 ,5,a week ago
"Cheap and cheerful Japanese diner, big hearty dishes,  Cash only!",4,a week ago
 ,4,a week ago
 ,5,a week ago
 ,5,a week ago
"Solid 3 star restaurant.
Good price, good portion, average tasting food.
This place is definitely not a 4 star restaurant, but not a bad place to eat.",3,a week ago
"(Translated by Google) The B's Good, Nice and Cheap; Nowhere in London right in the center are you going to eat a curry slice so good and cheap for what is the area (£ 7) that in the end one leaves with pleasure the service charge (tip that …",5,a week ago
 ,4,a week ago
"(Translated by Google) Very good quality, spectacular flavor and low price for what is London. Good quantity and also they put you tap water without charging you the bottle water. I will repeat without a doubt

(Original)
Muy buena calidad, …",5,a week ago
Probably the best Japanese restaurant in London.,5,a week ago
 ,5,2 weeks ago
Delicious food and drink,5,2 weeks ago
 ,4,2 weeks ago
 ,5,2 weeks ago
 ,4,2 weeks ago
 ,4,2 weeks ago
"This place is a gem. Cheap and no frills, but tasty generous portions of fantastic food. Honestly don't want it to get too popular, so I can keep it to myself",5,2 weeks ago
 ,5,2 weeks ago
 ,5,2 weeks ago
"One of the best restaurants in Chinatown. Cheap & delicious food with a very fast service. There might be queues sometimes, but its worth the wait.",5,2 weeks ago
 ,5,2 weeks ago
"Good food, clean establishment, fast service.",4,2 weeks ago
 ,5,2 weeks ago
 ,4,2 weeks ago
"Giant portions, great price, and delicious food",5,2 weeks ago
