text,label,date
"Horrible, the food was ""ok"" for the price, but the worst were the owners. Not even a hello ot welcome, they put you in a very small room, a small buffet, ask you to pay and don't even propose water, the water is not free, only water bottle. …",1,15 minutes ago
Rude staff and very poor food.,1,9 hours ago
Best place to eat in Chinatown in London. We been visiting from 5 years and never get enough 😀😀😀😀❤,5,3 days ago
Love the choice of food,5,5 days ago
"One of the cheapest buffets in China Town. The restaurant its self its cash only and tables are tiny, you feel a little squashed in. Limited selection of food but it tastes good and is replaced fairly regularly. Cash only, which seems fairly common in the area",4,5 days ago
"The employees are so rude, they asked me to go out and I did not even have two hours eating there, I just wanted to get relaxed, so I started comolaining about the service and one of the employees forced me to go out. I do not recommend it at all.",1,5 days ago
"Wonderful value, tasty food and Stephen very welcoming",5,6 days ago
"You can as much as you want with 8£, but if stay too long,  they will start the air conditioning on full speed to cold even if outside is also cold.",3,a week ago
 ,2,a week ago
"(Translated by Google) We entered for how cheap it was to be buffet ... often mistake. The food was not bad at all, very normal, the worst was the deal. They require you to pay as soon as you sit down and they don't let you pay by card (and …",1,a week ago
👍,5,a week ago
Great value buffet.,5,a week ago
 ,5,a week ago
"(Translated by Google) I can't call it a restaurant when I see how much the place leaves something to be desired, not to mention the tasteless food.
No menu of dishes available outside, a price written in black on the window to call the …",1,a week ago
 ,5,a week ago
 ,4,a week ago
 ,1,2 weeks ago
Buffet but limited choices. Affordable.,4,2 weeks ago
Very friendly restaurant good food and service,5,2 weeks ago
"Food was okay, the restaurant was clean,staff- courteous.",4,2 weeks ago
Very small but lovely food topped up regularly,4,2 weeks ago
 ,2,2 weeks ago
"(Translated by Google) I highly recommend the restaurants is delicious food for a small price

(Original)
Bardzo polecam restauracje jest pyszne jedzenie za niewielką cenę",5,2 weeks ago
 ,5,2 weeks ago
 ,5,2 weeks ago
"Cost us £24 2 adults, 1 child, all you can eat, can't go wrong in centre of london for that, sat downstairs though, not quite sure about fire safety regs, you'd be pretty trapped down there if something were to happen upstairs, food hygiene seemed good and was tasty Xx",3,2 weeks ago
 ,5,3 weeks ago
 ,5,3 weeks ago
 ,4,3 weeks ago
Food is great but the staff not polite at all.,3,3 weeks ago
Good food,4,3 weeks ago
"(Translated by Google) It is a place that does not have much variety, a little dirty, the attention is a bit shabby, the food you can not remove it from the dish is all a bit dirty the only good thing is the price

(Original)
Es un sitio …",2,3 weeks ago
"Cheap, 8 pounds per person to eat, food is just acceptable but for all you can eat in London is ok",5,3 weeks ago
Vastly overpriced for the standard of the meal and service not great,2,3 weeks ago
 ,5,3 weeks ago
 ,2,3 weeks ago
 ,2,4 weeks ago
 ,5,4 weeks ago
"(Translated by Google) Very Rico and the price ok El Unico problems is that (perhaps when I went ka) are behind you all the time as apurandote for you to eat.

(Original)
Muy Rico y El precio ok El Unico problems es que(quizas por ka hora que fui) estan atras tuyo Todo El tiempo Como apurandote para que comas.",4,4 weeks ago
 ,3,4 weeks ago
"Excellent choices of food here at Mr Wu in China Town. I had 2nd's my partner who normally doesn't eat much went 3 times to the food. We both really enjoyed the food and atmosphere,it was very busy though, but there is a upstairs too.",4,4 weeks ago
"Food was standerd not a lot of choice, asked to pay before even showed to a seat, you have to use the same plate if you go up more then once, the staff was rude and not friendly the atmosphere made you feel uncomfortable and you only have a …",1,a month ago
 ,4,a month ago
"(Translated by Google) It has variety and the food is good, it is not the best we have tried but for the price it is quite good, correct treatment, what we did not like was that they sat us on the ground floor and we had to go up for food …",4,a month ago
 ,2,a month ago
 ,4,a month ago
"(Translated by Google) the worst experience of my life. has the key: a rappatriment emergency hospital and two weeks (gastro service in Saint Louis, Paris). Both say that I grazed the worst. To avoid urgently. not to mention the service and …",1,a month ago
"(Translated by Google) to cater in London very good opportunity. The food tastes good, all you can eat, at reasonable prices. It is always mega busy but worth it. We always eat here at least once when we are in London.

(Original)
Sehr …",5,a month ago
 ,4,a month ago
