text,label,date
 ,4,a day ago
 ,5,5 days ago
 ,5,6 days ago
 ,5,a week ago
Great offer,4,a week ago
 ,5,2 weeks ago
Amazing little supermarket that's not so little!!!,5,2 weeks ago
 ,5,2 weeks ago
 ,4,3 weeks ago
 ,4,3 weeks ago
 ,5,3 weeks ago
 ,3,a month ago
"They are darn nice peeps at the New Loon Moon, but beware the 'bait & switch' chilli trick - they put the £2 red chillis all over the £1.50 green chilli basket so you grab the Thai bum burners thinking you've got an okay deal, only for them …",5,a month ago
Great place for Asian foods. Highly recommend! If your looking for mochi you came to the right place and all things Asian.,5,a month ago
 ,4,a month ago
 ,4,a month ago
 ,5,a month ago
 ,4,a month ago
 ,3,a month ago
 ,5,a month ago
Good storage,5,a month ago
Narrow aisles and too many people.,3,a month ago
 ,4,a month ago
Asian supermarket 👍,4,a month ago
 ,3,2 months ago
"Chinese supermarket, great range of foods. Warm your bank manager first. I always spend more than I intended haha",5,2 months ago
 ,5,2 months ago
 ,5,2 months ago
Smelly place but you can buy anything from the far East,4,2 months ago
"Price is sneaky - Price is hidden & Overpriced.

Apart from that, Most diversity product in China Town (even London)",2,2 months ago
