text,label,date
 ,3,14 hours ago
 ,4,20 hours ago
 ,4,22 hours ago
 ,4,a day ago
Good place for live music,4,a day ago
 ,4,a day ago
 ,4,a day ago
 ,5,2 days ago
I had bad experience about que mean SECURITY tack me out and I couldn't go inside,3,2 days ago
"I have never had such a disappointing visit to a bar in London.
Firstly the foreign girl behind the bar could not understand anything I ordered, three times I explained what I wanted and she then asked me to point out what it was on the …",1,2 days ago
Rude staff,2,2 days ago
"Good, lively place. Live music. Deafeningly loud. Rude security. OK if you are 17.",4,2 days ago
"You can drink, eat, dance, listen life music. What you need more to spend great evening.",5,2 days ago
 ,5,2 days ago
Super pub. Idéal pour regarder des matchs,5,2 days ago
 ,5,2 days ago
 ,5,2 days ago
 ,4,3 days ago
Fun place.,5,3 days ago
 ,5,3 days ago
 ,5,3 days ago
 ,3,3 days ago
Good place ar weekend,3,4 days ago
"(Translated by Google) It was very funny at Christmas

(Original)
Yılbaşında çok eglenceliydi",5,4 days ago
 ,4,4 days ago
 ,3,4 days ago
 ,3,5 days ago
 ,3,5 days ago
Great atmosphere,4,5 days ago
 ,5,5 days ago
Perfect for fighters...,2,5 days ago
 ,4,5 days ago
 ,4,5 days ago
 ,5,5 days ago
 ,4,6 days ago
"(Translated by Google) Excellent

(Original)
Excelent",5,6 days ago
Went one the way to the theatre,5,6 days ago
 ,5,6 days ago
"I enjoyed my experience. Was in town on holiday and wanted to watch some rugby. Found this spot. Glad I did, enough TVs wasnt to crowded. Service was very good. A bunch of beers on taps. Wings are different from the USA, not terrible. If in town I would say stop in. Not to pricey either.",4,6 days ago
 ,3,6 days ago
 ,2,6 days ago
Had a brilliant early evening drink here to celebrate my birthday. The door security guys were absolute gems. Thanks guys.,4,a week ago
 ,5,a week ago
 ,5,a week ago
 ,5,a week ago
 ,5,a week ago
 ,4,a week ago
"(Translated by Google) Great Pub with a great atmosphere!

(Original)
Super Pub avec une super ambiance !",5,a week ago
 ,3,a week ago
 ,5,a week ago
 ,4,a week ago
 ,4,a week ago
 ,4,a week ago
I think there was something wrong with the taps did not really like the extra cold Guinness,2,a week ago
 ,4,a week ago
 ,5,a week ago
Massive and 5 floors of bars splendid,5,a week ago
"I really enjoy this pub, good atmosphere and a nice break from the chaos of the city.",5,a week ago
 ,3,a week ago
 ,4,a week ago
 ,4,a week ago
 ,3,a week ago
Absolutely loved it. Great place to see matches.,5,a week ago
 ,4,a week ago
 ,4,a week ago
 ,5,a week ago
 ,1,a week ago
 ,4,a week ago
 ,3,a week ago
 ,5,a week ago
 ,5,a week ago
 ,3,a week ago
 ,5,a week ago
 ,4,a week ago
 ,3,a week ago
 ,5,2 weeks ago
 ,3,2 weeks ago
 ,4,2 weeks ago
 ,5,2 weeks ago
 ,5,2 weeks ago
"Bit sad really. Landed and wanted to put bags, coats in cloakroom. They charge £2 an item. Was short £1 out of £6 and they could  not out on a card. The ""manager"" could not add even a £1.45 bag of peanuts to the drinks bill to allow me to …",2,2 weeks ago
 ,4,2 weeks ago
 ,4,2 weeks ago
