text,label,date
음식도 맛있고 직원분들이링 사모님이 너무친절하셔서 잘먹고왔어요!! 소고기도 다맛있구 양념삼겹살이랑 양념치킨 너무맛있어용ㅎㅎㅎㅎㅎ,5,3 hours ago
얼마전에 친구들과 다녀왔는데 정말정말 좋았어요! 소고기랑 돼지고기 다 시켰는데 시킨 메뉴 모두 다 정말 맛있었고 알바생 분들도 친절했어요. kfc치킨도 같이 시키는 걸 추천 할게요 ㅎㅎ 그리고 양념 삼겹살은 꼭 소고기 드시고 난후에 시켜서 드셔보세요!,5,3 hours ago
 ,5,12 hours ago
 ,5,13 hours ago
"음식에 비해 비싼 가격은 런던 물가를 생각해서 이해한다고해도, 서비스 퀄리티에 대해서는 매우 실망했습니다. 자리에 앉아서 첫 주문했을때 매니저로 보이는 여자분이 와서 평일에는 2시간 밖에 시간을 사용할 수 없다고 안내를 받았는데 친구와 이야기를 하고 음식을 먹다보니 테이블에서 2시간이 조금 넘게 앉아 있었습니다. 아까 그 매니저분이 와서 다짜고짜 아무런 말도 없이 굽지 않고 남아있는 고기를 불판에 올려놓더군요. 황당했습니다. …",1,2 days ago
Nice,5,3 days ago
 ,4,3 days ago
 ,5,4 days ago
the best Korean BBQ in london. Always queuing. Highly recommend to book in advanced.,5,4 days ago
"Not the best service, food good but a bit overpriced. Experience overall was just ok.",3,6 days ago
 ,5,6 days ago
"(Translated by Google) Yummy

(Original)
อร่อยยยย",4,6 days ago
"Great quality meat, tables are really nice and the service is great. Would definitely recommend",5,a week ago
 ,5,a week ago
❤️💘❤️💘❤️ my favorite korean bbq place in london ❤️💘❤️💘❤️,5,a week ago
 ,5,a week ago
 ,4,a week ago
Very helpful staff to a new customer,4,a week ago
 ,5,a week ago
 ,5,a week ago
"We met with friends at this restaurant for dinner. my friend recommended this spot.  Well, it was very successful. The crew welcomed us with a smile and we had a great feeling. The food was just great. We loved this place a lot and we will definitely return to this restaurant. Keep it up.",5,2 weeks ago
"(Translated by Google) GÖTTINGER

(Original)
GÖTT",5,2 weeks ago
 ,5,2 weeks ago
authentic Korean food. Absolutely amazing! Service and atmosphere was great,5,2 weeks ago
"(Translated by Google) Very good Korean cuisine.

(Original)
Muy buena cocina koreana.",5,2 weeks ago
Made a reservation well ahead for 4 tonight for 6:30pm. Restaurant did not mention at all the reservation is only for 1.5 hour. We were informed about the next reservation around 10 min before the next group coming in. Although we …,2,2 weeks ago
You get to cook on a stone,4,2 weeks ago
"Amazing barbecue! I have eaten at many korean Barbecue restaurants in South Korea and Olle is just as good. I highly recommend the pork belly. The tofu and pork stew is also delicious. Service and ambiance is also exceptional. So if you're hunting for the best Korean bbq, you've found it!",5,3 weeks ago
very delicious and friendly staffs,5,3 weeks ago
"(Translated by Google) No, it's a corona uproar these days, and I've got the third UK confirmed, and in central London, do you wear masks for employees in Chinatown?
I already wear masks everywhere in Korea or China

Why not any of staffs …",1,3 weeks ago
"Very good quality cuts of meat. The best item out of their platter is king prawns; very fresh! One of the best prawn I've ever tasted. Very nice atmosphere with friendly staffs. Aside from delicious bbq, other Korean dishes are pretty average.",5,3 weeks ago
Loved the food. Great portions. Maybe a little too expensive but ok.,4,3 weeks ago
 ,5,3 weeks ago
 ,5,3 weeks ago
"I've been there two times and my main recommendation would be : do not wear fancy clothing here. You'll stink of bbq! 
If that's your signature scent, then go ahead and come at this place. For real they should propose a hanger or something. …",5,3 weeks ago
"It was fantastic! Olle is the best Korean restaurant i’ve  ever visited in London. I felt like i am in South Korea. If you are not sure what to order, please show this picture. It will be perfect choice to taste proper Korean food : )",5,3 weeks ago
"Amazing food!!! I am originally from Seoul so I know what it's authentic Korean food. Olle is proper place to taste Korean food in London. Highly recommend!! All meats for BBQ was fantastic!!! 
Was impressed with stylish plates and great service too. My friends and I enjoyed a lot!!!
Definitely go there again!!",5,3 weeks ago
"Good service and Good Korean BBQ, portions maybe could be a bit better. 
We ate the middle BBQ selection B for three people, a mixed kitchen starter and  bimbap. Overall lovely but the bbq selection culd have been a bit more.
Wine overpriced, we got the Bordeaux for c. £33",3,3 weeks ago
"It was really delicious! Next time I’ll try the BBQ, everything was fresh and delicious.",5,4 weeks ago
 ,5,4 weeks ago
"Really nice place, not expensive and nice staff. I'm specially grateful to the young blonde lady that took my bill, I'm not sure if her interest was genuine or not but very nice and helpfull. Best 10£ tips I've given, well deserved. Amazing food, recommend 100%",5,4 weeks ago
 ,5,4 weeks ago
Great Korean BBQ don't be afraid to drink the Suju,5,4 weeks ago
"(Translated by Google) Korean cuisine, good flavors and composition of spices. The restaurant is located in Chinatown in London.

(Original)
Kuchnia koreańska , dobre smaki i kompozycja przypraw . Restauracja znajduje się w Chinatown w Londynie .",4,a month ago
 ,5,a month ago
"(Translated by Google) The location is good, the food is delicious and the shop is beautiful!

(Original)
위치도 좋고 음식도 맛있고 가게도 예뻐요!",5,a month ago
"(Translated by Google) I'm tired. There is a reason why Son Heung-min comes every day.

(Original)
지립니다. 손흥민이 매일오는 이유가 있습니다.",5,a month ago
"(Translated by Google) I really enjoyed Korean food I missed in London.
The staff was very friendly and the food was really good

(Original)
런던영국와서 그리웠던 한식 정말 맛잇게 먹었어요
직원분들도 친절하시고 음식도 정말 맛있었어요",5,a month ago
"(Translated by Google) John Matt Tang is so delicious ~ Please come! London must eat! Staff friendly box! It's loud !!!

(Original)
존맛탱 JMT 너무 맛있어요~ 꼭 오세요!! 런던 필수 맛집! 직원 친절 갑! 크으 지린다!!!",5,a month ago
"(Translated by Google) The boss is kind and the meat seems to be comparable to that of Korean beef.
It's good to meet Son Heung Min when he comes.
If you hear often, you will meet someday.

(Original)
사장님이 친절하시고, 고기는 한국 웬만한 한우집과 버금가는듯합니다. 
손흥민 올때 딱 마주치면 좋으련만 ㅎㅎㅎ 
자주 들리다보면 언젠간 마주치겠죠 ㅋ 다음에 또 들리겠습니다~",5,a month ago
"(Translated by Google) It is very luxurious and delicious raw meat restaurant.It is strongly recommended ^^ We ate deliciously well

(Original)
아주 고급지고 맛있는 생고기집입니다.강력추천합니다^^맛있게 잘 먹었습니다",5,a month ago
really good~ thank you,5,a month ago
"(Translated by Google) BTS, Son Heung Min also went to restaurants
The meat is really delicious and I also recommend kimchi stew. It's really delicious.
It was great that most of the employees can understand Korean.
The restaurant you want …",5,a month ago
"(Translated by Google) Terrific Korean barbecue, it is recommended

(Original)
好棒的韩国烧烤，值得推荐",5,a month ago
"(Translated by Google) I wanted to eat Korean during my trip to London, but both the Korean boss and the serving person were Korean. Among them, a lady (?) Who served in the basement was really unkind.
And I was eating pork belly and liquor …",2,a month ago
"(Translated by Google) Really bad.
I went to Sohn Heung-min because it tastes like I don't have any identity.
I've eaten Korean food in many countries, but it's the worst.
I ordered 7 foods, and I ate a spoonful of them and were surprised …",1,a month ago
 ,2,a month ago
 ,5,a month ago
You have to try the grape soju,5,a month ago
"If you are craving for a proper korean bbq with quality Olle is a must visit. The ingredients are fresh, the food is amazing and authentic and the staff are helpful. The only downside is you'll smell of bbq afterwards (which is inevitable in bbq places)",5,a month ago
