text,label,date
 ,5,an hour ago
 ,4,a day ago
Delicious dumplings & lychee martinis! Highly recommend!,5,2 days ago
Tasty cocktails!,4,3 days ago
"Really fun cocktail bar, each cocktail was specially designed with a story and presentation.",5,3 days ago
"Was recommended this place by a colleague, quite hidden away and all the way upstairs but once inside, you feel very cosy. The music playing was 80s which was very different and nice (I'm an 80s-90s kid). It does remind me of japanese restaurants which are hidden away all the way upstairs via narrow stairs. The cocktails were nice.",4,3 days ago
 ,5,3 days ago
The quality of the cocktails reflects this. So I do feel that when it comes to the drinks you kind of get what you pay for.,4,4 days ago
"Great cocktails, super friendly staff and a great atmosphere!",5,4 days ago
 ,3,4 days ago
"Great mocktails, the staff were very friendly and the atmosphere was great. The music was just the right volume so you could have a conversation without having to shout, which was a nice change from most other places I have been to.",5,5 days ago
 ,5,5 days ago
 ,4,5 days ago
 ,5,6 days ago
 ,5,6 days ago
 ,5,6 days ago
 ,5,a week ago
 ,5,a week ago
Love the drinks! Old school but new,5,a week ago
 ,5,a week ago
There are a lot of stairs but the food and ambiance are well worth it.,4,a week ago
 ,5,2 weeks ago
Lovely little hideaway,5,2 weeks ago
 ,5,2 weeks ago
Look for the Green door next to the dim sum restaurant and prepare to be amazed.,5,2 weeks ago
Lovely in every aspect,5,2 weeks ago
 ,5,2 weeks ago
"A bit expensive but it was well worth it. No pictures as we were too busy enjoying the music, the ambiance and the delicious cocktails. There are quite a lot of fancy cocktail bars at the moment that have cool gimmicks but here they also tasted delicious. Highly recommend this place, but maybe after payday.",5,2 weeks ago
Wonderful cocktails and atmosphere. Dim sum not filling. Needed McDonald's on way home 😀,5,3 weeks ago
"(Translated by Google) Solid

(Original)
Solidno",4,3 weeks ago
 ,5,3 weeks ago
 ,2,3 weeks ago
 ,5,3 weeks ago
 ,5,3 weeks ago
 ,5,3 weeks ago
 ,5,a month ago
"Great dumplings and great atmosphere. A nice spot for a date with someone special, or a catch-up with good friends.",5,a month ago
 ,5,a month ago
 ,5,a month ago
"(Translated by Google) The best Din sum I've tried. Good cocktails and at a good price.

(Original)
Los mejores Din sum que he probado. Buenos cócteles y a buen precio.",4,a month ago
The doorman was immediately rude and aggressive. I have no idea how he managed to conjure up such nastiness so quickly. We were two sober people and all we did was politely ask to come in. He looked at us as if we'd asked a ridiculous …,1,a month ago
 ,4,a month ago
 ,5,a month ago
"(Translated by Google) An unexpected speakeasy

(Original)
Uno speakeasy inaspettato",5,a month ago
 ,4,a month ago
 ,4,a month ago
 ,3,a month ago
 ,5,a month ago
 ,4,a month ago
Pretty niche,4,a month ago
"An amazing bar. 

We visited on New year's Eve, at around 7pm. We'd booked in advance, but the area we sat in was pretty quiet. 

We were a group of 10 and ordered a few drinks each - uniformly great cocktails and a super friendly set of bartenders and servers. 

I'd heartily recommend it.",5,a month ago
Meh cocktails,3,a month ago
 ,5,a month ago
 ,1,a month ago
Lovely hidden bar with relaxed atmosphere. Perfect for a nice date or pre/post dinner cocktail.,5,a month ago
 ,5,a month ago
 ,3,a month ago
 ,5,a month ago
 ,5,a month ago
"(Translated by Google) What about Marco .... Very competent and professional guy .... In a word ... BEAUTIFUL ...! See you soon .... ❤️

(Original)
Che dire di Marco.... Ragazzo molto competente e professionale.... In una parola... SPLENDIDO...! A presto.... ❤️",5,a month ago
"(Translated by Google) Wonderful place !

(Original)
Magnifique endroit !",5,a month ago
 ,4,a month ago
Pricey but calm in the middle of hectic China town. Could do with a better decor.,4,a month ago
 ,4,a month ago
 ,4,a month ago
Secret bar up lots of stairs. Ideal for a romantic drink. I hope to have one like that one day.,5,a month ago
 ,5,a month ago
 ,4,a month ago
 ,5,a month ago
We were lucky to get in and loved the cocktails. Next time I can’t wait to try the Dim Sum which looked great!,5,a month ago
 ,5,2 months ago
"Awfully customer service, door man extremely rude. 
Simple asked how long the wait would be for 4 of us as it was raining. Doorman said we were being ""mouthy"" which is impressive for us only being there 2 minutes.  When we asked to speak to the manager he refused. Very disappointed as we were excited to go here.",1,2 months ago
 ,5,2 months ago
 ,5,2 months ago
 ,4,2 months ago
 ,4,2 months ago
Great time after hiurs,4,2 months ago
 ,5,2 months ago
Don’t go unless you love to be treated very rudely outside the door. Much better places for cocktails in London and treating people with much more respect for the same price.,1,2 months ago
"Like a secret haven, this cocktail bar is truly magical. From the interesting decor, to the friendly ambiance, to our fantastic Czech bartender - the experience was perfect for late night drinks. I'll be sure to try out the food menu next …",5,2 months ago
