text,label,date
Great food and lovely service.,4,a day ago
態度惡劣！在只有3度的情況下，要抱住BB在外等，餐廳內是有空枱下，係好無道理，唔想做優惠就不要做！永遠不再光顧！,1,a day ago
"Big up Kenny, love this place ! Excellent food and great service.",5,a day ago
Superb dim sum and hot and sour soup.,5,a day ago
 ,4,2 days ago
"(Translated by Google) It is a scam, we asked for a menu for two and they brought us a menu and they charged us a menu for two, I do not recommend there are better options in London's Chinatown, not these scammers.

(Original)
Es una estafa …",1,a week ago
 ,4,a week ago
 ,5,a week ago
 ,5,2 weeks ago
Serve some of the best Dim Sum in London. Love it,5,2 weeks ago
Great atmosphere and the food was great. Polite staff. Could have slightly dimmed the lights in the evening. Busy on Saturday and food came out really at a good pace and no long waits.,4,2 weeks ago
 ,4,2 weeks ago
"(Translated by Google) Very good food, the best of chinatown, slightly high prices

(Original)
La comida muy buena, de lo mejor de chinatown, los precios ligeramente elevados",4,2 weeks ago
Huge portions that hits the spot,4,3 weeks ago
 ,2,3 weeks ago
 ,5,3 weeks ago
 ,3,3 weeks ago
"(Translated by Google) Delicious eaten

(Original)
Heerlijk gegeten",4,3 weeks ago
Dimsum ok. Cheung Fen too thick. Excellent siumai. Average overall.,4,3 weeks ago
"Great food, great service and reasonably priced",5,3 weeks ago
 ,5,4 weeks ago
"Really good dim sum for very good prices, service is speedy and I enjoyed the free tea refills. The place is well decorated and clean. Recommend the custard buns, they are amazing.",5,4 weeks ago
Their dim sum are really good,5,a month ago
Wooow! Their Pekín duck crepes are AMAZING. Overall all the food was pretty tasty and good. But for sure the dish I loved the most was their Pekin duck crepes. If you come here don’t forget to try them. The only thing was that their staff …,4,a month ago
The service is remarkable!,4,a month ago
 ,5,a month ago
"Wonderful food, excellent service, the staff had no issue when we asked for some time between courses. Definitely worth a visit.",5,a month ago
 ,5,a month ago
I visited this establishment whilst on business with a friend on Tuesday night. I must say from the start the experience really was first class. Owing to flight arrival time we were not at the restaurant until well after 10pm but the staff …,5,a month ago
 ,4,a month ago
 ,5,a month ago
 ,4,a month ago
"Good food, nice and helpful staff.",5,a month ago
Foods are excellent,5,a month ago
 ,4,a month ago
 ,4,a month ago
Real Chinese food,5,a month ago
 ,3,a month ago
 ,4,a month ago
 ,3,a month ago
 ,1,a month ago
"Great decor and affordable prices, but the dim sum was a bit greasy.",4,a month ago
 ,4,a month ago
"(Translated by Google) Really disappointed. Braised duck not bad but the vegetables with it are not terrible and the sauce is bland.
The waiters clear up before they're done.
Finally the price is really expensive for what it is!
You might …",1,a month ago
 ,4,a month ago
 ,4,a month ago
 ,4,a month ago
 ,4,a month ago
Food was out of the world,5,a month ago
 ,4,a month ago
"My favourite chinese restaurant in London - previously called “jade garden”. Dim sum menu is extensive. Only 3 dishes are vegan  - so it can feel rather tedious. 

The service is super fast- the servers are helpful. The bathroom is very …",5,a month ago
 ,5,a month ago
 ,4,a month ago
 ,5,a month ago
"(Translated by Google) so-so. The shop is beautiful and the waitresses feel good working well.
The price is also reasonable.
Small basket wrapper, spring roll, baked goods, stir-fried spinach, flat noodle udon noodles, beer ✖️ 2
TTL £ 45 …",4,a month ago
 ,4,a month ago
RIP off,2,a month ago
"Rapid service, good food and nice staff",4,2 months ago
"We arrived on Friday at the end of dim sum time and we were forced to order within 5 minutes as they were ''finishing'' with that menu. On a bill of 80 GBP, we decided not to pay the gratuity that they put in bill as we were clearly not …",1,2 months ago
Used to be jade garden london. Change to orient london now but dinsum are still good especially noodle with king prawn,5,2 months ago
