text,label,date
 ,3,3 days ago
"(Translated by Google) London is better than Hoi An's gourmet restaurant (natural price is London)

(Original)
호이안의 분짜맛집 보다 런던이 맛있네요(당연히 가격은 런던이 셈)",5,5 days ago
Delicious pho,5,5 days ago
"Best pho in London, great atmosphere and very friendly staff",5,6 days ago
 ,4,6 days ago
 ,5,a week ago
"I wouldn’t say the food was authentic though it seemed that the staff were Vietnamese. Food was ok but not true to the taste one can get in Vietnam. Regarding the classic raw beef soup noodle, the soup tasted alright, but the beef was quite …",3,a week ago
"A stunning meal!

Had veggie spring rolls, prawn and mango salad, prawn special spring rolls and salt n pepper squid was all on point. So fresh and flavorful. Light and very satisfying. 

For mains we had bbq pork buns - which was some of …",5,a week ago
 ,5,a week ago
Really great atmosphere and food and the staff are incredibly friendly. We had the special platter for starter and pork belly bao burgers and the grilled bananas for dessert and a few cocktails and couldn't fault any of it. Definitely would recommend!,5,a week ago
"Really Nice food and staff. Got the platter for starters and the waitress was very helpful, telling us what was what and what sauce was best with each. Also had some of the bao burgers which were very tasty. This was finished by the peanut brittle and banana ice cream which was also great. Would definitely recommend people check it out.",5,a week ago
 ,5,a week ago
"Truly splendid pho, the stock is delicious. Portions are generous, stick to just one starter so you can fully enjoy your pho. If you're having a bao burger you might be okay ordering more!",5,a week ago
"(Translated by Google) Very good food. Pleasant atmosphere. Friendly staff. Highly recommended.

(Original)
Sehr gutes Essen. Angenehme Atmosphäre. Freundliches Personal. Sehr empfehlenswert.",5,2 weeks ago
"Will be back again, and again, and again.",5,2 weeks ago
Food is so good but the wine is expensive for the tiny amount given ..,4,2 weeks ago
 ,5,2 weeks ago
 ,4,2 weeks ago
"(Translated by Google) Proper Food Taste and Atmosphere

(Original)
적절한 음식의 맛과 분위기",5,2 weeks ago
 ,5,3 weeks ago
"Food was very average. I had the lemongrass tofu burger. The Tofu is tasteless and does not really go well with the salad. The sweet potatoe fries were good. Music was loud, waiter was nice",3,3 weeks ago
 ,4,3 weeks ago
 ,5,3 weeks ago
 ,5,3 weeks ago
Best Pho I've had since actually eating it in Vietnam 5 years ago.,5,3 weeks ago
Lunch here was the best!,5,3 weeks ago
Amazing food! We visited for dinner and had to queue for 10 or so minutes but boy was it worth it. Every dish was delicious and service was fast and friendly. Will be returning.,5,3 weeks ago
The food was excellent! it was so busy however Pedro looked after us and made us feel really special on my wife's birthday so thank you.,5,3 weeks ago
"(Translated by Google) The beef soup and rice noodles are delicious. The soup is sweet and the beef is tender and tender. If the soup is hotter, it will be more perfect! In winter, the heating is very strong and the service is good.

(Original)
牛肉湯河粉好吃，湯頭鮮甜、牛肉軟嫩，若湯再熱一點就更完美了！冬天裡面暖氣開很強，服務不錯。",4,3 weeks ago
 ,5,3 weeks ago
Great Pho - Great Value! Quickly has become a regular stop for me when in London.,5,4 weeks ago
 ,5,4 weeks ago
Nice food and service. Set lunch meal £9.95 for an appetizer and main is the best value lunch during my short trip in London,4,4 weeks ago
The food here is delicious but it’s a little tight in space. A woman at the table next to me knocked her glass of water and I ended up with a soaking wet leg. Staff could also be a little more attentive - it was difficult to get another drink and ask for the bill. 10/10 for food though,4,a month ago
 ,5,a month ago
"Hot, tasty pho. I asked for no coriander and they did as requested. Their cold Vietnamese drip coffee was super tasty. Uses lemon instead of lime in the pho which is unusual. The sweet potato veggie curry is delicious!",5,a month ago
 ,5,a month ago
 ,3,a month ago
 ,4,a month ago
Tiny little restaurant but absolutely lovely food.,5,a month ago
"Really good food, fast service. Great value for money. Very impressed.",5,a month ago
 ,5,a month ago
Best pho in London!,5,a month ago
"My girlfriend and i come from an area with a large ethnic group, and have become accustomed to diverse high quality food. When we moved about 3 months ago, we looked for places that were similar, but couldn't find a good pho place. Pho & …",5,a month ago
"I never expected to find such amazing food right on Shaftesbury Avenue. Blown away by the quality of the Chilli Squid and BBQ Pork Pho Bun especially,  definitely going back",5,a month ago
