text,label,date
"(Translated by Google) Excellent, very friendly staff

(Original)
Excellent,personnel très sympathique",5,an hour ago
 ,4,3 hours ago
"Expensive, gorgeous roast duck, tasty dumplings.",4,2 days ago
 ,5,2 days ago
Love the crispy duck breast!,4,6 days ago
 ,5,6 days ago
 ,5,a week ago
"Food was utterly delicious, a wet walk around London culminating in finding this little hidden gem! I could not recommend enough! Amazing",5,a week ago
 ,1,a week ago
 ,4,2 weeks ago
Dim Sum - superb. Plus the noodles (110 on the menu) I recommend to anyone,5,2 weeks ago
 ,4,3 weeks ago
 ,5,3 weeks ago
Great Singapore Noodles,4,3 weeks ago
 ,5,3 weeks ago
 ,4,3 weeks ago
Looks nice but tastes awful. Never go again. There are so many better chinese restaurants in China town. Wanted to try a new restaurant today but it turned out a big mistake. Disappointing.,1,4 weeks ago
"Absolutely loved it, looking forward to my next visit.",5,4 weeks ago
 ,3,4 weeks ago
"Perfect for lunch. Tasty dumplings in a huge selection. Colorful doughs with juicy fillings. The shrimp rice cake crepe is also great. 
Fresh jasmin tea is served in pretty teapots. 
Lunch is quite cheap but dinner is pricey. 
Friendly and attentive staff - recommend this place! :-)",5,a month ago
 ,4,a month ago
Top notch dim sum.,5,a month ago
Lovely food and good service.,4,a month ago
"(Translated by Google) Restaurant in the heart of Chinatown with a variety of Asian dishes

(Original)
Restaurant au cœur de Chinatown avec un vaste choix de plats asiatiques",3,a month ago
Superb dim sum and dumplings in London's China town. Would make it my favourite place to eat if I lived in London,5,a month ago
 ,1,a month ago
"Terrible food and terrible service, even for China town low standards",1,a month ago
 ,5,a month ago
 ,5,a month ago
"Cheap and so full. 
Dim sum is one of my favourite food!
If I can, I want to order 10 plate of dim sum.
daily Lunch is between 12pm and 5pm.
So better to go before 5pm. If you are group, booking is better. 
The prawn dim sum with special sou sauce, IT IS THE BEST EVER!!!!",4,a month ago
 ,4,a month ago
 ,4,a month ago
 ,4,a month ago
 ,3,a month ago
"Food was delicious, friendly staff",5,a month ago
 ,5,a month ago
Great dim sums and baos!,5,a month ago
 ,4,a month ago
"Amazing staff, really nice food that was cooked well. The menu has a good variety with some interesting dishes if you really like sea food. If you like cold tiger beer you have to ask them or you get the warm bottles at the front of the chiller",5,a month ago
Good chinese food at reasonable prices. Service was also excellent.,5,a month ago
I keep coming for their dim-sums and I haven't been to other places since I've discovered them. I think their lunch and dinner Dim Sum Menus are priced differently. The lunch one is super amazing value (full belly and under £35 for 2) and …,5,a month ago
Beautiful Malaysian/Chinese cuisine and great dining experience,5,a month ago
"The best dim sum in Chinatown! Tastes really good for a good price, and the staff are really kind. If you order a lot or too little they'll let you know, especially if they can tell you're inexperienced with dim sum. I've taken many friends here for lunch. I haven't ordered from the main menu though, so I'm not sure how it is.",5,a month ago
"Lovely swanky restaurant, relaxed ambiance, very attentive waiters and waitresses and very quick to rectify any issue. Thank you so much for a lovely evening 😊",5,a month ago
The average price of the dishes ware 1-2 pounds highe4 than other Chinese places in China town. But the price is very reasonable and all the foods were amazing. Strongly recommend,5,a month ago
"(Translated by Google) The dim sum is so delicious! Shomai was so delicious that I went there twice and packed! Everyone is very kind and please enjoy Shomai !!!!

(Original)
딤섬 너무너무너무 맛있어요! 쇼마이 너무 맛있어서 두번이나 가서 포장했습니다! 다들 친절하시고 쇼마이 꼭꼭 드세요!!!!",5,a month ago
A bit pricy than it used to be. Great eating in London's China Town nonetheless!,5,a month ago
 ,4,a month ago
"(Translated by Google) A little worse than last time, a little too expensive

(Original)
Lite sämre än förra gången, lite för dyrt",3,a month ago
 ,5,a month ago
Dim sum was excellent. Definately going back.,3,a month ago
 ,2,a month ago
Amazing..great place,5,a month ago
 ,3,a month ago
"Great service, delicious dim sum!",5,a month ago
"The food here is amazing! Everything was bursting with delicious flavours. The price was decent too, so we're the portion size too. If you haven't been, then definitely go! I know I will be visiting again 😍",5,a month ago
Their dumplings are out of this world! The crispy duck was delicious. And they had a variety of dishes to choose from (almost too many). The service staff were efficient and polite. The interior is more upmarket than that of most other …,5,a month ago
 ,5,a month ago
 ,5,a month ago
 ,5,a month ago
Amazing food and karaoke,5,a month ago
 ,2,a month ago
 ,5,a month ago
"The place is clean, service is gread and the food is amazing. Highly recommended",5,a month ago
 ,5,a month ago
"Food was good, including vegetarian option. Service was okay. Bit expensive.",3,a month ago
Horrible services,1,a month ago
 ,5,a month ago
Terriable service,1,a month ago
 ,4,a month ago
 ,2,a month ago
Really nice dim sum for a reasonable price in central London,5,a month ago
 ,3,a month ago
"Used to be my favourite dim sum place. Visit here in the recent years, just felt the dim sum quality going down hill. Not worth paying for that price. We often offered seats downstairs which is bit dim. I did not enjoy my last two visit and …",2,a month ago
"The food was good, but slightly overpriced and the service could be slightly improved..",4,a month ago
 ,5,2 months ago
I've been recently to plum valley with few friends on Sunday to have a lovely dim sum lunch. The food was delicious and the atmosphere was great. One of the best Chinese restaurant in Gerrard Street.,5,2 months ago
"(Translated by Google) I thought I couldn't eat much because I was alone and ordered fried rice. The fried rice stuffed into a bowl like a shrimp, the shrimp are small and the seasoning is fuzzy. Honestly it wasn't delicious at all. When …",1,2 months ago
 ,5,2 months ago
 ,5,2 months ago
