text,label,date
I really wanted to love this place. The reviews sounded great and so did the menu. I had the wonton soup for starter which was nicely delicately flavoured. My dining partner had the pickled vegetables... They were informed that none of the …,2,3 hours ago
Lovely place and very nice food. Excellent customers service buy every one and specially Alien.  Would love to go back and recommend it to every one to try. Thank you Rasa Sayang,5,4 days ago
 ,5,6 days ago
We had lunch here today based on recommendations from a number of friends who know what to expect from good Malay food. To put this in perspective - you wouldn’t go to Italy if you wanted to eat good Japanese food but when you live in …,4,6 days ago
"Rasa Sayang is currently at its temporary home on Frith Street while the restaurant on Macclesfield street is under refurbishment.

The food and ambience are as wonderful as ever. As always my favourite, the Beef Rendang is wonderful (one …",5,a week ago
 ,3,a week ago
 ,5,a week ago
Ok for quick meal desi,2,a week ago
Racist and rude,1,a week ago
 ,5,a week ago
Probably the best crossover restaurant ever,5,2 weeks ago
Wanted to try the laksa but unfortunately it was sold out so we ordered the beef rendang. It was delicious and not too pricey. I miss home!,5,2 weeks ago
"🥘Food is good. Service is good. Price is Okey to be a bit pricy as it is in China Town. The awkward thing is the way they put table for customers. If you order more than 2 dishes, definitely you will be struggling for spacing. And the tables are very closed each other and felt uncomfortable for customers.",4,2 weeks ago
"(Translated by Google) The truth is it was a discovery! We discovered it by chance while we looked for a place to eat well and that was affordable and the truth is that we were impressed.

The service is excellent. There were people waiting …",4,2 weeks ago
 ,5,2 weeks ago
Nice malaysian food,4,2 weeks ago
Great value and delicious food,5,2 weeks ago
 ,4,2 weeks ago
"We had the Nasi Goreng with Chicken Wings, the Prawn Fried Chicken, and the Chicken Rendang. Most of the items came out of the microwave and tasted like they were either very old or had been reheated many times. The chicken was dry, tough, …",1,3 weeks ago
One of my favorite places to eat in London. They are quick and efficient with their service.,5,3 weeks ago
Always wanted to try this place out and finally had a chance. The Nasi Lemak was creamy and delicious. The Hainan chicken rice was flavourful. I wasn't disappointed at all.,4,3 weeks ago
"My humble opinion on their Malaysia food is just an average. It is not bad but not as delicious as the review by others. In term of their service wise, can be improved better because of their staff comes across less friendly and a bit fierce. 
To sum up, this restaurant is a bit over-rated.",3,a month ago
 ,4,a month ago
 ,3,a month ago
"Cafe style restaurant, fantastic food, good service, great mocktails !",5,a month ago
It's fine but really singapore raffles laksa😅. And seriously fried chicken with lor new err wattt,4,a month ago
 ,5,a month ago
 ,5,a month ago
"Outstanding service and very tasty food.
BUT I order laksa when food coming is it warm and ingredients was freezing like just take out from fridge.after I request for microwave service.😅",3,a month ago
 ,5,a month ago
 ,3,a month ago
 ,5,a month ago
 ,5,a month ago
Delicious roti. Not enough canai,4,a month ago
"Good food, good service. Very small and tight space. Especially if you are going with 4+ people",4,a month ago
It's not that easy to find great Malaysian food in London - this is the best I've had here so far.,5,a month ago
The food was amazing. It was served in huge portions with reasonable prices. The customer service was quick too and they can accomodate huge families too as they are a 2 floors restuarants. Food taste near to authentic and definitely would love to come here again if stop by in London.,5,a month ago
"(Translated by Google) Authentic malaysian and singaporean food. Recommend Laksa and Bread Canai!

(Original)
Authentic malaysian and singaporean food. Recommend Laksa  and Roti Canai!",5,a month ago
"Great food, great service, little cramped and the alcove we were sat in was a little low ceilinged (my fault for being too tall though). Will go back...!",4,a month ago
Really good Asian restaurant with a wide array of delicious Asian dishes that are freshly cooked and served with the best ingredients and with the help of a very friendly and professional staff as well.,4,a month ago
 ,5,a month ago
"First time trying Malaysian food. As I was unfamiliar with their cuisine, I decided to order from the set menu. Unfortunately, I don’t remember what I ordered, nor do I have a photo. But I enjoyed it - despite it being very spicy for me to …",4,a month ago
"Delicious. Crispy roti, great prawn gravy mee. Carrot cake on point. 👌",5,a month ago
"Really good, the staff is really nice !",4,a month ago
 ,4,a month ago
 ,4,a month ago
 ,2,a month ago
 ,4,a month ago
Friendly workers and the portion was generous however the food lack taste and its quite blend.,2,a month ago
Very slow service. Took me one hour to get my food!,1,a month ago
"(Translated by Google) Feast of tangy nasi lang and naughty noodle

(Original)
탄맛나는 나시고랭과 집을 수 없는 누들의 향연",2,a month ago
Price expensive n the food was ok2,3,a month ago
 ,2,a month ago
 ,3,a month ago
 ,5,a month ago
 ,5,2 months ago
Always love this place.,5,2 months ago
 ,4,2 months ago
"Came here 2 years ago for the first time and now it’s my usual go to in SOHO. If you want nice homely feeling and belly full food, this is the spot you need to go to.

Chicken Satay was nicely made, melts in your mouth, slightly under …",5,2 months ago
"Malaysian food! Halal! And scrumptious Chicken Rice ❤️❤️❤️ 
What more can you ask for? 🤤🤤🤤",5,2 months ago
