text,label,date
"Amazing place for bingsu dessert, I have had all flavors except for oreo as I don't like to indulge in chocolate. Best bingsu ever.",5,2 days ago
 ,5,5 days ago
"(Translated by Google) Restaurants ...

(Original)
Restorante...",5,a week ago
 ,5,2 weeks ago
 ,4,2 weeks ago
 ,5,2 weeks ago
The shaved ice xuebing is great as always. What a nice place for desserts or afternoon drinks.,5,2 weeks ago
 ,5,2 weeks ago
"Shaved iced Bingsoo is nice, place a little small but overall great.",5,3 weeks ago
 ,5,4 weeks ago
 ,4,4 weeks ago
 ,5,4 weeks ago
 ,5,a month ago
"love the Bingsu here
the espresso bingsu is stunning would have given this place 4 stars but unfortunately they always run out of the espresso bingsu! have not had one in my last 3 visits😭😭",3,a month ago
 ,5,a month ago
Dirty place with very rude waitress who spilt condensed milk all over the floor and me! Didn’t apologise or even mop up the floor. Would not recommend.,1,a month ago
 ,3,a month ago
Amazing strawberry shaved ice (Bing),5,a month ago
 ,5,a month ago
 ,4,a month ago
"(Translated by Google) The shaved ice was delicious, but the omelet was gekimas. Omurice sauce was desperately sweet!

(Original)
かき氷は美味しかったけど、オムライスはゲキマズ。オムライスのソースが絶望的に甘かった！",3,a month ago
"(Translated by Google) Nothing exceptional. Many go only for the veiled which is very particular ... practically a snowball with some chosen topics added

(Original)
Niente di eccezionale. Molti vanno solo per il velato che è molto particolare...praticamente una palla di neve con aggiunti alcuni topics a scelta",2,a month ago
Delicious dessert,4,a month ago
"Had sushi meal & bingsu down the stairs after waiting in the line for half an hour, had diarrhea for weeks from the food. The morning after the night I ate at this place I had nausea and had to puke. I use to go to this place a lot but …",1,a month ago
 ,5,a month ago
"(Translated by Google) The food was too slow. After waiting for half an hour, other people said that my dishes were served to others. It would take another ten minutes or so for everyone else to finish. My dishes were served. The service …",1,a month ago
 ,4,a month ago
"Ichigo bing, came here for dessert and was delicious. Will be coming here again during summer. Was a bit disappointed a chef wasnt available to prepare parts of the menu but this dessert was very good",4,a month ago
 ,5,a month ago
"Excellent Japanese/Korean place for dessert, the shaved ice (soya flavour) and the macha roll is so yummy! Its not too sweet and feels very light. I would recommend this place!",4,a month ago
 ,5,a month ago
"Minimal restaurant with short menu, most known for its desserts named ""bing"" is like eating a snowball city flavoured topping (unexpectedly delicious, a super for my mouth).
But there are also small appetizers, complete dishes for a full …",5,a month ago
 ,2,a month ago
Good service but the most average sushi I have ever had:(,2,a month ago
The perfect lunch break during our excursions around London.,5,a month ago
Cosy & good service,5,a month ago
"(Translated by Google) Excellent restaurant, we have been several times, I can recommend.

(Original)
Výborná restaurace, byli jsme už několikrát, mohu doporučit.",5,a month ago
Very good place. Nice food,5,2 months ago
Absolutely a must visit place in Soho. Watch my video on YouTube . SOHO LONDON MOMINNZ,5,2 months ago
 ,3,2 months ago
