text,label,date
 ,5,9 hours ago
 ,4,2 days ago
 ,3,a week ago
 ,4,a week ago
 ,4,a week ago
 ,5,2 weeks ago
 ,4,2 weeks ago
 ,4,3 weeks ago
 ,4,4 weeks ago
"(Translated by Google) Very good, cheap stuff, fresh food, good quality stuff.

(Original)
很好，东西便宜，食品新鲜，东西质量好。",5,4 weeks ago
 ,4,4 weeks ago
 ,5,a month ago
"Came home to see items out of date. Either lazy or deceptive. It's not popular, it's just cramped and narrow with a slow check out.",2,a month ago
I'm so happy with service x,5,a month ago
One of the most comprehensive range of Asian food suppliers.  You may find everything you need for preparation of your Asian dishes. Expect long queue at peak hours.,4,a month ago
great choice,4,a month ago
 ,5,a month ago
 ,5,a month ago
 ,4,a month ago
 ,3,a month ago
 ,2,a month ago
Good place,5,a month ago
Whole sale vegetables and food ingredients have been sale here. Do not come alone. It is much cheaper to share with your friends.,5,a month ago
 ,5,a month ago
 ,5,a month ago
 ,4,a month ago
 ,4,a month ago
 ,1,a month ago
 ,5,a month ago
 ,4,a month ago
 ,4,2 months ago
 ,4,2 months ago
 ,4,2 months ago
 ,4,2 months ago
 ,4,2 months ago
 ,4,2 months ago
 ,5,2 months ago
 ,4,2 months ago
 ,4,3 months ago
Great fresh fish,5,3 months ago
