text,label,date
 ,5,4 hours ago
 ,5,5 hours ago
 ,5,6 hours ago
It was nice fast service although was very busy perfect for late dinner as not much restaurants opens there in this quality,4,6 hours ago
 ,5,9 hours ago
 ,5,10 hours ago
Loooove the burger...tasty,5,20 hours ago
 ,5,a day ago
 ,5,a day ago
Nothing special. Expensive fast food but expected because of the location,3,a day ago
 ,5,a day ago
 ,5,a day ago
 ,4,a day ago
 ,5,a day ago
Tasty food long que ..,5,2 days ago
"Service is decent and you are served quickly regardless of it being busy. Food tasted good , just need more of a halal menu in this branch like the one in Dubai. Currently oy the chicken burger is halal. Please dont be put off at the size of the burger as they are very filling and worth the money.",4,2 days ago
 ,5,2 days ago
Pour une première fois agréablement surprise à refaire très sympa,4,2 days ago
 ,3,3 days ago
 ,5,3 days ago
 ,5,3 days ago
"(Translated by Google) The myth of hamburgers, also vegetarian

(Original)
Il.mito degli hamburger,  anche vegetariani",4,3 days ago
 ,4,3 days ago
 ,4,3 days ago
 ,4,3 days ago
 ,2,3 days ago
 ,5,3 days ago
 ,5,3 days ago
"(Translated by Google) Very pleasant and smiling waiters, extremely fast service! The simple burger is not very big in size but it still fills the stomach well. Cheddar fries are also very good.

(Original)
Serveurs très agréables et …",5,3 days ago
 ,4,4 days ago
 ,5,4 days ago
 ,5,4 days ago
 ,5,4 days ago
 ,5,4 days ago
 ,5,5 days ago
 ,4,5 days ago
"First time I had been to a Shake Shack after being recommend by a friend. 
The service was great. The burger and shake were great. But the look warm chips really let the meal down.",4,5 days ago
 ,4,5 days ago
Godd,4,5 days ago
 ,2,5 days ago
"I've had shake shack before and can't really fault the burgers at all, they're really good and quite filling. I will say though they've changed their chips they used to be chuckier but the ones they have now just don't quite hit the spot. …",4,5 days ago
 ,4,5 days ago
 ,4,6 days ago
One of the best hamburgers on the planet,5,6 days ago
 ,4,a week ago
Quite expensive for the quality,4,a week ago
 ,5,a week ago
 ,4,a week ago
 ,5,a week ago
 ,5,a week ago
"(Translated by Google) It was very busy here so we had to wait for a place, the food was enormously expensive and it was very little, but the featured shakes are tasty

(Original)
Het was hier heel erg druk dus we moesten wachten voor een plek, het eten was enorm duur en het was zeer weinig, maar het de featured shakes zijn wel lekker",2,a week ago
 ,4,a week ago
Not many places to sit but good food,4,a week ago
 ,5,a week ago
 ,5,a week ago
 ,4,a week ago
 ,5,a week ago
 ,5,a week ago
 ,4,a week ago
 ,5,a week ago
 ,3,a week ago
 ,4,a week ago
 ,5,a week ago
 ,5,a week ago
 ,4,a week ago
 ,4,a week ago
 ,4,a week ago
 ,4,a week ago
very nice service! thank you!,5,a week ago
Burgers are just phenomenal 😍 fries are great and the lemonade is super,5,a week ago
 ,4,a week ago
"(Translated by Google) Effe eaten quickly.

(Original)
Effe snel gegeten.",4,a week ago
 ,4,a week ago
 ,5,a week ago
Just a burger...,3,a week ago
 ,3,a week ago
"(Translated by Google) Delicious burgers ... but small. 2 would have been perfect 😁👌🏼

(Original)
Burgers délicieux... Mais petits. 2 aurait été parfait 😁👌🏼",5,a week ago
 ,4,a week ago
 ,5,a week ago
"Delicious, crowded (in a nice way unless you hate being around people), and an awesome location.",5,a week ago
"Smart excellent cheeseburger and vanilla shake!
Always copied never surpassed",5,a week ago
 ,4,a week ago
 ,5,a week ago
 ,5,a week ago
 ,5,a week ago
Worst branch which i visited.,1,a week ago
 ,5,2 weeks ago
 ,1,2 weeks ago
Good place,5,2 weeks ago
 ,3,2 weeks ago
 ,4,2 weeks ago
 ,4,2 weeks ago
 ,4,2 weeks ago
"(Translated by Google) Normal basic service

(Original)
Normal servicio basico",5,2 weeks ago
"(Translated by Google) I've eaten for the first time in England. It is delicious. The milk shake was really touching

(Original)
쉑쉑을 영국에서 처음 먹어봤어요. 과연 맛있습니다. 밀크쉐이크가 진짜 감동적이었어요..",4,2 weeks ago
"(Translated by Google) Often very crowded, burgers ok, not as good as in the US.

(Original)
Häufig sehr voll, Burger ok, nicht so gut wie in den USA.",3,2 weeks ago
Very beatiful and the meal delicious,4,2 weeks ago
 ,5,2 weeks ago
Great place 😉🤗,5,2 weeks ago
 ,3,2 weeks ago
"(Translated by Google) I think the hamburger was salty and tasteless

(Original)
햄버거가 짜고 맛이없었던 것 같아요",3,2 weeks ago
Shake Shack never disappoints!,5,2 weeks ago
 ,4,2 weeks ago
"(Translated by Google) Delicious sandwiches, but in my opinion their specialty is potatoes, made there on the spot.

(Original)
Panini buonissimi , ma secondo me la loro specialità sono le patate, fatte lì sul momento .",5,2 weeks ago
"Friendly service and a good ordering system allowing you to get settled at a table ready for your food.  Very tasty chicken and (mu)shroom burgers and the garlic mayo fries are excellent.  A good selection of beverages with, or course, the excellent milkshakes taking pride of place.",5,2 weeks ago
 ,5,2 weeks ago
 ,5,2 weeks ago
 ,5,2 weeks ago
 ,5,2 weeks ago
 ,5,2 weeks ago
 ,3,2 weeks ago
 ,5,2 weeks ago
 ,5,2 weeks ago
 ,5,3 weeks ago
 ,5,3 weeks ago
"(Translated by Google) BURGER delicious👍😍 I highly recommend.

(Original)
BURGER délicieux👍😍 je recommande vivement.",5,3 weeks ago
"(Translated by Google) The best burger with french fries quick service is well worth it

(Original)
Από τα καλύτερα burger με πατάτες τηγανητές γρήγορο σέρβις αξίζει",4,3 weeks ago
Muito bom e com preços razoáveis.,5,3 weeks ago
"Everything you expect from shake shack: burgers are consistent and always great, the Tiramisu shake was honestly amazing as well. I just miss the shake options they had in the US, like peanut butter. Other than that it’s still my favorite burger joint and it was great to see one in London as well",5,3 weeks ago
A very nice burger. Delicious.,5,3 weeks ago
Nice burgers and fries,4,3 weeks ago
 ,4,3 weeks ago
 ,5,3 weeks ago
The burgers are delicious But the place is crowded at night,4,3 weeks ago
"(Translated by Google) A shake shack as we like it !! The place is nice and well located. If you find a table near a window, you can observe London life in all its splendor

(Original)
Un shake shack comme on les aimes !! L'endroit est …",5,3 weeks ago
 ,5,3 weeks ago
"(Translated by Google) I think it's salty.

(Original)
좀 짠 것 같아요.",4,3 weeks ago
 ,4,3 weeks ago
 ,5,3 weeks ago
