text,label,date
"Olivia who clears tables is so lovely, so helpful and has a smile all the time. A valuable member of staff.",5,3 hours ago
 ,1,3 hours ago
Bar staff didnt seem to care who was next in line and took us forever to get served,3,3 days ago
 ,4,4 days ago
 ,1,4 days ago
 ,4,4 days ago
"Nice lively place. Enjoyed a few visits here in the past. Bags searched on way in too , cant say I blame them! Thank you for a lovely visit or 2 xx",4,5 days ago
 ,5,6 days ago
Okay for cocktails and dance,5,6 days ago
 ,5,6 days ago
 ,5,6 days ago
Super!,5,a week ago
 ,4,a week ago
"Food was lovely, and very fast service! However, I could not say the same about the drinks. We were repeatedly told they had run out of various elements of each desired cocktail, when we could see other customers around us had the exact same drinks we asked for! Just seems like the staff couldn’t be bothered.",2,a week ago
 ,2,a week ago
 ,1,a week ago
 ,4,a week ago
 ,3,a week ago
 ,5,a week ago
Great food and atmosphere,4,a week ago
 ,5,2 weeks ago
Reserved a Table at Slug & Lettuce in Leicester Square and I’ve never received such incredible service. Every single staff member was so helpful and so kind - from the security guard to the bar attendant. I HIGHLY recommend it to everyone! Special shoutout to Nick for going above and beyond. I’m so happy I got to experience this.,5,2 weeks ago
Average wetherspoons.,3,2 weeks ago
Bartenders are kind of rude but the cocktails are great which is a major plus,4,2 weeks ago
 ,4,2 weeks ago
 ,5,2 weeks ago
Love it!,5,2 weeks ago
 ,5,2 weeks ago
Slug & Lettuce Piccadilly Circus has a great atmosphere. Their great meals and their 2 for 1 cocktails are and added bonus as-well as very reasonable prices. Very Friendly staff with an amazing venue. Would definitely visit again when I am in the area. Keep it up S&L.,5,2 weeks ago
"(Translated by Google) Good cocktail, inexpensive, good atmosphere

(Original)
เครื่องดื่มค๊อกเทลดีราคาไม่แพงบรรยากาศดี",5,2 weeks ago
 ,5,2 weeks ago
 ,3,2 weeks ago
"Staying in London for the weekend, did a show decided to call in about 10:30 for a quick drink on our way back, bar man was putting cling film over the beer pumps saying we shut at 11pm so don't order a cocktail as we can't do them at this …",1,2 weeks ago
Great place 2 for 1 on cocktails service is great clean and tidy atmosphere  is chilled would defo go back,5,2 weeks ago
 ,5,3 weeks ago
Loud music and a little  expensive  no choice  of ale,3,3 weeks ago
 ,5,3 weeks ago
Not bad value for money for center of London,4,3 weeks ago
2-4-1 cocktails! They were amazing! The atmosphere was good/lively with good music and wide screen televisions which had the sports playing. Been here a few times and would go again without a doubt. Not very busy on weekdays which is a bonus! Can get packed on weekends tho...,5,3 weeks ago
A very busy and popular pud with emphasis on food,4,3 weeks ago
2 for 1 cocktails,5,3 weeks ago
 ,4,3 weeks ago
"Overpriced, staff unwelcoming and generally what you'd expect off Leicester Square, if it wasn't for my bladder I'd have avoided it.",1,3 weeks ago
"Lovely atmosphere, not a lot of seating space downstairs and upstairs was shut of on the Sunday afternoon into evening I went. 2 for 1 of cocktails is perfect!",4,3 weeks ago
"Poor. We ordered mainly fish finger sandwiches and a grilled chicken sandwich, plus a quinoa curry. The fish finger sandwiches were made from 3 pieces of measly fish pulp slapped on top of stale bread, with some soggy lettuce as garnish. …",2,4 weeks ago
"Great cocktails and fair prices, especially with the deals on cocktails. Staff could maybe smile a bit more but it is central london.",5,4 weeks ago
Good fish and chips. It's nice they have table service.,5,4 weeks ago
 ,5,4 weeks ago
 ,5,4 weeks ago
"Waited over 10 minutes at the bar, beer didn’t taste great, staff looked demoralised, service extremely slow service even though the venue was quiet a lot better places nearby.",2,a month ago
"Slow service, even though it was quiet in there. Chicken tasted dirty like the grill needed cleaning. Waitier was straight faced and not one smile. Poor service",2,a month ago
 ,1,a month ago
Cocktails 2-4-1 ordered food which took a while to be served and disappointed when it arrived that most of it was nearly cold.. so much choice in the area so try other places,3,a month ago
Well located chain pub in Soho. A decent size and plenty of TV screens to watch sporting events on.,4,a month ago
Food not good and what is this obsession with playing high volume music when people are eating and chatting.,1,a month ago
Awright,3,a month ago
 ,4,a month ago
 ,5,a month ago
Ok but food was cold,3,a month ago
Great got to go back.,5,a month ago
 ,5,a month ago
 ,5,a month ago
 ,4,a month ago
 ,4,a month ago
Food greasy starter and main course came together did same say when ordering chicken wings to start fish and chips for main,3,a month ago
 ,4,a month ago
 ,4,a month ago
 ,5,a month ago
 ,4,a month ago
 ,5,a month ago
 ,4,a month ago
 ,5,a month ago
 ,4,a month ago
"A lot of the menu options weren't in stock when ordering which was disappointing. The staff were a bit lacklustre as well. When the food arrived, it was great and arrived quickly - handy for a pre theatre meal.",3,a month ago
 ,5,a month ago
 ,4,a month ago
2 for 1 cocktails what more is there to say,5,a month ago
"Flat beer, surly staff",1,a month ago
 ,5,a month ago
 ,3,a month ago
Nice Guinness,4,a month ago
Standard Wetherspoon  house.,3,a month ago
 ,4,a month ago
 ,5,a month ago
Dirty table all sticky. Poor service after 20 mins told us one of the orders had sold out. When the food arrived the salmon was over cooked and both the sweet potato fries and the regular fries were tepid. It was my first visit and I shall not be going back 👎,1,a month ago
Really good cocktails! 241 on most days bargain!,4,a month ago
 ,4,a month ago
 ,5,a month ago
 ,4,a month ago
 ,3,a month ago
 ,4,a month ago
 ,4,2 months ago
 ,5,2 months ago
Pleasant and a friendly atmosphere.,3,2 months ago
 ,2,2 months ago
Amazing and beautiful and good price,5,2 months ago
 ,5,2 months ago
 ,5,2 months ago
Some of our food was over cooked and other meals were raw and one meal didnt turn up and they didnt let us know they didnt have the ingredients for it we had to ask. Very disappointing service and food would not recommend,1,2 months ago
 ,2,2 months ago
