text,label,date
 ,5,2 weeks ago
 ,4,a month ago
 ,5,a month ago
 ,4,a month ago
 ,4,a month ago
 ,5,a month ago
 ,5,a month ago
"Before the massage, my back was uncomfortable, but it was tolerable. During the massage, the pain in the whole shoulder was unbearable. The masseuse told me that my muscles were sticky and she just kneaded them open. Results after the massage two days I can not sleep can not stand the pain. The experience was very bad",1,a month ago
"(Translated by Google) Could not stay to make an appointment because the reception is cold and haughty

(Original)
Pas pu rester pour prendre rendez-vous car l'accueil est froid et hautain",2,2 months ago
"I have been visiting here for many years, receiving reflexology and chinise treatments for various stress related symptoms.

Not for the faint hearted, they have practionars from other countries than just Chinise.  Always friendly, some …",5,4 months ago
