text,label,date
"I love this place, have some really good memories here and it's always the first place I take people to when they want Thai.",5,9 hours ago
 ,5,2 days ago
 ,4,6 days ago
"I was visiting London for a few days and happened upon this place. The pad thai was, no joke, the best I've ever had. I wish I could go back just for the food. You have to try the corn cakes, they are SO good",5,a week ago
 ,5,a week ago
 ,4,a week ago
Cold food. Indifferent,3,a week ago
 ,1,a week ago
 ,4,a week ago
 ,5,a week ago
 ,4,a week ago
"(Translated by Google) Thai cuisine, you can eat well. The restaurant is located near Soho and Chinatown.

(Original)
Kuchnia tajska , można dobrze zjeść . Restauracja znajduje się niedaleko Soho i Chinatown .",4,a week ago
 ,4,a week ago
 ,5,a week ago
"Fantastic food and service,  will definitely return",5,a week ago
 ,5,a week ago
 ,4,2 weeks ago
 ,4,2 weeks ago
Decent food. Had Kung pao prawns and egg fried rice with a glass of the Chilean cabernet sauvignon. With a small bottle of sparkling water the bill was £23. Not cheap but not expensive either.,3,2 weeks ago
Always nice thai food.,5,2 weeks ago
"Creamy coconut soup - dont miss it! For the main, we ordered duck breast with tamarindo sauce, beef with oyster sauce, some vegetables and rice.",5,2 weeks ago
 ,4,2 weeks ago
 ,5,2 weeks ago
 ,4,2 weeks ago
 ,2,3 weeks ago
 ,5,3 weeks ago
 ,5,4 weeks ago
"Food was decent and prices were very affordable, 12.5% service charge already included in the price which can be a turn-off for others. Waiters were very friendly and I recommend this place to people looking for some Thai food nearby!",3,a month ago
Very good tom kai soup and staff very pleasant and helpful.,5,a month ago
 ,3,a month ago
 ,4,a month ago
"(Translated by Google) The lady would have noticed us, you had to ask for something a few, food was quite tasty

(Original)
Pani jak by nas nie zauważała, trzeba było kilka krotkie o cos prosic, jedzenie w miarę smaczne",3,a month ago
 ,5,a month ago
Food was good great for pre threatre.,3,a month ago
 ,4,a month ago
 ,5,a month ago
 ,3,a month ago
 ,5,a month ago
 ,3,a month ago
 ,2,a month ago
Loved it,5,a month ago
 ,5,a month ago
 ,5,a month ago
 ,5,a month ago
"(Translated by Google) Not to be missed

(Original)
Da non perdere",4,a month ago
 ,5,a month ago
Restaurante tailandês bem localizado e com ótima relação custo benefício,4,a month ago
Lovely food reasonably priced,5,a month ago
 ,3,a month ago
"Went here for dinner before a show. Food here wasn’t bad, but 4 prawns for a main course and a few slices of chicken in the green curry was steep for what they charged. All the wines we wanted were unavailable. Service wasn’t great, staff …",2,a month ago
 ,4,a month ago
Great and delicious.,5,a month ago
"(Translated by Google) What an exquisite noodle meal with an extra and cheap apricot apricot sauce

(Original)
Que comidita exquisita fideos con una salsa de orejones de damasco y picante de más y barato",5,a month ago
"(Translated by Google) Yummy

(Original)
Lekker",5,a month ago
"Great location with a view. The interior is also nice with ambiental lighting, cosy and warm.

Service was good and food was delicious.
Fair priced.
We ordered the red curry and it tasted amazing. They also have a wide selection of wine by the glass and cocktails.

Update: we went back with friends. Food was great again",5,a month ago
 ,5,a month ago
"(Translated by Google) Good food

(Original)
Buono il cibo",3,a month ago
 ,5,2 months ago
 ,5,2 months ago
 ,4,2 months ago
