text,label,date
 ,4,4 days ago
 ,4,6 days ago
 ,4,a week ago
 ,4,a week ago
Cosy and nice atmosphere. Packed!,5,a week ago
 ,4,a week ago
 ,4,a week ago
 ,5,a week ago
"(Translated by Google) Pub where you can have a good beer. It is located near Leicester Square and Piccadily Circus.

(Original)
Pub , gdzie można napić się dobrego piwa . Znajduje się niedaleko Leicester Square i Piccadily Circus .",4,a week ago
really good beers,4,a week ago
Nice place for drinks. John the bartender served some killer espresso martinis.,5,2 weeks ago
 ,5,2 weeks ago
 ,5,2 weeks ago
Always great beer and wine and love the live music on Sunday's,5,2 weeks ago
Really cool pub,5,2 weeks ago
"Good selection of ales, though typical theatre land, central London prices!",4,4 weeks ago
Alas poor Blue Posts I knew it well. RIP,1,a month ago
 ,3,a month ago
Brilliant pub great team behind the bar a must visit when in Soho.,5,a month ago
 ,5,a month ago
 ,5,a month ago
"Tiny & cramped but feels like it's part of its charm. Good selection of beers, not sure I could stay for more than a couple of drinks though due to how crowded it gets",4,a month ago
Friendly staff and a good range of beers on tap.,5,a month ago
 ,3,a month ago
"Really nice pub, with a cocktail bar upstairs (didn't manage to get into the cocktail bar because it was full). Staff were friendly and it wasn't particularly rowdy which was good",4,a month ago
 ,5,a month ago
 ,4,a month ago
 ,4,a month ago
"Everyone friendly but waiting an hour for cold veg, mash and gravy spoiled it.",2,a month ago
 ,4,a month ago
 ,1,2 months ago
 ,4,2 months ago
 ,5,2 months ago
 ,4,2 months ago
 ,5,2 months ago
 ,5,2 months ago
 ,5,2 months ago
 ,5,2 months ago
Nice beers,4,2 months ago
 ,5,2 months ago
