text,label,date
"Great staff, delicious cocktails and great music!",5,4 days ago
 ,5,a week ago
"Great staff, delicious cocktails and great music. Always an awesome night at the light lounge",5,2 weeks ago
Good service!,5,2 weeks ago
 ,5,2 weeks ago
 ,2,3 weeks ago
 ,4,3 weeks ago
 ,4,3 weeks ago
 ,5,3 weeks ago
"(Translated by Google) Recommended for those who want to enjoy a quiet drink late in the Central!

(Original)
セントラルで静かに遅くまでお酒を楽しみたい人におすすめ！",5,a month ago
 ,4,a month ago
Great little cocktail bar upstairs with a great happy hour,4,a month ago
 ,4,a month ago
 ,2,a month ago
"Nice bar, enjoyed the atmosphere, the cocktails are a bit expensive outside the happy hour but they taste delicious 🍹",4,a month ago
 ,4,a month ago
"Disgustingly unprofessional. Amy Mullen is beyond douchy. 

Clearly run by people who have no business running such a place. Such a shame.",1,a month ago
 ,5,a month ago
 ,5,a month ago
 ,5,a month ago
It is a nice and comfortable place to stay in central London.,5,2 months ago
 ,5,2 months ago
"This is a lovely place with great staff. They are always willing to help and are very polite. The decor is up to date and has a good vibe.
The only downside is the drinks are very expensive.",5,2 months ago
 ,3,2 months ago
 ,3,2 months ago
Love this place,5,2 months ago
 ,4,2 months ago
Good drinks,5,3 months ago
 ,5,3 months ago
 ,4,3 months ago
