text,label,date
"One of our favourites in London. For Israeli food, it's not too oily or heavy but still absolutely delicious. Every dish is memorable and full of flavour",5,a day ago
"Wonderful, uniwue and tasteful  israeli food",5,2 days ago
 ,4,2 days ago
Exquisite,5,3 days ago
Yum yum yum😋😋😋 Food,5,3 days ago
Staff is amazing. The food is alright but nothing special.,4,5 days ago
 ,4,5 days ago
"Amazing food, service, drinks, atmosphere! Everything. Probably my favourite restaurant in London!",5,a week ago
 ,5,a week ago
Amazing food and cocktails - lovely service. Dishes are unique and taste great!,5,a week ago
 ,3,a week ago
 ,5,a week ago
 ,4,a week ago
 ,4,a week ago
Phenomenal food. Exceptional service.,5,a week ago
"nice food, small dishes, long line",4,a week ago
 ,5,2 weeks ago
Great food:) very unique!,5,2 weeks ago
 ,5,2 weeks ago
"Great atmosphere, funny and outgoing team, and tasty food and cocktails....
Strongly recommended!!!!",5,2 weeks ago
Absolutely amazing service and the food was excellent.,5,2 weeks ago
"The dinning room is too small and crammed. Besides, There was a nasty smell of drainpipe. Waiters are rude and we picked up mistakes in the bill. Food is good.",3,2 weeks ago
 ,5,2 weeks ago
"Amazing restaurant!  Loved the dips, the Octopus and Chicken dishes.  Would have passed on the lamb and pork in future.  Still, 5 stars overall, great service and wonderful food!",5,2 weeks ago
 ,5,2 weeks ago
"(Translated by Google) Very tasty food! Great service, the place is a bit crowded and small ..

(Original)
אוכל טעים מאוד! שירות מצויין, המקום קצת צפוף וקטן..",5,2 weeks ago
 ,5,2 weeks ago
 ,5,3 weeks ago
 ,5,3 weeks ago
Best food in London and vibrant atmosphere,5,3 weeks ago
"Had a mid-week lunch here - good sharing plates and options, Jerusalem chicken has good flavor to it, but could have been more succulent. Other dishes were average.  The Bread and dips were fine but nothing to make this restaurant more favorable than other Mediterranean ones in London.",4,3 weeks ago
One of the best restaurants I have ever been into London so far. Food was fantastic :),5,3 weeks ago
 ,5,3 weeks ago
"Probably one of our favourite restaurants in London. The food is very tasty and the environment is quite nice. We absolutely adore the Jerusalem mess (pictured). Even bought the Palomar cookbook, thats how much we love this place. Slightly on the pricey side but you won’t mind once you taste all that yumminess. Recommended!",5,3 weeks ago
"Very good middle Eastern food. Decent service, nice atmosphere.",4,3 weeks ago
Amazing food.,4,4 weeks ago
"Lovely food. Great service.  Busy. Recommend seating ""in the back""",5,4 weeks ago
 ,5,a month ago
"Explosion of flauver from middle east with a fresh Mediterranean touch.  The brioche bread is to die for, the Israeli head chef knows very well how to play with flavours and spices. I loved it! I will be back",5,a month ago
 ,5,a month ago
 ,5,a month ago
 ,5,a month ago
 ,4,a month ago
 ,5,a month ago
My favourite place in London,5,a month ago
Top notch. Sit at the counter. I live in NYC but when I’m in London Palomar is a Must,5,a month ago
"Nothing special , and pricey",3,a month ago
"(Translated by Google) Excellent food, the best in the Middle East.

(Original)
Comida excelente, la mejor del Medio Oriente.",5,a month ago
"What a place! Had been itching to go here and decided to use the place for a big reunion dinner. The staff was extremely accommodating when it came to all our reservation needs despite it being a large party, and the service on the night …",5,a month ago
