text,label,date
 ,5,9 hours ago
"Always excellent Japanese restaurant with a cosy minimalist interior, relaxed atmosphere and great service. The age dashi dofu is delicious thanks to the flavour packed broth and the donburi bowls are excellent (as well as available in a …",5,9 hours ago
Ok food. Pretty cheap sushi and udon noodle soup.,3,a day ago
 ,4,a day ago
 ,4,3 days ago
"(Translated by Google) Not very interesting

(Original)
Pas grand intérêt",3,3 days ago
Wonderful place for Japanese comfort place. The quality is great and the prices are very reasonable! One of my favorite places in London.,5,3 days ago
Lovely atmosphere and very friendly. Food was very good,5,4 days ago
 ,5,5 days ago
"I like Japanese food. The food was not bad, but nothing special. I asked for a bento box and I have the impression that lickles were really cold and the same from the vegetables. It waslike they came straigh from the fridge.",2,5 days ago
"(Translated by Google) The prices are a little out of the way but not too much. After living for years in Japan, I must say that this place offers dishes similar to Japanese flavors, almost authentic. Overall very good! Excellent Karage …",4,6 days ago
"It was busy and had to wait. Food was OK, small and expensive.
Went to the Japanese Market, in the Japanese center, off lestersquare to fill up some more.",4,a week ago
 ,5,a week ago
Amazing food!,4,a week ago
Banging good food!,5,a week ago
The real stuff,5,a week ago
Very friendly staff,5,a week ago
"I’ve lived in Tokyo and I can testify that the food here is as good as those I used to it there!

Their katsudon and japanese curry were delicious! 👏",5,a week ago
As I expected the place was cozy and nice and the food was great. Worth it.,5,a week ago
 ,3,a week ago
 ,5,a week ago
 ,5,a week ago
 ,5,a week ago
 ,5,a week ago
 ,5,a week ago
"(Translated by Google) I like a Japanese restaurant that may happen to be here, and just keep coming (laughs)
Please keep going!

(Original)
很喜欢的一家日料店，也有可能是碰巧来过，然后就一直来吧（笑）
请继续加油噢！",5,a week ago
 ,5,a week ago
"Really bad food, avoid.",1,2 weeks ago
 ,4,2 weeks ago
"Don’t let 3 stars fool you. Good hearty portions at a good price, could do with a little music maybe and please turn the heating on, good service. Very tasty",3,2 weeks ago
 ,4,2 weeks ago
 ,4,2 weeks ago
 ,5,2 weeks ago
