text,label,date
"Not cheap, but definitely worth every penny. Whatever you order, take the signature cocktail with it ;)",4,an hour ago
 ,5,3 hours ago
Great food and atmosphere. Interesting range of dishes.,5,a day ago
Best oho in london,5,2 days ago
I ordered shrimp salad. It was well presented but OK taste wise. Staff were friendly,3,4 days ago
One of the best pho you can find in Europe!,5,5 days ago
 ,4,5 days ago
Very good Vietnamese food. We are traveling a lot. This place make us feel back to Vietnam. Thank you!,5,6 days ago
 ,3,6 days ago
"Right down amongst the exciting and vibrant Chinatown of London this is a nice friendly little place with great staff and a fantastic muni artfully prepared by their specialty chefs for your pleasure, definitely one of those places I’d recommend to anyone coming into the area for any duration of time, come here and try this!",5,a week ago
 ,5,a week ago
Great pho! A bit pricey but worth it! Worth the wait :),5,a week ago
 ,5,a week ago
"delicious fresh food for average prices, great atmosphere",5,a week ago
"Great Pho and spring roll. And cocktails not bad.
Hint: bar in the second floor.",4,a week ago
"Pho was just so-so
Soup was hot BUT the noodles was not smooth and thin
Prefer CAY TRE much more",3,a week ago
"Excellent service fast and efficient, the pho was delicious",5,a week ago
 ,5,a week ago
Great PHO. Very tasty chicken in lemongrass. Definitely will get back here.,5,a week ago
 ,3,a week ago
"My favorite restaurant in London.
Pho is really nice and crispy spring roll is amazing as well👍",5,2 weeks ago
"Great menu choice, friendly and professional staff, quick service. Menu choose too big))",4,2 weeks ago
"Amazing cocktails, the ambience of the place feels indifferent in a good way. 👌👌",5,2 weeks ago
Ok,5,2 weeks ago
 ,5,2 weeks ago
 ,5,2 weeks ago
"The food was absolutely delicious and very nice arranged. - 2 stars because of the absolutely rude waiter. He laughed at my vietnamese friend and talked bad about her with his colleague where we could still hear them, just because she asked …",3,2 weeks ago
 ,5,2 weeks ago
 ,5,2 weeks ago
 ,4,3 weeks ago
 ,5,3 weeks ago
"(Translated by Google) Excellent food, warm environment
Good prices

(Original)
Ottimo cibo, ambiente caldo
Prezzi buoni",5,3 weeks ago
"Lovely place! Amazing autherntic vietnamese food, good friendly service and nice atmosphere. Lemongrass chicken was superb!and so was my Pho! Highly recommend",5,3 weeks ago
"Today I had lunch at this restaurant. To be honest, personally I don’t really like it.even they said the soup they cooked for 16hrs.but I feel the noodles didn’t cook really good. Also the beef I don’t really like it as well! Also the …",3,3 weeks ago
Beef soup was mostly water. When I asked for the bill I was told there was a minimum charge of 10 GBP to pay by card. Nowhere in the restaurant did it say this. It seems like the kind of place that gets away with low quality (in food and service) because it relies largely on tourists.,1,3 weeks ago
"Food tasted good (inauthentic but tasty) however portions were far too SMALL, you'd think they were serving food for birds for the prices they charged!",1,3 weeks ago
 ,4,3 weeks ago
 ,4,4 weeks ago
"Visited this place yesterday for a birthday dinner. The food is brilliant, but these guys are terrible with their service -- even though I'd called in to reserve a table, the manager couldn't find a name on his diary. After we were finally …",4,4 weeks ago
"(Translated by Google) As a Vietnamese, I would never recommend this restaurant if you wish to enjoy a truly Vietnamese taste. Table service is awful and rude. I even saw no Vietnamese-speaking staff on the day I visited here.

Decor …",2,4 weeks ago
Best pho of the World. Really.,5,a month ago
"(Translated by Google) Good Vietnamese cuisine, small place. Located in Chinatown in London.

(Original)
Dobra wietnamska kuchnia , mały lokal  . Znajduje się w Chinatown w Londynie .",4,a month ago
"(Translated by Google) You eat well a little small but nice

(Original)
Si mangia bene un po' piccolo ma bello",4,a month ago
 ,4,a month ago
"Happily got a seat on the Lunar New Year’s Day. Their lamb chops are a bit heavy but lovely, with a good price (9.5GBP). Salad, beef soup are both nice. Warm service. The staff I met are all Chinese though. Love the vibes. There could be a queue outside but the turnover speed is quite fast.",5,a month ago
 ,5,a month ago
 ,3,a month ago
 ,5,a month ago
"Tasty food, great unusual desserts - mint ice cream and caramel cake, and some sort of matcha soup. Calamari rings (4 pcs), summer veg rolls (4 pcs), lemongrass chicken and braised beef bun (noodles) were perfectly enough for us two. For …",4,a month ago
"Very tasty food, kind staff and good sized portions. It also has a very nice atmosphere and isn't expensive (Pho are between 6.5 and 8 pounds). Highly recommended.",5,a month ago
Brilliant! tasty food and such good value. Better than anything else in China town,5,a month ago
 ,5,a month ago
 ,5,a month ago
The service here was amazing and the food even better. Felt very welcomed and we were always tended to very promptly. loved my time in this restaurant and will go back again!,5,a month ago
Nice food... loved the place!!,4,a month ago
 ,5,a month ago
Always a great experience in Viet Food ! The best viet restaurant in London !,5,a month ago
 ,5,a month ago
 ,5,a month ago
 ,4,a month ago
"(Translated by Google) London's best Vietnamese restaurant, delicious food, reasonable prices and super friendly staff 👍🏼

(Original)
Miglior ristorante vietnamita di Londra, cibo delizioso, prezzi ragionevoli e personale gentilissimo 👍🏼",5,a month ago
"There was nothing authentic about the restaurant, it was complete scam. 
I  truly wished I complained on the night,  and restaurant has put such terrible representation of Vietnamese culture,  that I would be ashamed to say I'm Vietnamese. …",1,a month ago
Really good authentic Vietnamese food. I would definitely come back. Make sure to make a reservation.,5,a month ago
 ,4,a month ago
 ,5,a month ago
"(Translated by Google) I used lunch.
There is something like a lunchbox, and it has been put on a tray to enjoy Japanese set meals. It was chicken but the seasoning was also delicious! The shops and toilets are beautiful!

(Original)
ランチ利用しました。
lunchboxみたいなのがあって日本の定食みたくトレーに乗せられてきました。チキンでしたが味付けも美味しかった！お店もトイレも綺麗！",4,a month ago
Amazing!,5,a month ago
"(Translated by Google) We loved it. Dishes that surprise you and delicious

(Original)
Nos ha encantado. Platos q te sorprenden y deliciosos",5,a month ago
Second time at this China Town restaurant did not disappoint! Last time I had one of the Phos and this time I went for the beef Bun. Both very yummy!,5,a month ago
 ,5,a month ago
"(Translated by Google) This restaurant is not bad. The food was good, authentic taste and well presented. On the other hand, the Pho Chicken (the soup) did not have a lot of chicken ... the price-quantity ratio is respected and the service …",4,a month ago
"(Translated by Google) Perfect a good place :)

(Original)
Parfait une bonne adresse :)",5,a month ago
 ,5,a month ago
"(Translated by Google) Usually it is. If you want to try rice noodles in London, King cross is the best choice.

(Original)
보통 입니다. 런던에서 쌀국수를 드시고 싶다면 킹스크로스쪽을 추천 합니다.",3,a month ago
Good,2,a month ago
 ,5,a month ago
 ,4,a month ago
 ,5,a month ago
 ,5,a month ago
 ,5,a month ago
"Great menu, but service needs to be improved. We were left waiting for a long time between courses.",3,a month ago
Amazing food and great staff. Love it. The spring rolls so good I had them for pudding too. Thank s!,5,a month ago
"(Translated by Google) Delicious Vietnamese food. Prices reasonable. The place is quite cramped, but it rewards the atmosphere.

(Original)
Przepyszne vietnamskie jedzenie. Ceny rozsądne. Lokal dość ciasny, natomiast wynagradza atmosfera.",5,a month ago
 ,3,a month ago
"(Translated by Google) Spring rolls are really delicious

(Original)
스프링 롤 진짜 맛있어여",5,a month ago
 ,3,a month ago
 ,5,a month ago
"(Translated by Google) Every time I pass, there are so many people I wanted to go
The rice noodles challenged the new food by eating only those with broth, but you should eat only the rice noodles with the broth ㅠㅠㅠ!
Service was generally …",4,a month ago
"Delicious food, a few veggie options, the sea bass tasted more like tilapia! But still all very tasty food! Definitely think I would go back. They were super busy and service wasn't fantastic!",4,a month ago
 ,4,a month ago
Great food,5,a month ago
2nd time visit.  Food is tasty. staff are friendly.  Venue is cool,5,a month ago
"1. The staff dropped water on my husband
2. When the staff missed my order and I repeated, he said: I am not talking to you.
3. It takes 5 mins for the staff to notice you need something
4. The food is ok la, not amazing but acceptable
5. …",3,a month ago
 ,5,a month ago
 ,5,a month ago
 ,5,a month ago
 ,4,a month ago
Not really a Vietnamese place since it's filled with Chinese people but it wasn't bad.. just not exceptional either.,3,a month ago
"Curry was mediocre, and the ""seerloin bun"" was not a bun, which was odd :)",3,a month ago
 ,5,a month ago
"(Translated by Google) This restaurant cooks Vietnamese dishes to perfection! The best I think is to share the tapas ...

(Original)
Ce restaurant cuisine les plats vietnamiens à la perfection ! Le mieux je crois est de partager les tapas...",5,a month ago
Oh my pho!!!,5,a month ago
"Super cosy, excellent food & cocktails (may I suggest the Smoked In The Town?), it was just a little bit too cold on the ground floor when I came this winter :) (the door was open frequently thus a lot of wind)",5,a month ago
"(Translated by Google) Beautiful location, excellent food and large menu. Great prices for London.

(Original)
Bella location, ottimo cibo e ampio menu. Prezzi ottimi per la londra.",5,a month ago
 ,4,a month ago
"(Translated by Google) Wok Fried Bun

(Original)
Wok Fried Bún",5,2 months ago
They have some authentic Vietnamese food which is cooked by a Vietnamese cook. Food tastes great and highly recommended,5,2 months ago
"Being a vegetarian!!!! Food was amazing. Not much choice but very tasty. They were very honest to say in which they had chicken broth/beef broth. Service very good. If you like beer, don’t forget to try Hanoi Beer!!!!",5,2 months ago
Amazing as always,5,2 months ago
"I loved it , a friend invited me there for lunch and I'm now waiting for an opportunity to go again. Very traditional always with a london twist , I love the sharing tables concept where you'll be seated in a big table with other people but of course they have separate tables as well.",5,2 months ago
