text,label,date
"Nice and reasonably priced dimsum in the afternoon. There are quite a lot of seatings too, so we didn't have to wait for that long.",5,8 hours ago
Excellent Chinese food,4,10 hours ago
 ,4,a week ago
 ,5,a week ago
 ,3,a week ago
"Fatty food that is for hours in the kitchen, noodles overcooked, unfriendly service. Never again",1,a week ago
Been going here over 10years now and it's the only place I get dim sum from amazing,5,2 weeks ago
"Awesome food, loads of it. Fast service. Really happy we ate here.",5,2 weeks ago
 ,4,2 weeks ago
"(Translated by Google) Good Chinese cuisine, the restaurant is located in Chinatown in London.

(Original)
Dobra kuchnia chińska , restauracja znajduje się w Chinatown w Londynie .",4,3 weeks ago
"Overall a nice experience - the food was tasty, but the service could have been friendlier.",4,3 weeks ago
I have eaten at this restaurant on and off for 30 years and think it offers very authentic and good quality Chinese food at reasonable prices. Thoroughly recommend.,5,3 weeks ago
"(Translated by Google) Very delicious food, very nice and polite service. I would definitely recommend !!!

(Original)
Bardzo pyszne jedzonko, obsługa bardzo miła i uprzejma. Zdecydowanie polecam!!!",5,3 weeks ago
 ,5,3 weeks ago
 ,4,4 weeks ago
This is the worst Chinese restaurant I’ve ever been to. Very rude staff. Overly greasy food. I will never make the mistake of coming here again.,1,4 weeks ago
Very good service. Food came pretty quickly (in a good way). Taste is just like Hong Kong. Owner was also very kind to offer some roast duck sauce to take away when I requested. Will definitely come back for more authentic Cantonese dishes!,5,a month ago
 ,4,a month ago
 ,5,a month ago
 ,5,a month ago
Pretty authentic Cantonese dim sum restaurant.  Price is quite reasonable.  A very popular restaurant and most likely you have to wait for a table,5,a month ago
"They post the Dim Sum sandwich sign outside on Christmas Day to fool the visitors form the line for half an hour to an hour. Then, they tell you to share the tables, and, once you are seated, they told us and others they didn't serve dim …",1,a month ago
"Fantastic, authentic Chinese dim sum. Full of flavour. Good service but expect to queue a bit. They do work hard to seat you quickly.",5,a month ago
 ,4,a month ago
currently the best  and cheapest  Chinese  restaurant in London,4,a month ago
 ,5,a month ago
Great value. Good range of options on the menu. Delicious food.,5,a month ago
 ,3,a month ago
"(Translated by Google) Maybe I did not choose well, but I did not find anything authentic, like any Chinese restaurant in the neighborhood of Madrid

(Original)
Quizás no elegí bien, pero no me pareció nada auténtico, como cualquier restaurante chino de barrio de Madrid",2,a month ago
"Outstanding dim sum, and very fast and attentive service! Just be sure you get in before 5 pm for the dim sum menu, if that's what you're looking for.",5,a month ago
Great affordable Chinese restaurant. Service attentive and quick,5,a month ago
 ,4,a month ago
 ,4,a month ago
So good，must visit again！Chick feet is too spicy though....,4,a month ago
 ,3,a month ago
 ,3,2 months ago
 ,4,2 months ago
 ,3,2 months ago
 ,4,2 months ago
Expensive 👎🏼,2,2 months ago
