text,label,date
 ,5,3 hours ago
The best.,5,4 hours ago
 ,4,6 hours ago
 ,4,14 hours ago
"Great night out, fantastic venue, good selection of whiskeys 
I feel there's allot of history here
If you're visiting London Waxys is a must",5,14 hours ago
Good beers,5,19 hours ago
 ,5,a day ago
 ,3,a day ago
 ,4,a day ago
Best pub in london,5,a day ago
 ,5,a day ago
 ,3,a day ago
 ,5,2 days ago
Live music with amazing singers. The environment is good and the decoration is different from other places. Local beer and nice food to share.,5,2 days ago
 ,5,2 days ago
בכלל לא שנאתי..להיפך-היה מאד מאד מוצלח!!!!!!,1,2 days ago
 ,5,2 days ago
 ,4,2 days ago
 ,5,3 days ago
 ,5,3 days ago
"(Translated by Google) Fabulous!

(Original)
Favoloso!",5,3 days ago
Good place for late night boogie,5,3 days ago
 ,5,3 days ago
"(Translated by Google) Great Irish pub with space, great atmosphere and live Irish songs on Friday evening

(Original)
Super pub irlandais avec de l'espace, une bonne ambiance et des chants irlandais en live le vendredi soir",5,4 days ago
great place,5,4 days ago
"(Translated by Google) Very nice pub we had some great times, huge! Great beer and great food !!!

(Original)
Πάρα πολύ ωραία pub περάσαμε πολύ όμορφες στιγμές , τεράστια! Καταπληκτικές μπύρες και πολύ ωραίο φαγητό !!!",5,5 days ago
 ,5,5 days ago
 ,4,5 days ago
 ,4,5 days ago
 ,4,5 days ago
 ,5,5 days ago
 ,5,5 days ago
"Noisy, rude staff, dirty toilets",1,5 days ago
 ,5,5 days ago
 ,4,5 days ago
Great place! Great music! Great drinks! I love this place!,5,5 days ago
"Huge pub, and with all the different floors easy to even get lost in. Very cool-looking place, but unfortunately on a busy night tends to be way too full and the music is extremely loud. Kind of takes away all the fun. Should probably try when it's a bit quieter and you can actually move around to explore all the hidden corners.",3,6 days ago
 ,3,6 days ago
 ,5,6 days ago
 ,5,6 days ago
 ,5,6 days ago
 ,5,6 days ago
Great,5,6 days ago
 ,5,6 days ago
 ,5,a week ago
 ,5,a week ago
 ,5,a week ago
 ,5,a week ago
 ,5,a week ago
"Very good Guinness. Big pub. Good music, but loud. Good place to start a night out.",4,a week ago
So nice pub. Live music.,5,a week ago
 ,5,a week ago
"Nice Irish pub close to Piccadilly Circus. Bigger than you expect from the outside. They have a nice interior.

I can't comment on the food as we only had drinks with a conference event.
The food looked good.",5,a week ago
Waxy your always the best!,5,a week ago
 ,5,a week ago
 ,5,a week ago
 ,5,a week ago
"This place is a gem. It looks like the typical bar when looking in and when you walk in, a whole new world opens up. If you haven't been here before, please consider a visit.",5,a week ago
 ,5,a week ago
 ,5,a week ago
