text,label,date
 ,4,13 hours ago
Lovely cozy pub with character,4,16 hours ago
 ,4,23 hours ago
Very good place,5,a day ago
Mega,5,a day ago
"Right in the heart of soho, great choice of beers with a good crowd",4,3 days ago
 ,5,3 days ago
 ,4,5 days ago
 ,5,5 days ago
 ,3,5 days ago
cosy place,4,6 days ago
 ,5,6 days ago
 ,4,a week ago
 ,5,a week ago
 ,5,a week ago
"(Translated by Google) Good beer .. ☺️

(Original)
Dobré pivo.. ☺️",4,a week ago
 ,3,a week ago
God,5,a week ago
 ,5,a week ago
"(Translated by Google) Don't know how to serve a guiness. Pub very well located in Chinatown but expensive and soulless. I do not recommend it.

(Original)
Ne savent pas servir une guiness. Pub très bien situé dans Chinatown mais cher et sans âme. Je le recommande pas.",1,a week ago
 ,4,2 weeks ago
 ,5,2 weeks ago
 ,2,2 weeks ago
Nice but as it wasn't that busy was quite messy,4,2 weeks ago
Loved it,5,2 weeks ago
 ,3,2 weeks ago
 ,3,2 weeks ago
It is the best place  ❤️❤️❤️  I like to spend time on the sofa next to the fireplace.  Wine ✔️ Guinness ✔️ Kopparberg ✔️,5,2 weeks ago
Amazing,5,2 weeks ago
Only had a pint of Guinness but it was good. Nice comfortable seating upstairs.,5,3 weeks ago
"Great atmosphere, very lively. Had a really good time in there",5,3 weeks ago
Comfy little bar smacked right in the middle of Chinatown.,5,3 weeks ago
 ,5,3 weeks ago
 ,3,3 weeks ago
"(Translated by Google) Pleasant, comfortable, very good music
And good beer
I valid

(Original)
Agréable, confortable, très bonne musique
Et de la bonne bière 
Je valide",5,3 weeks ago
 ,1,3 weeks ago
 ,5,3 weeks ago
Great night out.,5,3 weeks ago
A slice of London not too be misses,5,3 weeks ago
 ,5,3 weeks ago
 ,4,4 weeks ago
"(Translated by Google) Beer with good music and atmosphere

(Original)
Cerveseta amb bona música i ambient",4,4 weeks ago
"(Translated by Google) Good place to have a good beer in the Chinatown of London

(Original)
Buen sitio para tomarse una buena cerveza dentro del barrio chino de Londres",4,4 weeks ago
"(Translated by Google) Very nice pub with the freight elevator for glasses of beer, nice corner upstairs near the fireplace.

(Original)
Très beau pub avec le monte charge pour les verres de bière, coin sympa à l'étage près de la cheminée.",4,4 weeks ago
Nice little pub. The pulley system for getting drinks upstairs is fun!,5,4 weeks ago
"(Translated by Google) Wines at affordable prices to be London.

(Original)
Vinos a precios asiquibles para ser Londres.",5,4 weeks ago
 ,5,4 weeks ago
The pubs in a good spot but when we visited that was about the best bit of it! They played none stop very loud irish music that's ok if you love that fine but we don't mind a few tracks but it was to loud and to much!,3,a month ago
"(Translated by Google) The pub is located in Chinatown in London. A bit crowded, but you can drink a good beer.

(Original)
Pub znajduje się w Chinatown w Londynie . Trochę tłoczno , ale można się napić dobrego piwa .",4,a month ago
 ,3,a month ago
 ,5,a month ago
 ,3,a month ago
"A dirty, almost forgotten by the waiter pub.",1,a month ago
 ,5,a month ago
 ,5,a month ago
"Got served quickly on a friday night, close to Chinatown and Leicester square",4,a month ago
 ,3,a month ago
 ,3,a month ago
 ,4,a month ago
Great watering hole for a beer and a gin after a matinee show in central London.,4,a month ago
 ,5,a month ago
Love meeting up here with friends!,5,a month ago
 ,4,a month ago
Alcohol 😊,4,a month ago
 ,5,a month ago
 ,5,a month ago
 ,4,a month ago
 ,1,a month ago
 ,5,a month ago
 ,3,a month ago
 ,5,a month ago
Nice pub with a friendly barman,4,a month ago
 ,4,a month ago
"Nice cosy pub just off leicester square. Prices for drinks very reasonable for london and its location in the heart of tourist land, close to China town, cinemas, theatres and public transport.",4,a month ago
The bartender's are great,5,a month ago
 ,5,a month ago
 ,5,a month ago
 ,5,a month ago
 ,5,a month ago
 ,5,a month ago
 ,5,a month ago
 ,5,a month ago
"(Translated by Google) Just a normal pub. No special.

(Original)
그냥 보통 펍..  스페셜하진 않음",3,a month ago
 ,5,a month ago
 ,5,a month ago
It reminds me of my highly waxy little sister. So much wax! 10/10 Would wax again.,5,a month ago
"Nice place to sit. Unfortunately there wasn't any food served today

(( Glogger Guus on his world tour))",3,a month ago
 ,5,a month ago
 ,5,a month ago
 ,4,a month ago
 ,4,a month ago
Excellent night out,5,a month ago
Lovely pub,4,a month ago
 ,5,a month ago
 ,5,a month ago
"(Translated by Google) Very bad experience, I was on the terrace of the bar with my youngest younger brother, my older sister who is of legal age and I am a minor, my sister ordered a beer and immediately asked for it, they withdrew it …",1,2 months ago
 ,4,2 months ago
"Only popped in for a pint, but staff lovely and beer excellent.",5,2 months ago
Nice,4,2 months ago
It's just gross.,1,2 months ago
