text,label,date
"Really beautiful interior, friendly staff and good food and drink.
My only problem was, as another reviewer noted, the vegetarian/vegan options were limited and didn’t add up to a feeling of having had a whole meal.",4,4 days ago
 ,4,5 days ago
Fancy Taiwanese food I'm not sure if they are original since I never been to Taiwan province but the environment was pleasent. And food are ok.,4,a week ago
 ,5,a week ago
Amazing find,5,a week ago
 ,5,a week ago
 ,4,a week ago
"(Translated by Google) Thai dishes, well seasoned and interesting flavors. The restaurant is located near Piccadily Circus.

(Original)
Tajskie potrawy , dobrze doprawione i ciekawe smaki . Restauracja znajduje się niedaleko Piccadily Circus .",4,a week ago
"Nine of us went for a birthday meal - booked in advance and ordered the Mahjong Menu ""without the Mahjong"" and the person from Xu assured that this would be fine.  We expected to be seated in a private room and eat a great meal, but without …",2,2 weeks ago
The dumplings were fantastic - great variety of choice and the teas were very good. Love the atmosphere - reminds me of old Hong Kong style,5,3 weeks ago
 ,5,3 weeks ago
"Impressively quick! I asked express service because I had an urgent following meeting, ordered only a main dish which was the bbq pork neck, from the moment I stepped in to the moment I finished payment and stepped out it only past 30 mins. …",4,3 weeks ago
 ,5,3 weeks ago
Expensive and boring,3,3 weeks ago
"Beautiful location, attentive service and inventive drinks. Unfortunately the food was... odd. The char siu was nice though the cucumber was flavorless. The Chinese broccoli dish was far too salty. The sweet potato dumpling tasted like... I …",2,4 weeks ago
The chat sui is a must try!,4,a month ago
"If two people order two set menus, it would be better if the food comes in separate plates, not in one plate. The servers touched the bowl when serving, and it was not hygiene. Pricey.   Mapo tofu was not original at all.",3,a month ago
 ,4,a month ago
 ,5,a month ago
 ,4,a month ago
 ,4,a month ago
"Vegetarian options are quite average to be honest. A forgettable meal. They also forgot that it was my partners birthday. Service could be improved in terms of attentiveness. The decor, branding and overall vibe is very cool.",3,a month ago
Possibly my favourite Chinese restaurant in London at the moment — the sweet potato dumplings are 👌🏻,5,a month ago
 ,5,a month ago
Excellent food and the tea is amazing. Would definitely go again.,4,a month ago
"The atmosphere is 5 star. However as Taiwanese food, it’s toooooo modern and loses the original flavor. Not a good choice if you really want to try Taiwanese style:/",2,a month ago
 ,5,a month ago
 ,5,a month ago
 ,5,a month ago
Very nice food and great staff. Our server Simona was amazing!! We had a great start of the new year!!,5,a month ago
"Very neat little place,
Quirky design.
Worth a visit.",4,a month ago
 ,4,a month ago
 ,5,2 months ago
"Best food, super nice staff, constantly fantastic atmosphere. They charge reasonable pricing and the food quality is awesome. Keep up the good work.",5,2 months ago
We had the a la carte menu with the wine pairing and it was good. I wouldn't say it was exceptional but the staff kind and attentive.,3,2 months ago
 ,5,2 months ago
 ,5,2 months ago
 ,5,2 months ago
 ,5,2 months ago
"Positive, but underwhelming experience.
The atmosphere was fantastic, quiet and intimate. 
The food was mediocre, and the tasting menu was put together with little thought.
£115 for two.

We ordered the Christmas set menu with tea pairing. …",3,2 months ago
