text,label,date
Special ice cream flavour,5,a day ago
Such a colourful place! Its not all about instaworthy looks they have very unique flavors too.,4,4 days ago
 ,5,6 days ago
I don't know of any other places like it. It's a good place to go for a treat. I would go for the flavours you wouldn't typically find elsewhere,4,a week ago
Would recommend the brownie and raspberry macaron sandwiches.,4,2 weeks ago
"First time visitor, was recommended this place by my girlfriend. Wow the ice-cream filled macarons are INCREDIBLE. Next time I'm in London I'll make a detour and go back 🤤",5,2 weeks ago
"Very cute atmosphere with amazing food and service, rated the bts songs!",5,4 weeks ago
 ,5,a month ago
 ,5,a month ago
Ice cream tasted great,4,a month ago
"Absolutely amazing macaroon ice cream sandwiches! 
Me and my sister were visiting London from Canada and were blown away by these ice cream sandwiches. They are so unique and so delicious, the macaroons are delightful and the ice cream is also delicious. These are a must try if you are in London!",5,a month ago
Brownie ice cream sandwich with a scoop of coconut matcha - the brownies were really good but the coconut ice cream was ok. It's pricy and by the time we went there (around 3 oclock) the special ice cream sandwiches were almost already gone.,3,a month ago
 ,5,a month ago
 ,4,a month ago
 ,5,a month ago
 ,2,a month ago
Nice macarons and great ice cream,5,a month ago
Very tasty ice cream with macaron,5,2 months ago
 ,5,2 months ago
Lovely independent ice cream store.,5,2 months ago
