text,label,place
it is located under a hair salon. it is very cozy in the basement. staff is super nice and friendly. pricing is very good i paid 50 for long stiletto nails,5,3d nails @ Le Salon London China town
absolutely love fiza. she is such an amazing lady with great talent. i visit fiza on a monthly basis for my false eyelashes and she never disappoints. 5* every time.,5,3d nails @ Le Salon London China town
amazing professional service by friendly and knowledgeable team who care 100%! well done ladies on a fabulous service!  very clean with authentic products! ,5,3d nails @ Le Salon London China town
my daughter recommended this place,4,3d nails @ Le Salon London China town
"the best place for nails in london!!!!!!relaxing atmosphere,possitive and kind girls who are making you feel at home :)) my nails and feet are looking amazing everytime i go there,so i highly recommend this salon!!!!! good vibes only :)))",5,3d nails @ Le Salon London China town
"the place is great and alex is amazing! she was very nice, friendly and made my nails look perfect.",5,3d nails @ Le Salon London China town
"very personable and proficient service. extremely happy with my nails. the team paid a lot of attention to detail, would recommend readily.",5,3d nails @ Le Salon London China town
"super amazing experience, professional staff. i had a great time, i truly recommend this place!",5,3d nails @ Le Salon London China town
fantastic job with my gel nails.  careful removal.   perfectionist application.  lovely and funny staff.  great value.  highly recommended!,5,3d nails @ Le Salon London China town
we came in one hour earlier than our appointment and were able to get a pedicure and nails done right away.thank you girls for a super nice chat and very good service. ,5,3d nails @ Le Salon London China town
i found this place last minute and did not have an appointment. the girls did a wonderful job with my manicure! they were super friendly and i didn't feel rushed out. ,5,3d nails @ Le Salon London China town
"definitely it's a must , great service lovely people  it was an amazing experience thank you for your kindness xxx",5,3d nails @ Le Salon London China town
amazing nails! very friendly! i think it was adriana who did mine! best nails ive have done!!!,5,3d nails @ Le Salon London China town
got my nails done without appoiment in less than 1 hr. and they stayed on top for more than 2 months !!! quick service + good price!,3,3d nails @ Le Salon London China town
all i did was walk past so can't help,3,3d nails @ Le Salon London China town
"great job, friendly nail technician, good job on a straightforward manicure and patient with me when i botched one nail and it needed fixing.  open late.  did not 'over-sell' me - i walked in asking for a manicure and she took a look and said i only really needed a polish change.  will definitely go again next time i'm in london.",5,3d nails @ Le Salon London China town
fantastic job doing my daughter's nails...i ended up getting pedicure too and super creative nail design!,5,3d nails @ Le Salon London China town
great service! the girls were very friendly and my nails look perfect! highly recommend. ,5,3d nails @ Le Salon London China town
